parent,model,method,bootstrap_type,population_inference,n_clusters,rmse_ci_low_kN,rmse_ci_high_kN,mae_ci_low_kN,mae_ci_high_kN,signed_risk_error_ci_low,signed_risk_error_ci_high
rac27,Ridge,GroupKFold_Source,specimen_bootstrap_sensitivity_not_population_inference,False,1,19.610570963078413,26.85459193003682,16.49018863149949,24.755864906887854,0.0079318959262736,0.1375771996826022
rac27,Ridge,ClaimCut_C_source,specimen_bootstrap_sensitivity_not_population_inference,False,1,19.610570963078413,26.85459193003682,16.49018863149949,24.755864906887854,0.0387245874859695,0.1683698912422981
rac27,Ridge,RandomKFold,specimen_bootstrap_sensitivity_not_population_inference,False,1,19.610570963078413,26.85459193003682,16.49018863149949,24.755864906887854,-0.0801942176650507,0.0494510860912778
rac27,Ridge,DataSAIL_C1e_Scalar_C_deck,specimen_bootstrap_sensitivity_not_population_inference,False,1,19.610570963078413,26.85459193003682,16.49018863149949,24.755864906887854,0.0192296754270252,0.1488749791833538
rac27,RBF_SVR,GroupKFold_Source,specimen_bootstrap_sensitivity_not_population_inference,False,1,53.4695284998738,73.23984424532762,49.32177588395988,68.17830642896062,-0.6968110460192894,-0.3429842691685749
rac27,RBF_SVR,ClaimCut_C_source,specimen_bootstrap_sensitivity_not_population_inference,False,1,53.4695284998738,73.23984424532762,49.32177588395988,68.17830642896062,-0.6981699702048316,-0.344343193354117
rac27,RBF_SVR,RandomKFold,specimen_bootstrap_sensitivity_not_population_inference,False,1,53.4695284998738,73.23984424532762,49.32177588395988,68.17830642896062,-0.8591380280860669,-0.5053112512353523
rac27,RBF_SVR,DataSAIL_C1e_Scalar_C_deck,specimen_bootstrap_sensitivity_not_population_inference,False,1,53.4695284998738,73.23984424532762,49.32177588395988,68.17830642896062,-0.7170773926562319,-0.3632506158055174
rac27,ExtraTrees,GroupKFold_Source,specimen_bootstrap_sensitivity_not_population_inference,False,1,29.562361545668978,36.82543801464632,27.905384446638717,35.495907782076706,-0.2001593090556127,-0.0701729714509913
rac27,ExtraTrees,ClaimCut_C_source,specimen_bootstrap_sensitivity_not_population_inference,False,1,29.562361545668978,36.82543801464632,27.905384446638717,35.495907782076706,-0.2200684619708677,-0.0900821243662464
rac27,ExtraTrees,RandomKFold,specimen_bootstrap_sensitivity_not_population_inference,False,1,29.562361545668978,36.82543801464632,27.905384446638717,35.495907782076706,-0.3412777830660399,-0.2112914454614186
rac27,ExtraTrees,DataSAIL_C1e_Scalar_C_deck,specimen_bootstrap_sensitivity_not_population_inference,False,1,29.562361545668978,36.82543801464632,27.905384446638717,35.495907782076706,-0.2098251352490131,-0.0798387976443918
rac27,HistGradientBoosting,GroupKFold_Source,specimen_bootstrap_sensitivity_not_population_inference,False,1,35.7242889074164,49.2475175260022,32.043334102150645,45.569360030064566,-0.4008284488136897,-0.1588049800772414
rac27,HistGradientBoosting,ClaimCut_C_source,specimen_bootstrap_sensitivity_not_population_inference,False,1,35.7242889074164,49.2475175260022,32.043334102150645,45.569360030064566,-0.4034168350291135,-0.1613933662926652
rac27,HistGradientBoosting,RandomKFold,specimen_bootstrap_sensitivity_not_population_inference,False,1,35.7242889074164,49.2475175260022,32.043334102150645,45.569360030064566,-0.5875918248973027,-0.3455683561608543
rac27,HistGradientBoosting,DataSAIL_C1e_Scalar_C_deck,specimen_bootstrap_sensitivity_not_population_inference,False,1,35.7242889074164,49.2475175260022,32.043334102150645,45.569360030064566,-0.4168088094815458,-0.1747853407450975
