case,model,split,n_samples,n_groups,median_group_size,max_group_size,pooled_r2,mae,fold_mean_pooled_r2,fold_sd_pooled_r2,fold_mean_mae,fold_sd_mae,gap_vs_random
DesignSafe circular RC columns,Ridge,RandomKFold,172,43,3.0,23,0.7273545700743471,19.921120756120747,0.5692260321596925,0.30318960363744285,19.915761795394374,3.1858567513160208,0.0
DesignSafe circular RC columns,Ridge,GroupKFold,172,43,3.0,23,0.6989228873314588,22.975628034092654,0.08874715687339951,1.1731500576474312,23.045713969789706,6.1298674351071805,0.02843168274288832
DesignSafe circular RC columns,Ridge,LeaveOneSourceOut,172,43,3.0,23,0.6891379591242941,24.08894157469792,-349.9691404830001,1637.81500991819,27.749120465570677,28.870464700432546,0.03821661095005302
DesignSafe circular RC columns,Random Forest,RandomKFold,172,43,3.0,23,0.5930402786024096,14.560376694325806,0.7245460498593651,0.16497680364380665,14.583627187567163,8.078434097987696,0.0
DesignSafe circular RC columns,Random Forest,GroupKFold,172,43,3.0,23,0.38406181753054436,23.057638482359586,0.45426049991654427,0.2812758554821336,23.18061145666812,14.022748451828077,0.20897846107186524
DesignSafe circular RC columns,Random Forest,LeaveOneSourceOut,172,43,3.0,23,0.44413875709245176,22.435631021566717,-101.51080664789495,405.6881596542137,27.762713116522146,54.79423543697212,0.14890152150995783
DesignSafe circular RC columns,Gradient Boosting,RandomKFold,172,43,3.0,23,0.6559777668603122,13.39921265081698,0.7358244900149779,0.129659504773328,13.405066191344929,6.426438753144801,0.0
DesignSafe circular RC columns,Gradient Boosting,GroupKFold,172,43,3.0,23,0.3520028457287928,23.88396721852922,0.3929240977862294,0.35167174075576296,23.991080454677558,13.067759827983414,0.30397492113151936
DesignSafe circular RC columns,Gradient Boosting,LeaveOneSourceOut,172,43,3.0,23,0.4707924278801854,19.678406740145224,-75.90292417019427,298.11571674417996,24.80360918953065,54.77797281403137,0.1851853389801268
DesignSafe rectangular RC columns,Ridge,RandomKFold,325,62,4.0,24,0.8825838063090413,8.433651239290677,0.8700898246084773,0.06753072111189522,8.433651239290679,1.6972587981287746,0.0
DesignSafe rectangular RC columns,Ridge,GroupKFold,325,62,4.0,24,0.8160253567518645,11.264182541422256,0.7684682330855003,0.07078575858387748,11.264182541422256,2.561593680440737,0.06655844955717682
DesignSafe rectangular RC columns,Ridge,LeaveOneSourceOut,325,62,4.0,24,0.7965449241426863,11.344697897564592,-861.5611770850519,5990.910606191262,12.4187800746178,12.616295144148792,0.08603888216635502
DesignSafe rectangular RC columns,Random Forest,RandomKFold,325,62,4.0,24,0.8848586149517235,6.469317200187848,0.8871888193244984,0.030625293542090655,6.469317200187848,1.410451304273902,0.0
DesignSafe rectangular RC columns,Random Forest,GroupKFold,325,62,4.0,24,0.6781399987608657,13.717880720670784,0.596550483505468,0.2940570389088578,13.717880720670783,5.17254504526723,0.20671861619085774
DesignSafe rectangular RC columns,Random Forest,LeaveOneSourceOut,325,62,4.0,24,0.6924227333604246,12.88220512469069,-44.87342328210555,133.93526928145255,13.975829366335224,14.792953788239737,0.19243588159129887
DesignSafe rectangular RC columns,Gradient Boosting,RandomKFold,325,62,4.0,24,0.9452394229511614,4.952360972758109,0.9440202933530285,0.01508887621285457,4.952360972758109,0.9976469204132372,0.0
DesignSafe rectangular RC columns,Gradient Boosting,GroupKFold,325,62,4.0,24,0.7524863084266186,12.001177338785816,0.6882650392831013,0.23491433217854613,12.001177338785814,4.3958613232924515,0.1927531145245428
DesignSafe rectangular RC columns,Gradient Boosting,LeaveOneSourceOut,325,62,4.0,24,0.7677399998338325,10.538125921183742,-116.32100679244142,632.046835369647,10.901482101869329,12.428024483015244,0.1774994231173289
DesignSafe RC columns combined,Ridge,RandomKFold,497,99,3.0,26,0.7830922856361369,13.774062705536,0.784318544521551,0.028483248410793468,13.775464988271562,1.9571809715202286,0.0
DesignSafe RC columns combined,Ridge,GroupKFold,497,99,3.0,26,0.7208808798928501,16.700461165567308,0.5065116788835569,0.37299996317243894,16.695798948269232,2.455093118809244,0.06221140574328676
DesignSafe RC columns combined,Ridge,LeaveOneSourceOut,497,99,3.0,26,0.756394707150734,15.759804854653297,-429.82947315450025,3061.890271561641,18.391519595753863,21.73865665684208,0.026697578485402884
DesignSafe RC columns combined,Random Forest,RandomKFold,497,99,3.0,26,0.6001102598684713,8.760989259790513,0.7695670870385487,0.25122649894181437,8.767831773536637,4.265865232816487,0.0
DesignSafe RC columns combined,Random Forest,GroupKFold,497,99,3.0,26,0.4902362581196672,15.412356542899682,0.5802674444801067,0.16810213062661472,15.429203576886778,4.915128284006932,0.10987400174880413
DesignSafe RC columns combined,Random Forest,LeaveOneSourceOut,497,99,3.0,26,0.5228806947030457,15.11408524346806,-52.79171037466541,212.07277596974018,18.596032855779033,42.43821246040619,0.07722956516542567
DesignSafe RC columns combined,Gradient Boosting,RandomKFold,497,99,3.0,26,0.6070315411977072,8.367989858465332,0.7820903122402872,0.24827686163784846,8.374962448336694,3.9887735607458725,0.0
DesignSafe RC columns combined,Gradient Boosting,GroupKFold,497,99,3.0,26,0.5091453127606014,14.384423697118056,0.5846745879646641,0.1470790696182188,14.395011710867683,4.048238159353373,0.09788622843710582
DesignSafe RC columns combined,Gradient Boosting,LeaveOneSourceOut,497,99,3.0,26,0.5368182317694299,14.50051615094494,-80.75966734359955,422.4942648754626,18.74503762610101,43.57352904164476,0.0702133094282773
