module,descriptor,model,metric_type,calibration_basis,random_calibrated_width_norm,grouped_calibrated_width_norm,width_inflation_grouped_over_random,random_interval_coverage_on_random,random_interval_coverage_on_grouped,coverage_shortfall_under_grouped,ece,mean_confidence,brier_score
10-1016-j-engstruct-2019-110331,10-1016-j-engstruct-2019-110331,Gradient Boosting,classification,random probability calibration,,,,,,,0.110381,0.879850,0.268422
10-1016-j-engstruct-2019-110331,10-1016-j-engstruct-2019-110331,Gradient Boosting,classification,grouped probability calibration,,,,,,,0.512151,0.789187,0.796821
10-1016-j-engstruct-2020-111743,10-1016-j-engstruct-2020-111743,Ridge,regression,absolute residual q80,0.756889,0.810992,1.071481,0.799180,0.772541,0.027459,,,
10-1016-j-engstruct-2020-111743,10-1016-j-engstruct-2020-111743,Ridge,regression,absolute residual q90,1.088379,1.397205,1.283749,0.899590,0.854508,0.045492,,,
10-1016-j-engstruct-2020-111743,10-1016-j-engstruct-2020-111743,Ridge,regression,absolute residual q95,1.507503,1.944307,1.289753,0.948770,0.911885,0.038115,,,
10-1016-j-engstruct-2020-111743,10-1016-j-engstruct-2020-111743,Random Forest,regression,absolute residual q80,0.441008,1.171116,2.655544,0.799180,0.489754,0.310246,,,
10-1016-j-engstruct-2020-111743,10-1016-j-engstruct-2020-111743,Random Forest,regression,absolute residual q90,0.778656,1.563700,2.008204,0.899590,0.694672,0.205328,,,
10-1016-j-engstruct-2020-111743,10-1016-j-engstruct-2020-111743,Random Forest,regression,absolute residual q95,1.135107,2.020894,1.780355,0.948770,0.788934,0.161066,,,
10-1016-j-engstruct-2020-111743,10-1016-j-engstruct-2020-111743,Gradient Boosting,regression,absolute residual q80,0.505051,0.992207,1.964567,0.799180,0.551230,0.248770,,,
10-1016-j-engstruct-2020-111743,10-1016-j-engstruct-2020-111743,Gradient Boosting,regression,absolute residual q90,0.743982,1.517167,2.039251,0.899590,0.686475,0.213525,,,
10-1016-j-engstruct-2020-111743,10-1016-j-engstruct-2020-111743,Gradient Boosting,regression,absolute residual q95,1.146193,1.754030,1.530310,0.948770,0.831967,0.118033,,,
10-1038-s41598-024-53352-1,10-1038-s41598-024-53352-1,Ridge,regression,absolute residual q80,0.107895,0.193069,1.789410,0.800152,0.480243,0.319757,,,
10-1038-s41598-024-53352-1,10-1038-s41598-024-53352-1,Ridge,regression,absolute residual q90,0.137694,0.250106,1.816388,0.899696,0.623100,0.276900,,,
10-1038-s41598-024-53352-1,10-1038-s41598-024-53352-1,Ridge,regression,absolute residual q95,0.167400,0.290667,1.736365,0.949848,0.724164,0.225836,,,
10-1038-s41598-024-53352-1,10-1038-s41598-024-53352-1,Random Forest,regression,absolute residual q80,0.061002,0.231348,3.792489,0.800152,0.151216,0.648784,,,
10-1038-s41598-024-53352-1,10-1038-s41598-024-53352-1,Random Forest,regression,absolute residual q90,0.086761,0.279444,3.220839,0.899696,0.240881,0.659119,,,
10-1038-s41598-024-53352-1,10-1038-s41598-024-53352-1,Random Forest,regression,absolute residual q95,0.115387,0.329519,2.855764,0.949848,0.351064,0.598936,,,
10-1038-s41598-024-53352-1,10-1038-s41598-024-53352-1,Gradient Boosting,regression,absolute residual q80,0.076200,0.233475,3.063963,0.800152,0.202128,0.597872,,,
10-1038-s41598-024-53352-1,10-1038-s41598-024-53352-1,Gradient Boosting,regression,absolute residual q90,0.101728,0.284657,2.798230,0.899696,0.310030,0.589970,,,
10-1038-s41598-024-53352-1,10-1038-s41598-024-53352-1,Gradient Boosting,regression,absolute residual q95,0.127918,0.341080,2.666394,0.949848,0.429331,0.520669,,,
10-5281-zenodo-8062007,10-5281-zenodo-8062007,Ridge,regression,absolute residual q80,0.092418,0.242218,2.620889,0.800995,0.305970,0.494030,,,
10-5281-zenodo-8062007,10-5281-zenodo-8062007,Ridge,regression,absolute residual q90,0.128581,0.308049,2.395754,0.899254,0.481343,0.418657,,,
10-5281-zenodo-8062007,10-5281-zenodo-8062007,Ridge,regression,absolute residual q95,0.181157,0.370514,2.045267,0.949005,0.677861,0.272139,,,
10-5281-zenodo-8062007,10-5281-zenodo-8062007,Random Forest,regression,absolute residual q80,0.057747,0.235774,4.082859,0.799751,0.294776,0.505224,,,
10-5281-zenodo-8062007,10-5281-zenodo-8062007,Random Forest,regression,absolute residual q90,0.086537,0.307901,3.558015,0.899254,0.410448,0.489552,,,
10-5281-zenodo-8062007,10-5281-zenodo-8062007,Random Forest,regression,absolute residual q95,0.137215,0.384402,2.801446,0.949005,0.634328,0.315672,,,
10-5281-zenodo-8062007,10-5281-zenodo-8062007,Gradient Boosting,regression,absolute residual q80,0.065805,0.199366,3.029633,0.799751,0.368159,0.431841,,,
10-5281-zenodo-8062007,10-5281-zenodo-8062007,Gradient Boosting,regression,absolute residual q90,0.091431,0.253595,2.773621,0.899254,0.472637,0.427363,,,
10-5281-zenodo-8062007,10-5281-zenodo-8062007,Gradient Boosting,regression,absolute residual q95,0.133458,0.292704,2.193228,0.949005,0.610697,0.339303,,,
