module,descriptor,model,split,top_share,top_k,spearman_rank_correlation,top_k_overlap_with_true_top,normalized_screening_regret,false_reassurance_share
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,random,0.10,103,0.795852,0.543689,0.254874,0.029126
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,grouped,0.10,103,0.795056,0.533981,0.258382,0.019417
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,random,0.20,206,0.795852,0.611650,0.189374,0.106796
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,grouped,0.20,206,0.795056,0.611650,0.189653,0.101942
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,random,0.30,309,0.795852,0.695793,0.114424,0.116505
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,grouped,0.30,309,0.795056,0.689320,0.116596,0.119741
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Random Forest,random,0.10,103,0.954964,0.805825,0.062253,0.000000
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Random Forest,grouped,0.10,103,0.944489,0.737864,0.079782,0.000000
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Random Forest,random,0.20,206,0.954964,0.854369,0.035075,0.004854
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Random Forest,grouped,0.20,206,0.944489,0.820388,0.052083,0.000000
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Random Forest,random,0.30,309,0.954964,0.883495,0.022407,0.012945
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Random Forest,grouped,0.30,309,0.944489,0.847896,0.034852,0.025890
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Gradient Boosting,random,0.10,103,0.954187,0.825243,0.050938,0.000000
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Gradient Boosting,grouped,0.10,103,0.941356,0.757282,0.079697,0.000000
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Gradient Boosting,random,0.20,206,0.954187,0.844660,0.038714,0.004854
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Gradient Boosting,grouped,0.20,206,0.941356,0.815534,0.051503,0.004854
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Gradient Boosting,random,0.30,309,0.954187,0.860841,0.025435,0.016181
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Gradient Boosting,grouped,0.30,309,0.941356,0.834951,0.038033,0.022654
10-1016-j-engstruct-2020-111743,10-1016-j-engstruct-2020-111743,Ridge,random,0.10,49,0.642119,0.285714,1.413696,0.081633
10-1016-j-engstruct-2020-111743,10-1016-j-engstruct-2020-111743,Ridge,grouped,0.10,49,0.445379,0.204082,1.785395,0.306122
10-1016-j-engstruct-2020-111743,10-1016-j-engstruct-2020-111743,Ridge,random,0.20,98,0.642119,0.459184,0.916007,0.183673
10-1016-j-engstruct-2020-111743,10-1016-j-engstruct-2020-111743,Ridge,grouped,0.20,98,0.445379,0.387755,1.115323,0.285714
10-1016-j-engstruct-2020-111743,10-1016-j-engstruct-2020-111743,Ridge,random,0.30,147,0.642119,0.557823,0.593210,0.197279
10-1016-j-engstruct-2020-111743,10-1016-j-engstruct-2020-111743,Ridge,grouped,0.30,147,0.445379,0.517007,0.728805,0.258503
10-1016-j-engstruct-2020-111743,10-1016-j-engstruct-2020-111743,Random Forest,random,0.10,49,0.856902,0.653061,0.374120,0.000000
10-1016-j-engstruct-2020-111743,10-1016-j-engstruct-2020-111743,Random Forest,grouped,0.10,49,0.390255,0.142857,1.912728,0.244898
10-1016-j-engstruct-2020-111743,10-1016-j-engstruct-2020-111743,Random Forest,random,0.20,98,0.856902,0.795918,0.227568,0.040816
10-1016-j-engstruct-2020-111743,10-1016-j-engstruct-2020-111743,Random Forest,grouped,0.20,98,0.390255,0.306122,1.255497,0.346939
10-1016-j-engstruct-2020-111743,10-1016-j-engstruct-2020-111743,Random Forest,random,0.30,147,0.856902,0.802721,0.168665,0.068027
10-1016-j-engstruct-2020-111743,10-1016-j-engstruct-2020-111743,Random Forest,grouped,0.30,147,0.390255,0.482993,0.875741,0.319728
10-1016-j-engstruct-2020-111743,10-1016-j-engstruct-2020-111743,Gradient Boosting,random,0.10,49,0.865768,0.591837,0.377891,0.000000
10-1016-j-engstruct-2020-111743,10-1016-j-engstruct-2020-111743,Gradient Boosting,grouped,0.10,49,0.411128,0.183673,1.903338,0.265306
10-1016-j-engstruct-2020-111743,10-1016-j-engstruct-2020-111743,Gradient Boosting,random,0.20,98,0.865768,0.755102,0.201990,0.010204
10-1016-j-engstruct-2020-111743,10-1016-j-engstruct-2020-111743,Gradient Boosting,grouped,0.20,98,0.411128,0.326531,1.327976,0.387755
10-1016-j-engstruct-2020-111743,10-1016-j-engstruct-2020-111743,Gradient Boosting,random,0.30,147,0.865768,0.802721,0.148411,0.020408
10-1016-j-engstruct-2020-111743,10-1016-j-engstruct-2020-111743,Gradient Boosting,grouped,0.30,147,0.411128,0.442177,0.946702,0.367347
10-1038-s41598-024-53352-1,10-1038-s41598-024-53352-1,Ridge,random,0.10,132,0.775613,0.522727,0.073070,0.030303
10-1038-s41598-024-53352-1,10-1038-s41598-024-53352-1,Ridge,grouped,0.10,132,0.004249,0.000000,0.349077,0.803030
10-1038-s41598-024-53352-1,10-1038-s41598-024-53352-1,Ridge,random,0.20,264,0.775613,0.609848,0.044725,0.037879
10-1038-s41598-024-53352-1,10-1038-s41598-024-53352-1,Ridge,grouped,0.20,264,0.004249,0.026515,0.278743,0.806818
10-1038-s41598-024-53352-1,10-1038-s41598-024-53352-1,Ridge,random,0.30,395,0.775613,0.729114,0.031189,0.075949
10-1038-s41598-024-53352-1,10-1038-s41598-024-53352-1,Ridge,grouped,0.30,395,0.004249,0.212658,0.180846,0.640506
10-1038-s41598-024-53352-1,10-1038-s41598-024-53352-1,Random Forest,random,0.10,132,0.916097,0.750000,0.027915,0.007576
10-1038-s41598-024-53352-1,10-1038-s41598-024-53352-1,Random Forest,grouped,0.10,132,-0.318962,0.000000,0.339218,0.750000
10-1038-s41598-024-53352-1,10-1038-s41598-024-53352-1,Random Forest,random,0.20,264,0.916097,0.795455,0.017874,0.018939
10-1038-s41598-024-53352-1,10-1038-s41598-024-53352-1,Random Forest,grouped,0.20,264,-0.318962,0.003788,0.292431,0.825758
10-1038-s41598-024-53352-1,10-1038-s41598-024-53352-1,Random Forest,random,0.30,395,0.916097,0.830380,0.014181,0.035443
