module,descriptor,model,metric_type,n_samples,n_groups,median_group_size,pooled_random_score,pooled_grouped_score,pooled_random_minus_grouped_gap,null_metric_basis,actual_group_balanced_loss_gap,pseudo_null_median,pseudo_null_95_low,pseudo_null_95_high,actual_percentile_in_null,actual_minus_null_median,null_reps,interpretation
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,1030,428,1.00,0.606318,0.603871,0.002447,group-balanced normalized absolute-error inflation,-0.000092,0.000116,-0.000656,0.000886,0.280,-0.000207,1000,compatible_with_topology_null
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Random Forest,regression,1030,428,1.00,0.908656,0.868204,0.040452,group-balanced normalized absolute-error inflation,0.003539,0.022790,0.018680,0.026857,0.000,-0.019251,1000,actual_below_topology_null
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Gradient Boosting,regression,1030,428,1.00,0.907397,0.869738,0.037659,group-balanced normalized absolute-error inflation,0.005944,0.019775,0.016464,0.023179,0.000,-0.013831,1000,actual_below_topology_null
10-1016-j-engstruct-2019-110331,10-1016-j-engstruct-2019-110331,Logistic Regression,classification,393,75,3.00,0.620865,0.389313,0.231552,group-balanced classification error inflation,0.087270,0.232411,0.171637,0.294926,0.000,-0.145142,1000,actual_below_topology_null
10-1016-j-engstruct-2019-110331,10-1016-j-engstruct-2019-110331,Random Forest,classification,393,75,3.00,0.826972,0.516539,0.310433,group-balanced classification error inflation,0.173611,0.310216,0.244016,0.371689,0.000,-0.136605,1000,actual_below_topology_null
10-1016-j-engstruct-2019-110331,10-1016-j-engstruct-2019-110331,Gradient Boosting,classification,393,75,3.00,0.816794,0.468193,0.348601,group-balanced classification error inflation,0.112322,0.349991,0.282851,0.418484,0.000,-0.237669,1000,actual_below_topology_null
10-1016-j-engstruct-2020-111743,10-1016-j-engstruct-2020-111743,Ridge,regression,488,118,1.00,0.233325,0.038893,0.194432,group-balanced normalized absolute-error inflation,0.035805,0.104605,0.081560,0.128804,0.000,-0.068799,1000,actual_below_topology_null
10-1016-j-engstruct-2020-111743,10-1016-j-engstruct-2020-111743,Random Forest,regression,488,118,1.00,0.638294,-0.172252,0.810546,group-balanced normalized absolute-error inflation,0.139519,0.389713,0.324043,0.459306,0.000,-0.250194,1000,actual_below_topology_null
10-1016-j-engstruct-2020-111743,10-1016-j-engstruct-2020-111743,Gradient Boosting,regression,488,118,1.00,0.627589,-0.025354,0.652943,group-balanced normalized absolute-error inflation,0.126360,0.296657,0.243824,0.364354,0.000,-0.170297,1000,actual_below_topology_null
10-1038-s41598-024-53352-1,10-1038-s41598-024-53352-1,Ridge,regression,1316,3,396.00,0.568275,-0.322737,0.891012,group-balanced normalized absolute-error inflation,0.054110,0.057647,0.055671,0.059674,0.001,-0.003537,1000,actual_below_topology_null
10-1038-s41598-024-53352-1,10-1038-s41598-024-53352-1,Random Forest,regression,1316,3,396.00,0.827992,-0.955630,1.783621,group-balanced normalized absolute-error inflation,0.107292,0.118616,0.116433,0.120850,0.000,-0.011324,1000,actual_below_topology_null
10-1038-s41598-024-53352-1,10-1038-s41598-024-53352-1,Gradient Boosting,regression,1316,3,396.00,0.771005,-0.959814,1.730820,group-balanced normalized absolute-error inflation,0.099547,0.109710,0.107588,0.111755,0.000,-0.010163,1000,actual_below_topology_null
10-5281-zenodo-8062007,10-5281-zenodo-8062007,Ridge,regression,804,54,10.50,0.953285,0.755458,0.197827,group-balanced normalized absolute-error inflation,0.082305,0.096566,0.088864,0.105623,0.001,-0.014261,1000,actual_below_topology_null
10-5281-zenodo-8062007,10-5281-zenodo-8062007,Random Forest,regression,804,54,10.50,0.974019,0.793664,0.180355,group-balanced normalized absolute-error inflation,0.080980,0.100524,0.090921,0.110740,0.000,-0.019544,1000,actual_below_topology_null
10-5281-zenodo-8062007,10-5281-zenodo-8062007,Gradient Boosting,regression,804,54,10.50,0.973598,0.853032,0.120566,group-balanced normalized absolute-error inflation,0.062747,0.076578,0.069164,0.084554,0.000,-0.013830,1000,actual_below_topology_null
designsafe_prj2430_wall,PRJ-2430 RC wall peak lateral strength|Vmax,Ridge,regression,142,28,4.00,0.356277,-1.873248,2.229524,group-balanced normalized absolute-error inflation,0.631394,0.635502,0.523348,0.755312,0.465,-0.004108,1000,compatible_with_topology_null
designsafe_prj2430_wall,PRJ-2430 RC wall peak lateral strength|Vmax,Random Forest,regression,142,28,4.00,0.598377,0.069488,0.528888,group-balanced normalized absolute-error inflation,0.262462,0.303564,0.241849,0.359763,0.089,-0.041102,1000,compatible_with_topology_null
designsafe_prj2430_wall,PRJ-2430 RC wall peak lateral strength|Vmax,Gradient Boosting,regression,142,28,4.00,0.623896,0.071859,0.552037,group-balanced normalized absolute-error inflation,0.267237,0.276176,0.205891,0.348754,0.386,-0.008939,1000,compatible_with_topology_null
designsafe_prj2430_wall,PRJ-2430 RC wall drift capacity|driftCap,Ridge,regression,142,28,4.00,-0.020336,-2.836774,2.816438,group-balanced normalized absolute-error inflation,0.491527,0.490078,0.417153,0.578154,0.521,0.001450,1000,compatible_with_topology_null
designsafe_prj2430_wall,PRJ-2430 RC wall drift capacity|driftCap,Random Forest,regression,142,28,4.00,0.300198,-0.085076,0.385274,group-balanced normalized absolute-error inflation,0.110385,0.122204,0.089254,0.157394,0.249,-0.011818,1000,compatible_with_topology_null
designsafe_prj2430_wall,PRJ-2430 RC wall drift capacity|driftCap,Gradient Boosting,regression,142,28,4.00,0.140161,-0.338856,0.479017,group-balanced normalized absolute-error inflation,0.122286,0.170208,0.119949,0.215252,0.031,-0.047921,1000,compatible_with_topology_null
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam peak shear|V_m_avg_kips,Ridge,regression,60,21,2.00,0.575195,0.573531,0.001664,group-balanced normalized absolute-error inflation,0.009135,-0.005416,-0.032160,0.022614,0.833,0.014550,1000,compatible_with_topology_null
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam peak shear|V_m_avg_kips,Random Forest,regression,60,21,2.00,0.594087,0.662841,-0.068754,group-balanced normalized absolute-error inflation,-0.022385,-0.006283,-0.030088,0.017461,0.102,-0.016101,1000,compatible_with_topology_null
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam peak shear|V_m_avg_kips,Gradient Boosting,regression,60,21,2.00,0.595671,0.589473,0.006199,group-balanced normalized absolute-error inflation,0.005479,0.036767,-0.006712,0.073157,0.072,-0.031288,1000,compatible_with_topology_null
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam normalized shear|v_m_normalized,Ridge,regression,60,21,2.00,0.715560,0.665383,0.050177,group-balanced normalized absolute-error inflation,0.016361,0.024039,0.003806,0.045396,0.244,-0.007679,1000,compatible_with_topology_null
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam normalized shear|v_m_normalized,Random Forest,regression,60,21,2.00,0.552188,0.249082,0.303106,group-balanced normalized absolute-error inflation,0.033341,0.053844,0.021126,0.087384,0.118,-0.020503,1000,compatible_with_topology_null
