module,descriptor,model,metric_type,n_samples,n_groups,median_group_size,pooled_random_score,pooled_grouped_score,pooled_random_minus_grouped_gap,null_metric_basis,actual_group_balanced_loss_gap,pseudo_null_median,pseudo_null_95_low,pseudo_null_95_high,actual_percentile_in_null,actual_minus_null_median,null_reps,interpretation
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam normalized shear|v_m_normalized,Gradient Boosting,regression,60,21,2.00,0.537549,0.272687,0.264862,group-balanced normalized absolute-error inflation,0.018380,0.039420,-0.000996,0.082952,0.162,-0.021040,1000,compatible_with_topology_null
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam chord-rotation capacity|CR_capacity_average,Ridge,regression,60,21,2.00,0.611732,0.359984,0.251748,group-balanced normalized absolute-error inflation,0.040581,0.048676,0.024106,0.077136,0.279,-0.008095,1000,compatible_with_topology_null
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam chord-rotation capacity|CR_capacity_average,Random Forest,regression,60,21,2.00,0.726550,0.591589,0.134961,group-balanced normalized absolute-error inflation,0.035568,0.041916,0.022102,0.064136,0.283,-0.006348,1000,compatible_with_topology_null
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam chord-rotation capacity|CR_capacity_average,Gradient Boosting,regression,60,21,2.00,0.704870,0.556571,0.148299,group-balanced normalized absolute-error inflation,0.039587,0.044985,0.016073,0.074626,0.348,-0.005398,1000,compatible_with_topology_null
designsafe_rc_columns,DesignSafe circular RC columns,Ridge,regression,172,43,3.00,0.727355,0.698923,0.028432,group-balanced normalized absolute-error inflation,0.010902,0.048001,0.011361,0.088216,0.021,-0.037100,1000,actual_below_topology_null
designsafe_rc_columns,DesignSafe circular RC columns,Random Forest,regression,172,43,3.00,0.593040,0.384062,0.208978,group-balanced normalized absolute-error inflation,0.114441,0.132264,0.100422,0.178524,0.177,-0.017823,1000,compatible_with_topology_null
designsafe_rc_columns,DesignSafe circular RC columns,Gradient Boosting,regression,172,43,3.00,0.655978,0.352003,0.303975,group-balanced normalized absolute-error inflation,0.132914,0.163673,0.124395,0.220604,0.069,-0.030759,1000,compatible_with_topology_null
designsafe_rc_columns,DesignSafe rectangular RC columns,Ridge,regression,325,62,4.00,0.882584,0.816025,0.066558,group-balanced normalized absolute-error inflation,0.035494,0.058057,0.045921,0.071355,0.001,-0.022563,1000,actual_below_topology_null
designsafe_rc_columns,DesignSafe rectangular RC columns,Random Forest,regression,325,62,4.00,0.884859,0.678140,0.206719,group-balanced normalized absolute-error inflation,0.130892,0.149427,0.128673,0.172448,0.041,-0.018535,1000,compatible_with_topology_null
designsafe_rc_columns,DesignSafe rectangular RC columns,Gradient Boosting,regression,325,62,4.00,0.945239,0.752486,0.192753,group-balanced normalized absolute-error inflation,0.105232,0.144571,0.121435,0.170919,0.000,-0.039340,1000,actual_below_topology_null
designsafe_rc_columns,DesignSafe RC columns combined,Ridge,regression,497,99,3.00,0.783092,0.720881,0.062211,group-balanced normalized absolute-error inflation,0.039868,0.054374,0.043169,0.064760,0.004,-0.014507,1000,actual_below_topology_null
designsafe_rc_columns,DesignSafe RC columns combined,Random Forest,regression,497,99,3.00,0.600110,0.490236,0.109874,group-balanced normalized absolute-error inflation,0.097257,0.123921,0.107017,0.143036,0.002,-0.026664,1000,actual_below_topology_null
designsafe_rc_columns,DesignSafe RC columns combined,Gradient Boosting,regression,497,99,3.00,0.607032,0.509145,0.097886,group-balanced normalized absolute-error inflation,0.096456,0.111762,0.093053,0.133362,0.056,-0.015306,1000,compatible_with_topology_null
mendeley_beam_column_joint,Mendeley exterior RC beam-column joints|shear_strength_regression,Ridge,regression,203,33,5.00,0.867096,0.758463,0.108633,group-balanced normalized absolute-error inflation,0.087534,0.089981,0.075387,0.106798,0.381,-0.002447,1000,compatible_with_topology_null
mendeley_beam_column_joint,Mendeley exterior RC beam-column joints|shear_strength_regression,Random Forest,regression,203,33,5.00,0.951819,0.753707,0.198112,group-balanced normalized absolute-error inflation,0.187798,0.169028,0.142319,0.202349,0.869,0.018770,1000,compatible_with_topology_null
mendeley_beam_column_joint,Mendeley exterior RC beam-column joints|shear_strength_regression,Gradient Boosting,regression,203,33,5.00,0.957798,0.787426,0.170373,group-balanced normalized absolute-error inflation,0.195628,0.151817,0.123890,0.186491,0.989,0.043811,1000,error_concentrates_beyond_topology_null
mendeley_beam_column_joint,Mendeley exterior RC beam-column joints|failure_mode_classification,Random Forest,classification,203,33,5.00,0.635468,0.266010,0.369458,group-balanced classification error inflation,0.344483,0.366181,0.285337,0.448139,0.280,-0.021698,1000,compatible_with_topology_null
mendeley_beam_column_joint,Mendeley exterior RC beam-column joints|failure_mode_classification,Gradient Boosting,classification,203,33,5.00,0.610837,0.261084,0.349754,group-balanced classification error inflation,0.265605,0.353238,0.259330,0.430373,0.031,-0.087633,1000,compatible_with_topology_null
mendeley_beam_column_joint,Mendeley cyclic beam-column joint shear|joint_shear_strength_regression,Ridge,regression,98,18,4.00,0.514706,-0.497603,1.012309,group-balanced normalized absolute-error inflation,0.179734,0.173861,0.153273,0.195781,0.694,0.005873,1000,compatible_with_topology_null
mendeley_beam_column_joint,Mendeley cyclic beam-column joint shear|joint_shear_strength_regression,Random Forest,regression,98,18,4.00,0.574912,-0.816965,1.391878,group-balanced normalized absolute-error inflation,0.254246,0.256493,0.235964,0.279156,0.417,-0.002247,1000,compatible_with_topology_null
mendeley_beam_column_joint,Mendeley cyclic beam-column joint shear|joint_shear_strength_regression,Gradient Boosting,regression,98,18,4.00,0.795047,-1.356902,2.151948,group-balanced normalized absolute-error inflation,0.322353,0.331094,0.295286,0.371954,0.324,-0.008741,1000,compatible_with_topology_null
