method,parent,selected_model,external_oracle_model,external_nrmse_regret
GroupKFold_Source,lwc90,ExtraTrees,Ridge,0.199881179316051
ClaimCut_C_source,lwc90,ExtraTrees,Ridge,0.199881179316051
RandomKFold,lwc90,HistGradientBoosting,Ridge,0.3291077116920002
DataSAIL_C1e_Scalar_C_deck,lwc90,ExtraTrees,Ridge,0.199881179316051
