parent,model,method,bootstrap_type,population_inference,n_clusters,rmse_ci_low_kN,rmse_ci_high_kN,mae_ci_low_kN,mae_ci_high_kN,signed_risk_error_ci_low,signed_risk_error_ci_high
lwc90,Ridge,GroupKFold_Source,source_cluster_bootstrap,True,5,14.48780713759538,23.007548853374,12.535189126730655,19.86370140572604,0.0767819269397876,0.2292586394873711
lwc90,Ridge,ClaimCut_C_source,source_cluster_bootstrap,True,5,14.48780713759538,23.007548853374,12.535189126730655,19.86370140572604,0.1075746184994835,0.260051331047067
lwc90,Ridge,RandomKFold,source_cluster_bootstrap,True,5,14.48780713759538,23.007548853374,12.535189126730655,19.86370140572604,-0.0113441866515367,0.1411325258960467
lwc90,Ridge,DataSAIL_C1e_Scalar_C_deck,source_cluster_bootstrap,True,5,14.48780713759538,23.007548853374,12.535189126730655,19.86370140572604,0.0880797064405393,0.2405564189881228
lwc90,RBF_SVR,GroupKFold_Source,source_cluster_bootstrap,True,5,46.48971943929558,78.37184138657453,43.25856923200926,74.0054228033924,-0.7886577332788,-0.2180675316346435
lwc90,RBF_SVR,ClaimCut_C_source,source_cluster_bootstrap,True,5,46.48971943929558,78.37184138657453,43.25856923200926,74.0054228033924,-0.7900166574643421,-0.2194264558201857
lwc90,RBF_SVR,RandomKFold,source_cluster_bootstrap,True,5,46.48971943929558,78.37184138657453,43.25856923200926,74.0054228033924,-0.9509847153455774,-0.3803945137014209
lwc90,RBF_SVR,DataSAIL_C1e_Scalar_C_deck,source_cluster_bootstrap,True,5,46.48971943929558,78.37184138657453,43.25856923200926,74.0054228033924,-0.8089240799157424,-0.238333878271586
lwc90,ExtraTrees,GroupKFold_Source,source_cluster_bootstrap,True,5,17.982624222826942,37.77144269296031,14.69683906846026,33.754904168156386,-0.2170898320944521,0.1370680856202026
lwc90,ExtraTrees,ClaimCut_C_source,source_cluster_bootstrap,True,5,17.982624222826942,37.77144269296031,14.69683906846026,33.754904168156386,-0.2369989850097071,0.1171589327049476
lwc90,ExtraTrees,RandomKFold,source_cluster_bootstrap,True,5,17.982624222826942,37.77144269296031,14.69683906846026,33.754904168156386,-0.3582083061048793,-0.0040503883902245
lwc90,ExtraTrees,DataSAIL_C1e_Scalar_C_deck,source_cluster_bootstrap,True,5,17.982624222826942,37.77144269296031,14.69683906846026,33.754904168156386,-0.2267556582878525,0.1274022594268021
lwc90,HistGradientBoosting,GroupKFold_Source,source_cluster_bootstrap,True,5,21.732683177548665,55.13681724842492,14.98661545023204,48.14496510760444,-0.5062284821526517,0.0916009730752001
lwc90,HistGradientBoosting,ClaimCut_C_source,source_cluster_bootstrap,True,5,21.732683177548665,55.13681724842492,14.98661545023204,48.14496510760444,-0.5088168683680756,0.0890125868597763
lwc90,HistGradientBoosting,RandomKFold,source_cluster_bootstrap,True,5,21.732683177548665,55.13681724842492,14.98661545023204,48.14496510760444,-0.6929918582362646,-0.0951624030084127
lwc90,HistGradientBoosting,DataSAIL_C1e_Scalar_C_deck,source_cluster_bootstrap,True,5,21.732683177548665,55.13681724842492,14.98661545023204,48.14496510760444,-0.5222088428205078,0.075620612407344
