task,target,model,split,n_samples,n_groups,median_group_size,max_group_size,pooled_r2,mae,fold_mean_pooled_r2,fold_sd_pooled_r2,fold_mean_mae,fold_sd_mae,gap_vs_random
PRJ-2430 RC wall peak lateral strength,Vmax,Ridge,RandomKFold,142,28,4.0,15,0.35627661397830035,54.38011560614067,0.2135442340485377,0.6180522965182438,54.22375496400802,12.611706776148637,0.0
PRJ-2430 RC wall peak lateral strength,Vmax,Ridge,GroupKFold,142,28,4.0,15,-1.873247691401922,130.11092585539922,-3.8832770720071834,2.9386929527378625,130.68565336067007,65.2708706677367,2.2295243053802225
PRJ-2430 RC wall peak lateral strength,Vmax,Ridge,LeaveOneSourceOut,142,28,4.0,15,-1.1323182039007271,125.46792858274385,-13108.540671501922,63928.942126012895,126.92296977786305,94.020951983511,1.4885948178790276
PRJ-2430 RC wall peak lateral strength,Vmax,Random Forest,RandomKFold,142,28,4.0,15,0.5983768925561281,38.50332455617456,0.5205353833748759,0.3726711228544062,38.44202985917442,4.655403934486569,0.0
PRJ-2430 RC wall peak lateral strength,Vmax,Random Forest,GroupKFold,142,28,4.0,15,0.0694884285323717,74.47727617208574,-0.4378472289903378,0.2744019494982062,74.41358306435116,27.18220015147242,0.5288884640237564
PRJ-2430 RC wall peak lateral strength,Vmax,Random Forest,LeaveOneSourceOut,142,28,4.0,15,0.22186949212499085,69.58472415048868,-14922.040984075611,77210.23907621682,64.01902222773637,51.095570643450536,0.3765074004311373
PRJ-2430 RC wall peak lateral strength,Vmax,Gradient Boosting,RandomKFold,142,28,4.0,15,0.6238963551000518,39.57470001718628,0.5739866487343219,0.25877405488709504,39.42858884356859,11.642837222833386,0.0
PRJ-2430 RC wall peak lateral strength,Vmax,Gradient Boosting,GroupKFold,142,28,4.0,15,0.07185933183774107,72.64878268874774,-0.43666659612862346,0.33287360955785744,72.6234954451754,28.7397416328524,0.5520370232623107
PRJ-2430 RC wall peak lateral strength,Vmax,Gradient Boosting,LeaveOneSourceOut,142,28,4.0,15,0.11566853343150607,77.45928953421641,-52154.34441387951,270053.25613025576,74.89436303758767,51.829502469976696,0.5082278216685457
PRJ-2430 RC wall drift capacity,driftCap,Ridge,RandomKFold,142,28,4.0,15,-0.020336140695851546,0.850942266534863,-0.07471992088480048,0.3326320535565746,0.8496385186075768,0.17444782545627302,0.0
PRJ-2430 RC wall drift capacity,driftCap,Ridge,GroupKFold,142,28,4.0,15,-2.836774185068552,1.9205377328573119,-4.7482873163806305,3.538541551579037,1.9206907528364119,0.5268840088574264,2.816438044372701
PRJ-2430 RC wall drift capacity,driftCap,Ridge,LeaveOneSourceOut,142,28,4.0,15,-1.2854211074718052,1.4790441449736786,-20.06466530551165,51.83120843223179,1.6753971469918574,1.2094555470229937,1.2650849667759536
PRJ-2430 RC wall drift capacity,driftCap,Random Forest,RandomKFold,142,28,4.0,15,0.30019826312830233,0.6521186475577709,0.34463358915509634,0.28613392338434745,0.6514891290176663,0.1615516847426693,0.0
PRJ-2430 RC wall drift capacity,driftCap,Random Forest,GroupKFold,142,28,4.0,15,-0.08507622319301733,0.9167222435237475,-0.049185323080645604,0.32074154799036664,0.9183017769335248,0.42458852084474463,0.38527448632131966
PRJ-2430 RC wall drift capacity,driftCap,Random Forest,LeaveOneSourceOut,142,28,4.0,15,0.07436869598702123,0.8297895509454453,-9.398890317465243,27.820858314879924,0.8800775566645835,0.5953965501652783,0.2258295671412811
PRJ-2430 RC wall drift capacity,driftCap,Gradient Boosting,RandomKFold,142,28,4.0,15,0.14016116687373126,0.7010374264117271,0.08061953018605575,0.3508683161066597,0.7012180566900745,0.1489560668297115,0.0
PRJ-2430 RC wall drift capacity,driftCap,Gradient Boosting,GroupKFold,142,28,4.0,15,-0.3388562624643394,1.069908109373321,-0.44123834882915974,0.5784824946212692,1.073360435580528,0.47148548640093924,0.4790174293380707
PRJ-2430 RC wall drift capacity,driftCap,Gradient Boosting,LeaveOneSourceOut,142,28,4.0,15,-0.10405322856937116,0.9272563045132972,-7.349675269859341,21.566735505189822,0.9421899279085107,0.6886003498086938,0.24421439544310242
