group,n
Lefas,15
Oesterle,13
Lu,11
Barda,8
Whittaker,7
Dazio,6
Pilakoutas,6
Massone,6
Segura,6
Hube,6
Oh,5
Tran,5
Lowes,4
Wallace,4
Cardenas,4
Shegay,4
DengLiang,4
Huq,4
Tasnimi,4
Alarcon,3
ZhangWang,3
SuWong,3
Liu,2
Synge,2
Wiradinata,2
Bertero,2
Palermo,2
Tupper,1
