scenario,method,n_replicates,n_model_rows,n_nonmissing_ere_record_weighted,mean_ere,median_ere,sd_ere,n_nonmissing_signed_bias_record_weighted,mean_signed_bias,n_nonmissing_ere_equal_domain,mean_equal_domain_ere,n_nonmissing_ere_worst_domain,mean_worst_domain_ere,n_nonmissing_squared_calibration_error_record_weighted,mean_squared_calibration_error_record_weighted,n_nonmissing_squared_calibration_error_equal_domain,mean_squared_calibration_error_equal_domain,n_nonmissing_squared_calibration_error_worst_domain,mean_squared_calibration_error_worst_domain,n_nonmissing_aggregate_external_worst_domain_nrmse,mean_external_worst_domain_nrmse,n_nonmissing_foldwise_absolute_error_secondary,mean_foldwise_secondary,n_nonmissing_contract_signature_rmse,mean_contract_signature_rmse,n_nonmissing_max_relation_target_abs_error,mean_max_relation_target_abs_error,n_nonmissing_semantic_loss_count,mean_semantic_loss_count,n_nonmissing_backend_compile_exact,rate_backend_compile_exact
CORE_2.4_0.9_1.0,RandomKFold,100,400,400,0.08982831804427235,0.08089538478312719,0.0559595175620064,400,-0.08612747921021953,400,0.08982831804427233,400,1.2122170516784307,400,0.011192765659421016,400,0.011192765659421016,400,1.6025414980811548,400,1.8920863132136372,400,0.09553724943948722,400,0.7359800721939871,400,1.0,0,,0,
CORE_2.4_0.9_1.0,GroupKFold_Lab,100,400,400,0.06008315426342062,0.052452190795639064,0.0444736574374924,400,-0.020281794886606096,400,0.060083154263420625,400,1.1600793619413312,400,0.0055829468665947535,400,0.005582946866594754,400,1.4766923620660493,400,1.911468149861048,400,0.11221845197797314,400,0.1775907642061763,400,0.5,0,,0,
CORE_2.4_0.9_1.0,GroupKFold_Source,100,400,400,0.07502469148898148,0.06442155937609029,0.053887638817808774,400,-0.06747366584536474,400,0.07502469148898148,400,1.1962252858064333,400,0.008525322256332065,400,0.008525322256332065,400,1.5655034032367992,400,1.896218307432672,400,0.09590154566150094,400,0.563582416853141,400,1.0,0,,0,
CORE_2.4_0.9_1.0,GroupKFold_Supplier,100,400,400,0.061780964544577745,0.05003736296174077,0.04804997441823556,400,-0.024031475400260884,400,0.061780964544577745,400,1.1648176963704902,400,0.006119915621547481,400,0.006119915621547483,400,1.4902007753663995,400,1.9338986474433313,400,0.11628808665806062,400,0.43201818956968924,400,1.0,0,,0,
CORE_2.4_0.9_1.0,CompositeGroup_LabPair,100,400,400,0.05960194468171613,0.04335808566828264,0.049003918801507604,400,-0.013705794311593224,400,0.05960194468171613,400,1.1563985736006068,400,0.005947772407602339,400,0.005947772407602338,400,1.470425863863635,400,1.9150206687418614,400,0.11556967301680718,400,0.0,400,0.0,0,,0,
CORE_2.4_0.9_1.0,ClaimCut,100,400,400,0.05998977090847228,0.05038551734186281,0.04613293316378322,400,-0.01583561263595971,400,0.05998977090847228,400,1.1589875569501227,400,0.005721699517139343,400,0.005721699517139341,400,1.4749027569878146,400,1.9149535970362832,400,0.12061026171983263,400,0.0,400,0.0,400,0.0,400,1.0
CORE_2.4_0.9_1.0,DataSAIL_C1e_Scalar,100,400,400,0.06224070118863514,0.05153869790341187,0.04730377482486403,400,-0.02629288593315692,400,0.06224070118863514,400,1.1668418786123163,400,0.006105957879352704,400,0.006105957879352704,400,1.494198540878115,400,1.9119228716560215,400,0.12609432268369974,400,0.4082482904638631,400,1.0,400,8.0,400,0.0
