model,validation,n_splits,n_samples,n_groups,r2_mean,r2_std,mae_mean,mae_std,pooled_r2,pooled_mae
GradientBoosting,GroupKFold_Source,10,804,54,0.6562728018486769,0.446448213630742,0.30949510456069873,0.09199269907016189,0.8530316972745534,0.31458098320197614
GradientBoosting,LeaveOneSourceOut,54,804,54,-25.260737502422582,96.76035902070619,0.28468209334691397,0.18219004108795223,0.8463173129082289,0.3209344191880741
GradientBoosting,RandomKFold,10,804,54,0.972710045899505,0.00679130971771582,0.11518438614377939,0.008843341505318706,0.9735976169034675,0.11519967706314732
RandomForest,GroupKFold_Source,10,804,54,0.5767110532723051,0.4757804056141154,0.36234479605557884,0.14338560554970914,0.7936641180073299,0.36391616427757234
RandomForest,LeaveOneSourceOut,54,804,54,-30.876520152860273,139.56519723253254,0.3150345249510399,0.21445197500828483,0.8028010625324585,0.3557438535303867
RandomForest,RandomKFold,10,804,54,0.9735448608841171,0.006630700447196129,0.10186747687927744,0.008736335478822809,0.9740192973066634,0.10187571326012755
Ridge,GroupKFold_Source,10,804,54,0.4871833124733003,0.6148146267067617,0.4131436170883953,0.11290792417526176,0.7554583325607492,0.41848193111278204
Ridge,LeaveOneSourceOut,54,804,54,-109.47600867925556,549.7730603470075,0.3761582441380139,0.25761417208649645,0.7663855117697097,0.4091664981777141
Ridge,RandomKFold,10,804,54,0.9520847435558935,0.018056199248073786,0.16562045524236352,0.02098315412805871,0.9532852156784531,0.16570876703787857
