source_group,n
Mangat and Elgarf (1999a),111
Azad et al. (2007),56
Azad et al. (2010),48
Ma et al. (2013),48
Hansapinyo et al. (2021),44
O'Flaherty and Browne (2019),39
O'Flaherty et al. (2004),26
Wang et al. (2014),22
Xia et al. (2012),20
Nguyen and Lambert (2018),20
Ye et al. (2018),19
Jin and Zhao (2001),17
Du et al. (2007),17
Nasser et al. (2021),17
Yadav et al. (2018),16
Gu et al. (2010),15
Rodriguez et al. (1997),14
Cairns et al. (2008),13
Oyado et al. (2011),13
Li et al. (2018),13
Al-Sulaimani et al. (1990),12
Torres-Acosta et al. (2003),12
Liu et al. (2016),12
Hou et al. (2019),12
Tran et al. (2022),12
Torres-Acosta et al. (2007),11
Dong et al. (2011),11
Zhou et al. (2018),10
El Maaddawy et al. (2005),9
Van Nguyen et al. (2022),9
Jung et al. (2019),8
Zhang et al. (2019),8
Yalciner et al. (2020),8
Nasser et al. (2022),8
Biswas et al. (2020),7
Tan et al. (2019),6
Huang et al. (2022),6
Du et al. (2013),5
Lee et al. (1999),4
Zhu et al. (2013),4
Zhu et al. (2015),4
Zhang et al. (2016),4
Dong et al. (2017),4
Lim et al. (2017),4
Hu et al. 2019),4
Shen et al. (2019),4
Yu et al. (2015),3
Dasar et al. (2017),3
Castel et al. (2000a),2
Khan et al. (2011),2
Dang and François (2013),2
Zhu and François (2014),2
Zhu and François (2016),2
Njeem et al. (2019),2
