group,n
Weber-Kamin et al. (2020),9
Naish et al. (2013),7
Cheng et al. (2019),6
Ameen et al. (2020),5
Lim et al. (2016),4
Howard (2017),4
Paulay and Binney (1974),3
Shiu et al. (1978),2
Tassios et al. (1996),2
Galano and Vignoli (2000),2
Shimazaki (2004),2
Fortney et al. (2008),2
Han et al. (2015),2
Han et al. (2018),2
Park et al. (2020),2
Sonobe et al. (1995),1
Gonzalez (2001),1
Kwan and Zhao (2002),1
Canbolat et al. (2005),1
Yun et al. (2007),1
Poudel et al. (2018),1
