scenario,action_set,outer_fold,protocol,alpha,n_candidates,n_feasible,admissible,G_mode,G_refuse_mode,A_mode,G_model,G_margin,G_released,G_unsafe,A_released,A_unsafe,same_choice
failure_mode,release_when_not_dangerous,0,random,0.1,12,12,True,release,release,release,ExtraTrees,,84,13,84,13,True
failure_mode,release_when_not_dangerous,0,random,0.2,12,12,True,release,release,release,ExtraTrees,,84,13,84,13,True
failure_mode,release_when_not_dangerous,0,source,0.05,12,7,True,release,release,release,ExtraTrees,,76,11,76,11,True
failure_mode,release_when_not_dangerous,0,source,0.1,12,10,True,release,release,release,ExtraTrees,,84,13,84,13,True
failure_mode,release_when_not_dangerous,0,source,0.2,12,12,True,release,release,release,RandomForest,,84,13,84,13,True
failure_mode,release_when_not_dangerous,1,random,0.05,12,12,True,release,release,release,ExtraTrees,,33,5,33,5,True
failure_mode,release_when_not_dangerous,1,random,0.1,12,12,True,release,release,release,ExtraTrees,,33,5,33,5,True
failure_mode,release_when_not_dangerous,1,random,0.2,12,12,True,release,release,release,ExtraTrees,,33,5,33,5,True
failure_mode,release_when_not_dangerous,1,source,0.05,12,9,True,release,release,release,ExtraTrees,,33,5,33,5,True
failure_mode,release_when_not_dangerous,1,source,0.1,12,12,True,release,release,release,RandomForest,,34,5,34,5,True
failure_mode,release_when_not_dangerous,1,source,0.2,12,12,True,release,release,release,RandomForest,,34,5,34,5,True
failure_mode,release_when_not_dangerous,2,random,0.05,12,10,True,release,release,release,RandomForest,,28,8,28,8,True
failure_mode,release_when_not_dangerous,2,random,0.1,12,12,True,release,release,release,ExtraTrees,,25,4,25,4,True
failure_mode,release_when_not_dangerous,2,random,0.2,12,12,True,release,release,release,ExtraTrees,,25,4,25,4,True
failure_mode,release_when_not_dangerous,2,source,0.05,12,8,True,release,release,release,ExtraTrees,,22,4,22,4,True
failure_mode,release_when_not_dangerous,2,source,0.1,12,12,True,release,release,release,RandomForest,,28,8,28,8,True
failure_mode,release_when_not_dangerous,2,source,0.2,12,12,True,release,release,release,RandomForest,,28,8,28,8,True
failure_mode,release_when_not_dangerous,3,random,0.05,12,8,True,release,release,release,ExtraTrees,,24,2,24,2,True
failure_mode,release_when_not_dangerous,3,random,0.1,12,12,True,release,release,release,ExtraTrees,,27,5,27,5,True
failure_mode,release_when_not_dangerous,3,random,0.2,12,12,True,release,release,release,ExtraTrees,,27,5,27,5,True
failure_mode,release_when_not_dangerous,3,source,0.05,12,6,True,release,release,release,ExtraTrees,,12,0,12,0,True
failure_mode,release_when_not_dangerous,3,source,0.1,12,12,True,release,release,release,ExtraTrees,,27,5,27,5,True
failure_mode,release_when_not_dangerous,3,source,0.2,12,12,True,release,release,release,ExtraTrees,,27,5,27,5,True
failure_mode,release_when_not_dangerous,4,random,0.05,12,12,True,release,release,release,ExtraTrees,,24,3,24,3,True
failure_mode,release_when_not_dangerous,4,random,0.1,12,12,True,release,release,release,ExtraTrees,,24,3,24,3,True
failure_mode,release_when_not_dangerous,4,random,0.2,12,12,True,release,release,release,ExtraTrees,,24,3,24,3,True
failure_mode,release_when_not_dangerous,4,source,0.05,12,8,True,release,release,release,ExtraTrees,,21,2,21,2,True
failure_mode,release_when_not_dangerous,4,source,0.1,12,12,True,release,release,release,RandomForest,,24,4,24,4,True
failure_mode,release_when_not_dangerous,4,source,0.2,12,12,True,release,release,release,RandomForest,,24,4,24,4,True
