dataset,variant,model,n,pooled_r2,rmse,mae,fold_mean_r2,fold_sd_r2,n_folds
stub_cfst,random5,Ridge,1316,0.8428,5398.9643,2225.9142,0.8425,0.0176,5
stub_cfst,random5,RandomForest,1316,0.9388,3367.833,588.7223,0.9414,0.0363,5
stub_cfst,random5,ExtraTrees,1316,0.9864,1588.1365,315.5565,0.9878,0.0075,5
stub_cfst,random5,GradientBoosting,1316,0.972,2279.3846,473.2354,0.9733,0.0227,5
stub_cfst,dummy_trainmean,Dummy,1316,-0.0018,13627.2491,4936.0802,-0.0058,0.0072,5
stub_cfst,honoured,Ridge,1316,0.4819,9800.0085,2602.8287,-0.9137,1.0848,3
stub_cfst,honoured,RandomForest,1316,0.5757,8869.0862,1896.3989,0.7528,0.1442,3
stub_cfst,honoured,ExtraTrees,1316,0.6043,8564.856,1645.8061,0.7948,0.1522,3
stub_cfst,honoured,GradientBoosting,1316,0.644,8123.4433,1713.4569,0.789,0.1171,3
stub_cfst,sizematch_relation,Ridge,1316,0.8443,5371.6813,2150.1855,0.8605,0.0408,3
stub_cfst,sizematch_relation,RandomForest,1316,0.9402,3329.0466,558.2917,0.9565,0.0351,3
stub_cfst,sizematch_relation,ExtraTrees,1316,0.9714,2303.3674,348.5895,0.9809,0.021,3
stub_cfst,sizematch_relation,GradientBoosting,1316,0.9459,3168.1805,552.4907,0.9614,0.0326,3
corroded_rc_beam,random5,Ridge,804,0.946,0.2474,0.1821,0.9452,0.0087,5
corroded_rc_beam,random5,RandomForest,804,0.9761,0.1647,0.0982,0.9758,0.004,5
corroded_rc_beam,random5,ExtraTrees,804,0.9787,0.1553,0.0888,0.9784,0.0045,5
corroded_rc_beam,random5,GradientBoosting,804,0.9746,0.1696,0.1139,0.9744,0.0033,5
corroded_rc_beam,dummy_trainmean,Dummy,804,-0.0023,1.066,0.8884,-0.0066,0.0096,5
corroded_rc_beam,honoured,Ridge,804,0.6801,0.6022,0.4889,0.4434,0.3305,5
corroded_rc_beam,honoured,RandomForest,804,0.784,0.4949,0.3694,0.593,0.2801,5
corroded_rc_beam,honoured,ExtraTrees,804,0.8686,0.386,0.2792,0.7901,0.1128,5
corroded_rc_beam,honoured,GradientBoosting,804,0.8342,0.4336,0.3356,0.6915,0.1836,5
corroded_rc_beam,sizematch_relation,Ridge,804,0.9428,0.2546,0.1867,0.9423,0.0086,5
corroded_rc_beam,sizematch_relation,RandomForest,804,0.9755,0.1668,0.1008,0.9751,0.003,5
corroded_rc_beam,sizematch_relation,ExtraTrees,804,0.9788,0.155,0.0881,0.9783,0.0043,5
corroded_rc_beam,sizematch_relation,GradientBoosting,804,0.9728,0.1757,0.1174,0.9723,0.0032,5
wall_prj2430_Vmax,random5,Ridge,142,0.4384,83.8374,53.7818,0.3805,0.1817,5
wall_prj2430_Vmax,random5,RandomForest,142,0.6743,63.8466,35.9433,0.6723,0.1359,5
wall_prj2430_Vmax,random5,ExtraTrees,142,0.6928,62.0063,32.2311,0.6956,0.1124,5
wall_prj2430_Vmax,random5,GradientBoosting,142,0.6945,61.8369,34.0085,0.6945,0.1871,5
wall_prj2430_Vmax,dummy_trainmean,Dummy,142,-0.0165,112.7974,82.7932,-0.0647,0.0697,5
wall_prj2430_Vmax,honoured,Ridge,142,-2.8791,220.3454,145.0968,-5.7321,4.4629,5
wall_prj2430_Vmax,honoured,RandomForest,142,0.2426,97.3624,70.3073,0.0324,0.5251,5
wall_prj2430_Vmax,honoured,ExtraTrees,142,0.2665,95.8181,69.1366,0.0642,0.5272,5
wall_prj2430_Vmax,honoured,GradientBoosting,142,0.3164,92.4988,68.31,0.0289,0.5512,5
wall_prj2430_Vmax,sizematch_relation,Ridge,142,0.4271,84.6793,50.2476,0.3642,0.2286,5
wall_prj2430_Vmax,sizematch_relation,RandomForest,142,0.6763,63.6492,35.7445,0.6742,0.1308,5
wall_prj2430_Vmax,sizematch_relation,ExtraTrees,142,0.5263,77.0006,36.0664,0.5818,0.2533,5
wall_prj2430_Vmax,sizematch_relation,GradientBoosting,142,0.5744,72.9862,36.7849,0.6007,0.2673,5
wall_prj2430_Vmax,honoured_proxy,Ridge,142,-1.8099,187.5355,120.7187,-52.4874,86.021,5
wall_prj2430_Vmax,honoured_proxy,RandomForest,142,0.0693,107.9318,75.4103,-53.9441,107.9973,5
wall_prj2430_Vmax,honoured_proxy,ExtraTrees,142,0.1302,104.3382,73.0105,-41.2205,82.331,5
wall_prj2430_Vmax,honoured_proxy,GradientBoosting,142,0.1684,102.0243,75.4211,-66.2373,131.546,5
wall_prj2430_Vmax,sizematch_proxy,Ridge,142,-3.3973,234.6009,147.0901,-11.396,20.5349,5
wall_prj2430_Vmax,sizematch_proxy,RandomForest,142,0.6344,67.6426,41.9245,-0.0917,1.0881,5
wall_prj2430_Vmax,sizematch_proxy,ExtraTrees,142,0.6045,70.3571,41.9596,0.3347,0.6578,5
wall_prj2430_Vmax,sizematch_proxy,GradientBoosting,142,0.6172,69.2175,42.2073,0.292,0.6309,5
wall_prj2430_Vmax,wall_combo,Ridge,142,-1.1483,163.9799,126.2386,-3.0213,3.2318,5
wall_prj2430_Vmax,wall_combo,RandomForest,142,0.2516,96.7823,67.836,-0.2214,0.8799,5
wall_prj2430_Vmax,wall_combo,ExtraTrees,142,0.2745,95.294,67.5752,0.0426,0.2572,5
wall_prj2430_Vmax,wall_combo,GradientBoosting,142,0.3314,91.4781,65.1505,0.0673,0.2963,5
wall_prj2430_drift,random5,Ridge,142,-0.1174,1.3779,0.8204,-0.225,0.3647,5
wall_prj2430_drift,random5,RandomForest,142,0.282,1.1046,0.6188,0.3064,0.1406,5
wall_prj2430_drift,random5,ExtraTrees,142,0.3104,1.0825,0.5802,0.3022,0.1283,5
wall_prj2430_drift,random5,GradientBoosting,142,0.167,1.1897,0.6886,0.0922,0.2687,5
wall_prj2430_drift,dummy_trainmean,Dummy,142,-0.0107,1.3105,0.9476,-0.0238,0.0269,5
wall_prj2430_drift,honoured,Ridge,142,-1.8392,2.1964,1.5073,-1.9362,1.1691,5
wall_prj2430_drift,honoured,RandomForest,142,-0.1139,1.3758,0.9363,-0.0344,0.5314,5
wall_prj2430_drift,honoured,ExtraTrees,142,0.1183,1.224,0.7892,0.1547,0.4384,5
wall_prj2430_drift,honoured,GradientBoosting,142,-0.1185,1.3786,0.976,-0.1173,0.4135,5
wall_prj2430_drift,sizematch_relation,Ridge,142,-0.6602,1.6796,0.9107,-0.5911,0.9573,5
wall_prj2430_drift,sizematch_relation,RandomForest,142,0.2389,1.1372,0.64,0.2725,0.2286,5
wall_prj2430_drift,sizematch_relation,ExtraTrees,142,0.2576,1.1232,0.5879,0.2749,0.2907,5
wall_prj2430_drift,sizematch_relation,GradientBoosting,142,0.015,1.2938,0.7051,0.0343,0.3175,5
wall_prj2430_drift,honoured_proxy,Ridge,142,-5.1629,3.2361,2.4347,-30.1775,53.8936,5
wall_prj2430_drift,honoured_proxy,RandomForest,142,-0.2921,1.4818,1.0629,-0.2446,0.4882,5
wall_prj2430_drift,honoured_proxy,ExtraTrees,142,-0.454,1.5719,1.1243,-0.1413,0.5767,5
wall_prj2430_drift,honoured_proxy,GradientBoosting,142,-0.8604,1.778,1.2597,-0.2813,0.8624,5
wall_prj2430_drift,sizematch_proxy,Ridge,142,-2.2616,2.3542,1.5617,-0.9104,1.6306,5
wall_prj2430_drift,sizematch_proxy,RandomForest,142,0.0415,1.2762,0.82,-2.2454,5.0244,5
wall_prj2430_drift,sizematch_proxy,ExtraTrees,142,0.0143,1.2942,0.8288,-2.0566,4.7204,5
wall_prj2430_drift,sizematch_proxy,GradientBoosting,142,-0.0956,1.3644,0.8663,-6.9145,13.8689,5
wall_prj2430_drift,wall_combo,Ridge,142,-3.839,2.8675,1.9851,-6.1094,5.0538,5
wall_prj2430_drift,wall_combo,RandomForest,142,0.1992,1.1665,0.7718,0.1454,0.2103,5
wall_prj2430_drift,wall_combo,ExtraTrees,142,0.1866,1.1756,0.7426,0.1507,0.2138,5
wall_prj2430_drift,wall_combo,GradientBoosting,142,0.0591,1.2644,0.864,-0.0257,0.2178,5
coupling_beams_prj3053,random5,Ridge,60,0.995,5.6242,4.2092,0.9945,0.0019,5
coupling_beams_prj3053,random5,RandomForest,60,0.9667,14.5786,9.1486,0.9679,0.0194,5
coupling_beams_prj3053,random5,ExtraTrees,60,0.9905,7.796,4.5627,0.9901,0.0063,5
coupling_beams_prj3053,random5,GradientBoosting,60,0.9856,9.5886,5.5358,0.985,0.0103,5
coupling_beams_prj3053,dummy_trainmean,Dummy,60,-0.0145,80.4975,65.3284,-0.0595,0.0836,5
coupling_beams_prj3053,honoured,Ridge,60,0.9936,6.3742,4.2635,0.9884,0.0107,5
coupling_beams_prj3053,honoured,RandomForest,60,0.9195,22.6749,12.4766,0.9188,0.0543,5
coupling_beams_prj3053,honoured,ExtraTrees,60,0.9423,19.1985,10.261,0.9382,0.0451,5
coupling_beams_prj3053,honoured,GradientBoosting,60,0.9565,16.6613,9.209,0.9568,0.0352,5
coupling_beams_prj3053,sizematch_relation,Ridge,60,0.9959,5.0953,3.6742,0.9948,0.0044,5
coupling_beams_prj3053,sizematch_relation,RandomForest,60,0.955,16.9445,9.8543,0.9614,0.0355,5
coupling_beams_prj3053,sizematch_relation,ExtraTrees,60,0.9854,9.6461,5.3528,0.9868,0.0154,5
coupling_beams_prj3053,sizematch_relation,GradientBoosting,60,0.9822,10.6751,5.8223,0.9849,0.0125,5
concrete_strength,random5,Ridge,1030,0.6058,10.4842,8.3056,0.6049,0.024,5
concrete_strength,random5,RandomForest,1030,0.9133,4.9173,3.3708,0.9128,0.0101,5
concrete_strength,random5,ExtraTrees,1030,0.9245,4.5886,2.8816,0.9237,0.0128,5
concrete_strength,random5,GradientBoosting,1030,0.9036,5.1849,3.8123,0.903,0.0095,5
concrete_strength,dummy_trainmean,Dummy,1030,-0.002,16.7142,13.4783,-0.0059,0.0059,5
concrete_strength,honoured_proxy,Ridge,1030,0.5992,10.5716,8.3746,0.592,0.0433,5
concrete_strength,honoured_proxy,RandomForest,1030,0.917,4.8115,3.3545,0.9161,0.0088,5
