campaign,records,type_levels
Lefas,15,['Rect']
Lu,11,['Rect']
Whittaker,7,['Rect']
Dazio,6,['Rect']
Massone,6,['Rect']
Hube,6,['Rect']
Pilakoutas,6,['Rect']
Oh,5,"['B', 'Rect', 'T']"
Tran,5,['Rect']
DengLiang,4,['Rect']
Tasnimi,4,['Rect']
Cardenas,4,['Rect']
Lowes,4,['Rect']
Shegay,4,['Rect']
Alarcon,3,['Rect']
ZhangWang,3,['Rect']
SuWong,3,['Rect']
Bertero,2,['Rect']
Wiradinata,2,['Rect']
Liu,2,['Rect']
Tupper,1,['Rect']
