dataset,variant,fold,n_train,n_test,train_fraction
stub_cfst,random5,0,1052,264,0.7994
stub_cfst,random5,1,1053,263,0.8002
stub_cfst,random5,2,1053,263,0.8002
stub_cfst,random5,3,1053,263,0.8002
stub_cfst,random5,4,1053,263,0.8002
stub_cfst,dummy_trainmean,0,1052,264,0.7994
stub_cfst,dummy_trainmean,1,1053,263,0.8002
stub_cfst,dummy_trainmean,2,1053,263,0.8002
stub_cfst,dummy_trainmean,3,1053,263,0.8002
stub_cfst,dummy_trainmean,4,1053,263,0.8002
stub_cfst,honoured,0,642,674,0.4878
stub_cfst,honoured,1,920,396,0.6991
stub_cfst,honoured,2,1070,246,0.8131
stub_cfst,sizematch_relation,0,642,674,0.4878
stub_cfst,sizematch_relation,1,920,396,0.6991
stub_cfst,sizematch_relation,2,1070,246,0.8131
corroded_rc_beam,random5,0,643,161,0.7998
corroded_rc_beam,random5,1,643,161,0.7998
corroded_rc_beam,random5,2,643,161,0.7998
corroded_rc_beam,random5,3,643,161,0.7998
corroded_rc_beam,random5,4,644,160,0.801
corroded_rc_beam,dummy_trainmean,0,643,161,0.7998
corroded_rc_beam,dummy_trainmean,1,643,161,0.7998
corroded_rc_beam,dummy_trainmean,2,643,161,0.7998
corroded_rc_beam,dummy_trainmean,3,643,161,0.7998
corroded_rc_beam,dummy_trainmean,4,644,160,0.801
corroded_rc_beam,honoured,0,642,162,0.7985
corroded_rc_beam,honoured,1,642,162,0.7985
corroded_rc_beam,honoured,2,644,160,0.801
corroded_rc_beam,honoured,3,644,160,0.801
corroded_rc_beam,honoured,4,644,160,0.801
corroded_rc_beam,sizematch_relation,0,642,162,0.7985
corroded_rc_beam,sizematch_relation,1,642,162,0.7985
corroded_rc_beam,sizematch_relation,2,644,160,0.801
corroded_rc_beam,sizematch_relation,3,644,160,0.801
corroded_rc_beam,sizematch_relation,4,644,160,0.801
wall_prj2430_Vmax,random5,0,113,29,0.7958
wall_prj2430_Vmax,random5,1,113,29,0.7958
wall_prj2430_Vmax,random5,2,114,28,0.8028
wall_prj2430_Vmax,random5,3,114,28,0.8028
wall_prj2430_Vmax,random5,4,114,28,0.8028
wall_prj2430_Vmax,dummy_trainmean,0,113,29,0.7958
wall_prj2430_Vmax,dummy_trainmean,1,113,29,0.7958
wall_prj2430_Vmax,dummy_trainmean,2,114,28,0.8028
wall_prj2430_Vmax,dummy_trainmean,3,114,28,0.8028
