K,f_max,f_max_dec,U,L,feasible,blocked_by
2,1/2,0.5,658,66,False,max_w>U
2,337/658,0.512158,674,66,True,
2,11/20,0.55,723,66,True,
2,3/5,0.6,789,66,True,
3,1/2,0.5,658,66,False,max_w>U
3,337/658,0.512158,674,66,True,
3,11/20,0.55,723,66,True,
3,3/5,0.6,789,66,True,
4,1/2,0.5,658,66,False,"m<K,max_w>U"
4,337/658,0.512158,674,66,False,m<K
4,11/20,0.55,723,66,False,m<K
4,3/5,0.6,789,66,False,m<K
5,1/2,0.5,658,66,False,"m<K,max_w>U"
5,337/658,0.512158,674,66,False,m<K
5,11/20,0.55,723,66,False,m<K
5,3/5,0.6,789,66,False,m<K
10,1/2,0.5,658,66,False,"m<K,max_w>U"
10,337/658,0.512158,674,66,False,m<K
10,11/20,0.55,723,66,False,m<K
10,3/5,0.6,789,66,False,m<K
