scenario,outer_fold,protocol,alpha,demand_quantile,demand_physical,model,margin,inner_r_all,inner_coverage,realised_r_all,realised_r_released,realised_coverage,n_test,n_released,n_unsafe,gap_r_all,target_met,action_set,confidence
failure_mode,1,random,0.1,,,ExtraTrees,,0.04114,0.1329,0.0,,0.0,77,0,0,-0.04114,True,act_on_confidence,1.0
failure_mode,1,random,0.2,,,ExtraTrees,,0.04114,0.1329,0.0,,0.0,77,0,0,-0.04114,True,act_on_confidence,1.0
failure_mode,1,random,0.05,,,ExtraTrees,,0.04747,0.5823,0.06494,0.15152,0.4286,77,33,5,0.01747,False,release_when_not_dangerous,0.0
failure_mode,1,random,0.1,,,ExtraTrees,,0.04747,0.5823,0.06494,0.15152,0.4286,77,33,5,0.01747,True,release_when_not_dangerous,0.0
failure_mode,1,random,0.2,,,ExtraTrees,,0.04747,0.5823,0.06494,0.15152,0.4286,77,33,5,0.01747,True,release_when_not_dangerous,0.0
failure_mode,1,source,0.05,,,ExtraTrees,,0.00633,0.0063,0.0,,0.0,77,0,0,-0.00633,True,act_on_confidence,1.0
failure_mode,1,source,0.1,,,ExtraTrees,,0.0981,0.1297,0.07792,1.0,0.0779,77,6,6,-0.02018,True,act_on_confidence,0.8
failure_mode,1,source,0.2,,,RandomForest,,0.12658,0.1361,0.12987,1.0,0.1299,77,10,10,0.00329,True,act_on_confidence,0.8
failure_mode,1,source,0.05,,,ExtraTrees,,0.0443,0.4241,0.06494,0.15152,0.4286,77,33,5,0.02063,False,release_when_not_dangerous,0.0
failure_mode,1,source,0.1,,,RandomForest,,0.06962,0.4747,0.06494,0.14706,0.4416,77,34,5,-0.00469,True,release_when_not_dangerous,0.0
failure_mode,1,source,0.2,,,RandomForest,,0.06962,0.4747,0.06494,0.14706,0.4416,77,34,5,-0.00469,True,release_when_not_dangerous,0.0
failure_mode,2,random,0.05,,,ExtraTrees,,0.00631,0.0915,0.0,,0.0,76,0,0,-0.00631,True,act_on_confidence,1.0
failure_mode,2,random,0.1,,,ExtraTrees,,0.00631,0.0915,0.0,,0.0,76,0,0,-0.00631,True,act_on_confidence,1.0
failure_mode,2,random,0.2,,,RandomForest,,0.17035,0.5615,0.26316,0.90909,0.2895,76,22,20,0.09281,False,act_on_confidence,0.8
failure_mode,2,random,0.05,,,RandomForest,,0.03785,0.6372,0.10526,0.28571,0.3684,76,28,8,0.06741,False,release_when_not_dangerous,0.0
failure_mode,2,random,0.1,,,ExtraTrees,,0.05047,0.6498,0.05263,0.16,0.3289,76,25,4,0.00216,True,release_when_not_dangerous,0.0
failure_mode,2,random,0.2,,,ExtraTrees,,0.05047,0.6498,0.05263,0.16,0.3289,76,25,4,0.00216,True,release_when_not_dangerous,0.0
failure_mode,2,source,0.05,,,ExtraTrees,,0.00315,0.0032,0.0,,0.0,76,0,0,-0.00315,True,act_on_confidence,1.0
failure_mode,2,source,0.1,,,ExtraTrees,,0.06625,0.0852,0.06579,0.83333,0.0789,76,6,5,-0.00046,True,act_on_confidence,0.8
failure_mode,2,source,0.2,,,RandomForest,,0.15142,0.2713,0.48684,0.80435,0.6053,76,46,37,0.33542,False,act_on_confidence,0.6
failure_mode,2,source,0.05,,,ExtraTrees,,0.04101,0.4858,0.05263,0.18182,0.2895,76,22,4,0.01162,False,release_when_not_dangerous,0.4
failure_mode,2,source,0.1,,,RandomForest,,0.0694,0.571,0.10526,0.28571,0.3684,76,28,8,0.03586,False,release_when_not_dangerous,0.0
failure_mode,2,source,0.2,,,RandomForest,,0.0694,0.571,0.10526,0.28571,0.3684,76,28,8,0.03586,True,release_when_not_dangerous,0.0
failure_mode,3,random,0.05,,,ExtraTrees,,0.04101,0.1262,0.01316,1.0,0.0132,76,1,1,-0.02785,True,act_on_confidence,1.0
failure_mode,3,random,0.1,,,ExtraTrees,,0.04101,0.1262,0.01316,1.0,0.0132,76,1,1,-0.02785,True,act_on_confidence,1.0
failure_mode,3,random,0.2,,,ExtraTrees,,0.04101,0.1262,0.01316,1.0,0.0132,76,1,1,-0.02785,True,act_on_confidence,1.0
failure_mode,3,random,0.05,,,ExtraTrees,,0.04101,0.6246,0.02632,0.08333,0.3158,76,24,2,-0.01469,True,release_when_not_dangerous,0.4
failure_mode,3,random,0.1,,,ExtraTrees,,0.05047,0.6467,0.06579,0.18519,0.3553,76,27,5,0.01532,True,release_when_not_dangerous,0.0
failure_mode,3,random,0.2,,,ExtraTrees,,0.05047,0.6467,0.06579,0.18519,0.3553,76,27,5,0.01532,True,release_when_not_dangerous,0.0
failure_mode,3,source,0.05,,,ExtraTrees,,0.0,0.0,0.01316,1.0,0.0132,76,1,1,0.01316,True,act_on_confidence,1.0
failure_mode,3,source,0.1,,,RandomForest,,0.09779,0.1167,0.07895,1.0,0.0789,76,6,6,-0.01884,True,act_on_confidence,0.8
failure_mode,3,source,0.2,,,RandomForest,,0.09779,0.1167,0.07895,1.0,0.0789,76,6,6,-0.01884,True,act_on_confidence,0.8
failure_mode,3,source,0.05,,,ExtraTrees,,0.01577,0.205,0.0,0.0,0.1579,76,12,0,-0.01577,True,release_when_not_dangerous,0.6
failure_mode,3,source,0.1,,,ExtraTrees,,0.08833,0.5741,0.06579,0.18519,0.3553,76,27,5,-0.02254,True,release_when_not_dangerous,0.0
failure_mode,3,source,0.2,,,ExtraTrees,,0.08833,0.5741,0.06579,0.18519,0.3553,76,27,5,-0.02254,True,release_when_not_dangerous,0.0
failure_mode,4,random,0.05,,,RandomForest,,0.02208,0.1073,0.0,,0.0,76,0,0,-0.02208,True,act_on_confidence,1.0
failure_mode,4,random,0.1,,,ExtraTrees,,0.06309,0.164,0.01316,1.0,0.0132,76,1,1,-0.04993,True,act_on_confidence,1.0
failure_mode,4,random,0.2,,,ExtraTrees,,0.06309,0.164,0.01316,1.0,0.0132,76,1,1,-0.04993,True,act_on_confidence,1.0
failure_mode,4,random,0.05,,,ExtraTrees,,0.04416,0.5804,0.03947,0.125,0.3158,76,24,3,-0.00469,True,release_when_not_dangerous,0.0
failure_mode,4,random,0.1,,,ExtraTrees,,0.04416,0.5804,0.03947,0.125,0.3158,76,24,3,-0.00469,True,release_when_not_dangerous,0.0
failure_mode,4,random,0.2,,,ExtraTrees,,0.04416,0.5804,0.03947,0.125,0.3158,76,24,3,-0.00469,True,release_when_not_dangerous,0.0
failure_mode,4,source,0.05,,,ExtraTrees,,0.0,0.0,0.01316,1.0,0.0132,76,1,1,0.01316,True,act_on_confidence,1.0
failure_mode,4,source,0.1,,,ExtraTrees,,0.0,0.0,0.01316,1.0,0.0132,76,1,1,0.01316,True,act_on_confidence,1.0
failure_mode,4,source,0.2,,,ExtraTrees,,0.19874,0.2429,0.10526,0.66667,0.1579,76,12,8,-0.09348,True,act_on_confidence,0.8
failure_mode,4,source,0.05,,,ExtraTrees,,0.04416,0.3785,0.02632,0.09524,0.2763,76,21,2,-0.01785,True,release_when_not_dangerous,0.4
failure_mode,4,source,0.1,,,RandomForest,,0.05363,0.5363,0.05263,0.16667,0.3158,76,24,4,-0.001,True,release_when_not_dangerous,0.0
failure_mode,4,source,0.2,,,RandomForest,,0.05363,0.5363,0.05263,0.16667,0.3158,76,24,4,-0.001,True,release_when_not_dangerous,0.0
