metric,successes,total,rate
zero_false_exact,100,100,1.0
native_exact_realization,100,100,1.0
plan_reproducibility,100,100,1.0
assignment_reproducibility,100,100,1.0
outcome_invariance,100,100,1.0
typed_refusal_accuracy,100,100,1.0
independent_oracle_agreement,100,100,1.0
mutation_detection,100,100,1.0
production_mutation_detection,100,100,1.0
oracle_production_mutation_agreement,100,100,1.0
bruteforce_status_agreement,100,100,1.0
