module,n,groups,median_group_size,singleton_groups,grouping_proxy,topology_stress_note,headline_gap
Shear-wall classification,393,75,3,26,Author/source family,51 single-class groups; median majority-class share 1.00,Δacc≈0.304; Δmacro-F1≈0.347
SFRC shear (pooled R2),488,118,,,Source reference,Many small source groups,ΔR2≈0.811
UCI concrete (pooled R2),1030,428,,,Identical mix proportions,Large mix cardinality,ΔR2=0.040
Corroded beams (pooled R2),804,54,,,Experimental programme,Moderate programme blocks,ΔR2=0.180
Stub CFST family holdout,1316,3,,0,Section family,Only three families,ΔR2≈1.784
Mendeley exterior shear,203,33,,,Reference-coded authors,Joint shear regression,ΔR2≈0.198
Mendeley exterior failure mode,203,33,,,Reference-coded authors,Rare modes under grouping,Δacc≈0.369; Δmacro-F1≈0.275
Mendeley cyclic shear,98,18,,,Research team,Very small teams,ΔR2≈1.392
DS columns combined,497,99,,,Author/source proxy,Curated depot CSVs,ΔR2≈0.110
PRJ-2430 Vmax,142,28,4,1,Author/source,Wall regression,ΔR2≈0.529
PRJ-2430 drift capacity,142,28,4,1,Author/source,Low-variance folds,ΔR2≈0.385
PRJ-3053 peak shear,60,21,2,6,Literature reference,Contrast case,ΔR2≈−0.069
PRJ-3053 norm. shear,60,21,2,6,Literature reference,Moderate gap,ΔR2≈0.303
PRJ-3053 chord rotation,60,21,2,6,Literature reference,Moderate gap,ΔR2≈0.135
