module,descriptor,model,metric_type,group,group_n,feature_mean_smd,feature_max_smd,n_features_used,target_shift_smd,target_variance_ratio,class_majority_share,class_entropy,random_group_loss,grouped_group_loss,paired_loss_gap
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,540.0|0.0|0.0|162.0|2.5|1040.0|676.0,1,,,0,2.646477,,,,0.761067,0.748445,-0.012622
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,540.0|0.0|0.0|162.0|2.5|1055.0|676.0,1,,,0,1.562036,,,,0.205564,0.235779,0.030214
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,332.5|142.5|0.0|228.0|0.0|932.0|594.0,6,,,0,0.072364,0.068724,,,0.276644,0.285866,0.009223
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,198.6|132.4|0.0|192.0|0.0|978.4|825.5,6,,,0,0.391628,0.772684,,,0.223109,0.222029,-0.001080
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,266.0|114.0|0.0|228.0|0.0|932.0|670.0,5,,,0,0.807619,0.032479,,,0.374732,0.376385,0.001653
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,380.0|95.0|0.0|228.0|0.0|932.0|594.0,6,,,0,0.206080,0.054574,,,0.300295,0.305505,0.005210
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,475.0|0.0|0.0|228.0|0.0|932.0|594.0,6,,,0,0.320139,0.010585,,,0.348062,0.350083,0.002021
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,427.5|47.5|0.0|228.0|0.0|932.0|594.0,6,,,0,0.277851,0.041526,,,0.324154,0.311431,-0.012724
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,190.0|190.0|0.0|228.0|0.0|932.0|670.0,5,,,0,0.666170,0.105163,,,0.308894,0.331403,0.022509
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,304.0|76.0|0.0|228.0|0.0|932.0|670.0,5,,,0,0.944348,0.037315,,,0.408244,0.405821,-0.002423
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,380.0|0.0|0.0|228.0|0.0|932.0|670.0,4,,,0,1.029975,0.000401,,,0.361143,0.351639,-0.009504
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,139.6|209.4|0.0|192.0|0.0|1047.0|806.9,6,,,0,0.358784,0.878714,,,0.247613,0.246563,-0.001050
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,342.0|38.0|0.0|228.0|0.0|932.0|670.0,4,,,0,1.059423,0.024563,,,0.325449,0.328275,0.002826
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,237.5|237.5|0.0|228.0|0.0|932.0|594.0,6,,,0,0.118385,0.089396,,,0.280152,0.270086,-0.010065
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,349.0|0.0|0.0|192.0|0.0|1047.0|806.9,1,,,0,1.244417,,,,0.283356,0.280510,-0.002846
