scenario,reference_method,comparator,pairing_status,n_reference_model_rows,n_comparator_model_rows,n_paired_model_rows,model_pairing_coverage_vs_reference,n_reference_replicates,n_comparator_replicates,n_paired_replicates,replicate_pairing_coverage_vs_reference,familywise_alpha,bonferroni_family_size,per_comparison_alpha,one_sided_simultaneous_confidence,one_sided_per_comparison_quantile,n_bootstrap,n_cluster_replicates,n_replicates,observed_mean_difference,bootstrap_ci_2_5,bootstrap_ci_97_5,bootstrap_upper_one_sided_95,simultaneous_upper_one_sided_95,simultaneous_upper_one_sided_95_bonferroni
S2,ClaimCut,RandomKFold,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,-0.0166243561005594,-0.02465202711031668,-0.0077720470928414045,-0.009438687697942854,-0.005673703711684521,-0.005673703711684521
S2,ClaimCut,GroupKFold_Lab,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,0.003472116236631724,0.0005797773300982895,0.00659615972316023,0.006060991798639699,0.007394678893498153,0.007394678893498153
S2,ClaimCut,GroupKFold_Source,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,-0.00846658482878328,-0.015248723978412012,-0.0010858974620609418,-0.0023051903281737784,0.0008711245831743059,0.0008711245831743059
S2,ClaimCut,GroupKFold_Supplier,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,-0.004063767879882766,-0.009149735021377435,0.0013214913599458506,0.0005111333629747041,0.00273238617272245,0.00273238617272245
S2,ClaimCut,CompositeGroup_LabPair,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,-0.00011043710046496805,-0.001959723518650434,0.0018701129771911049,0.0015172587458526223,0.0023756978171125126,0.0023756978171125126
S2,ClaimCut,HardUnion_LabSupplier,missing_comparator,400,0,0,0.0,100,0,0,0.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,0,0,,,,,,
S2,ClaimCut,DataSAIL_C1e_Scalar,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,-0.00047150732377487765,-0.0047819189959394616,0.004235785695804196,0.0033761709241842686,0.005501548724192428,0.005501548724192428
