scenario,method,n_replicates,n_model_rows,n_nonmissing_ere_record_weighted,mean_ere,median_ere,sd_ere,n_nonmissing_signed_bias_record_weighted,mean_signed_bias,n_nonmissing_ere_equal_domain,mean_equal_domain_ere,n_nonmissing_ere_worst_domain,mean_worst_domain_ere,n_nonmissing_squared_calibration_error_record_weighted,mean_squared_calibration_error_record_weighted,n_nonmissing_squared_calibration_error_equal_domain,mean_squared_calibration_error_equal_domain,n_nonmissing_squared_calibration_error_worst_domain,mean_squared_calibration_error_worst_domain,n_nonmissing_aggregate_external_worst_domain_nrmse,mean_external_worst_domain_nrmse,n_nonmissing_foldwise_absolute_error_secondary,mean_foldwise_secondary,n_nonmissing_contract_signature_rmse,mean_contract_signature_rmse,n_nonmissing_max_relation_target_abs_error,mean_max_relation_target_abs_error,n_nonmissing_semantic_loss_count,mean_semantic_loss_count,n_nonmissing_backend_compile_exact,rate_backend_compile_exact
CORE_2.4_0.9_0.35,RandomKFold,100,400,400,0.09207406313769112,0.0878366526776776,0.054733582100605804,400,-0.08565362846586905,400,0.09207406313769112,400,1.2376597914655942,400,0.011465908699723382,400,0.011465908699723382,400,1.6729777109376085,400,1.8958562966168655,400,0.09718905166053465,400,0.7359800721939871,400,1.0,0,,0,
CORE_2.4_0.9_0.35,GroupKFold_Lab,100,400,400,0.05962456286791241,0.04862295315810988,0.048082217389503634,400,-0.017558434158244915,400,0.05962456286791241,400,1.182962525107324,400,0.005861208377208397,400,0.005861208377208395,400,1.5361086780646576,400,1.9152447896915203,400,0.1157787226634766,400,0.1780808072421393,400,0.495,0,,0,
CORE_2.4_0.9_0.35,GroupKFold_Source,100,400,400,0.07779470353528956,0.06777128989777931,0.05087153455750828,400,-0.06474497790968126,400,0.07779470353528954,400,1.2213938450305564,400,0.008633459143808763,400,0.008633459143808763,400,1.6329276232243393,400,1.9021455144676958,400,0.09605010852068631,400,0.5658722742838698,400,1.0,0,,0,
CORE_2.4_0.9_0.35,GroupKFold_Supplier,100,400,400,0.061788277892537165,0.05088649666747641,0.04539114741616476,400,-0.020782781211562417,400,0.061788277892537165,400,1.181422766199363,400,0.0058729966580220085,400,0.0058729966580220085,400,1.5357294367984213,400,1.9332823844781666,400,0.11906403709866285,400,0.43175680887601264,400,1.0,0,,0,
CORE_2.4_0.9_0.35,CompositeGroup_LabPair,100,400,400,0.05939767795983394,0.049995335663556295,0.04659884131248983,400,-0.012178361799873985,400,0.05939767795983394,400,1.1780949989174718,400,0.005694107528657586,400,0.005694107528657586,400,1.5249486523336901,400,1.9160737689219451,400,0.1205611572080807,400,0.0,400,0.0,0,,0,
CORE_2.4_0.9_0.35,ClaimCut,100,400,400,0.060005644746512134,0.04888439375810383,0.04756841178208889,400,-0.013042410484187097,400,0.06000564474651213,400,1.1783839749404907,400,0.0058577743164163155,400,0.0058577743164163155,400,1.5283661627359513,400,1.9155414102287913,400,0.12104591946156723,400,0.0,400,0.0,400,0.0,400,1.0
CORE_2.4_0.9_0.35,DataSAIL_C1e_Scalar,100,400,400,0.057569670288923964,0.04288363976995896,0.047725854378641304,400,-0.026566466966983303,400,0.05756967028892396,400,1.1893595499337866,400,0.00558632972040626,400,0.00558632972040626,400,1.5535356688185353,400,1.911976179339662,400,0.1257152393085251,400,0.4082482904638631,400,1.0,400,8.0,400,0.0
