scenario,reference_method,comparator,pairing_status,n_reference_model_rows,n_comparator_model_rows,n_paired_model_rows,model_pairing_coverage_vs_reference,n_reference_replicates,n_comparator_replicates,n_paired_replicates,replicate_pairing_coverage_vs_reference,familywise_alpha,bonferroni_family_size,per_comparison_alpha,one_sided_simultaneous_confidence,one_sided_per_comparison_quantile,n_bootstrap,n_cluster_replicates,n_replicates,observed_mean_difference,bootstrap_ci_2_5,bootstrap_ci_97_5,bootstrap_upper_one_sided_95,simultaneous_upper_one_sided_95,simultaneous_upper_one_sided_95_bonferroni
CORE_2.4_0.9_0.35,ClaimCut,RandomKFold,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,-0.032068418391179014,-0.04131679162418431,-0.022457387338886668,-0.023958262067000417,-0.019979295689247344,-0.019979295689247344
CORE_2.4_0.9_0.35,ClaimCut,GroupKFold_Lab,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,0.00038108187859971584,-0.0034281924423110103,0.004311504707206842,0.003684537877420147,0.005417356030059996,0.005417356030059996
CORE_2.4_0.9_0.35,ClaimCut,GroupKFold_Source,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,-0.017789058788777425,-0.02534655060955062,-0.009740314492668106,-0.011187035493430664,-0.007781224864498272,-0.007781224864498272
CORE_2.4_0.9_0.35,ClaimCut,GroupKFold_Supplier,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,-0.0017826331460250406,-0.008272416711417513,0.004842298548984114,0.003873272894071804,0.006560535893923358,0.006560535893923358
CORE_2.4_0.9_0.35,ClaimCut,CompositeGroup_LabPair,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,0.0006079667866781872,-0.0029713644921773408,0.004315340937830875,0.0036907777786862467,0.005265493603789105,0.005265493603789105
CORE_2.4_0.9_0.35,ClaimCut,HardUnion_LabSupplier,missing_comparator,400,0,0,0.0,100,0,0,0.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,0,0,,,,,,
CORE_2.4_0.9_0.35,ClaimCut,DataSAIL_C1e_Scalar,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,0.002435974457588166,-0.0025403603173462064,0.007407926807679217,0.00657727992244216,0.008646158871104228,0.008646158871104228
