doi,file,sheet,n_rows,n_columns,source_like_columns,target_like_columns
10.17632/8ndgpm7zw7.1,Teklewoin_Joint_Dataset.xlsx,Dataset,203,19,Authors,
10.17632/8ndgpm7zw7.1,Teklewoin_Joint_Dataset.xlsx,Notations,18,2,,
10.17632/8ndgpm7zw7.1,Teklewoin_Joint_Dataset.xlsx,Authors,34,2,Authors list,
10.17632/rbhfnz32sy.1,Salem_Beam_Column_Joint_Cyclic_Shear.xlsx,Sheet1,98,21,Research Team,Predicted joint shear strength (MPa) based on kernel; joint shear strength (MPa)
10.17632/rbhfnz32sy.1,Salem_Beam_Column_Joint_Cyclic_Shear.xlsx,Sheet2,7,6,,
10.17632/rbhfnz32sy.1,Salem_Beam_Column_Joint_Cyclic_Shear.xlsx,Sheet3,0,0,,
