scenario,method,n_replicates,n_model_rows,n_nonmissing_ere_record_weighted,mean_ere,median_ere,sd_ere,n_nonmissing_signed_bias_record_weighted,mean_signed_bias,n_nonmissing_ere_equal_domain,mean_equal_domain_ere,n_nonmissing_ere_worst_domain,mean_worst_domain_ere,n_nonmissing_squared_calibration_error_record_weighted,mean_squared_calibration_error_record_weighted,n_nonmissing_squared_calibration_error_equal_domain,mean_squared_calibration_error_equal_domain,n_nonmissing_squared_calibration_error_worst_domain,mean_squared_calibration_error_worst_domain,n_nonmissing_aggregate_external_worst_domain_nrmse,mean_external_worst_domain_nrmse,n_nonmissing_foldwise_absolute_error_secondary,mean_foldwise_secondary,n_nonmissing_contract_signature_rmse,mean_contract_signature_rmse,n_nonmissing_max_relation_target_abs_error,mean_max_relation_target_abs_error,n_nonmissing_semantic_loss_count,mean_semantic_loss_count,n_nonmissing_backend_compile_exact,rate_backend_compile_exact
CORE_0.6_1.8_0.35,RandomKFold,100,400,400,0.19921562159489647,0.18614435732852638,0.11947076870286248,400,-0.19239459904891082,400,0.19921562159489647,400,2.3552073726225995,400,0.0539244453004577,400,0.0539244453004577,400,6.86817897340727,400,2.7324706522843756,400,0.20285150131686713,400,0.7359800721939871,400,1.0,0,,0,
CORE_0.6_1.8_0.35,GroupKFold_Lab,100,400,400,0.1356524687115437,0.10894781852319757,0.11183068184193322,400,-0.09706418098034693,400,0.1356524687115437,400,2.2907948871777446,400,0.030876428415264962,400,0.030876428415264962,400,6.571258503138368,400,2.7753727329006357,400,0.20165769418632926,400,0.17626536892948338,400,0.5,0,,0,
CORE_0.6_1.8_0.35,GroupKFold_Source,100,400,400,0.17645080308125713,0.1650418872122783,0.12106102659857348,400,-0.16688908093719484,400,0.17645080308125713,400,2.3395802725690795,400,0.045754018638718356,400,0.045754018638718356,400,6.793106056272222,400,2.7457505372034334,400,0.1978154784528762,400,0.5628278499610101,400,1.0,0,,0,
CORE_0.6_1.8_0.35,GroupKFold_Supplier,100,400,400,0.1395362885587314,0.11082866435948535,0.11836466250736062,400,-0.11263365635234925,400,0.1395362885587314,400,2.30918765992717,400,0.03344554367190073,400,0.03344554367190073,400,6.767797063816221,400,2.8030968351657286,400,0.2242288806879096,400,0.43245382405915,400,1.0,0,,0,
CORE_0.6_1.8_0.35,CompositeGroup_LabPair,100,400,400,0.131279672033543,0.09955553102435616,0.11326752559235544,400,-0.08261276067379054,400,0.131279672033543,400,2.2793564447657126,400,0.030031810812164963,400,0.030031810812164966,400,6.519438341422605,400,2.7807265455306607,400,0.21512910055180723,400,0.0,400,0.0,0,,0,
CORE_0.6_1.8_0.35,ClaimCut,100,400,400,0.12826396938094553,0.09732611828444315,0.11039090914962359,400,-0.08451841148035037,400,0.12826396938094553,400,2.282882085262381,400,0.02860733328217939,400,0.028607333282179383,400,6.531730047066073,400,2.7820048380277584,400,0.21280585468753363,400,0.0,400,0.0,400,0.0,400,1.0
CORE_0.6_1.8_0.35,DataSAIL_C1e_Scalar,100,400,400,0.1323916265901331,0.10403486408252266,0.11236737156317807,400,-0.0978322132750425,400,0.1323916265901331,400,2.288624789692161,400,0.030122402917718515,400,0.030122402917718515,400,6.559629841659861,400,2.772354473648101,400,0.21974666849004634,400,0.4082482904638631,400,1.0,400,8.0,400,0.0
