scenario,reference_method,comparator,pairing_status,n_reference_model_rows,n_comparator_model_rows,n_paired_model_rows,model_pairing_coverage_vs_reference,n_reference_replicates,n_comparator_replicates,n_paired_replicates,replicate_pairing_coverage_vs_reference,familywise_alpha,bonferroni_family_size,per_comparison_alpha,one_sided_simultaneous_confidence,one_sided_per_comparison_quantile,n_bootstrap,n_cluster_replicates,n_replicates,observed_mean_difference,bootstrap_ci_2_5,bootstrap_ci_97_5,bootstrap_upper_one_sided_95,simultaneous_upper_one_sided_95,simultaneous_upper_one_sided_95_bonferroni
CORE_0.6_1.8_0.35,ClaimCut,RandomKFold,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,-0.0709516522139509,-0.0815795361695268,-0.05961962933147099,-0.0616777779564386,-0.05658084756623546,-0.05658084756623546
CORE_0.6_1.8_0.35,ClaimCut,GroupKFold_Lab,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,-0.00738849933059818,-0.012462803807144852,-0.002130079727445119,-0.00305170140392629,-0.0008056940143748521,-0.0008056940143748521
CORE_0.6_1.8_0.35,ClaimCut,GroupKFold_Source,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,-0.048186833700311606,-0.05819804495355787,-0.03773285637718393,-0.03934217284674517,-0.03515236906665787,-0.03515236906665787
CORE_0.6_1.8_0.35,ClaimCut,GroupKFold_Supplier,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,-0.011272319177785858,-0.017406928899884752,-0.004902113966808359,-0.005910038784061709,-0.003296391604605463,-0.003296391604605463
CORE_0.6_1.8_0.35,ClaimCut,CompositeGroup_LabPair,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,-0.0030157026525974512,-0.007315734296475356,0.0009365610081321047,0.0003668044837209177,0.00182097877823374,0.00182097877823374
CORE_0.6_1.8_0.35,ClaimCut,HardUnion_LabSupplier,missing_comparator,400,0,0,0.0,100,0,0,0.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,0,0,,,,,,
CORE_0.6_1.8_0.35,ClaimCut,DataSAIL_C1e_Scalar,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,-0.004127657209187544,-0.008851377785647534,0.0005113273112900627,-0.0002894028733270415,0.0015801470053937881,0.0015801470053937881
