module,task,metric_kind,n_folds,gap_from_r05,median_mmd2,median_energy,median_domain_auc,median_target_or_class_shift,median_grouped_fold_loss,spearman_mmd_loss,spearman_auc_loss,shift_label
UCI concrete,UCI concrete strength,regression,5,0.037257,0.008231930652897734,0.07175836972315341,0.5817891816920944,0.02958552142489621,0.1312821989947765,-0.7,-0.6,low
SFRC shear,SFRC shear capacity,regression,5,0.756852,0.031666941494362,0.18639203379414138,0.7151603498542275,0.044815462840087826,0.7072400529672765,-0.3,-0.3,moderate
Mangalathu shear-wall,Shear-wall failure classification,classification,5,0.3257,0.06099378996082794,0.4510497253546335,0.7326565839224066,0.21658721025809635,0.4605263157894737,0.09999999999999999,0.7,moderate
Stub-CFST,Stub-CFST section-family holdout,regression,3,1.73099,0.0967591696203347,0.6708878912381753,1.0,0.13415099803325053,0.1696145590610155,-1.0,nan,large
Corroded RC beams,Corroded RC beam moment capacity,regression,5,0.17382,0.08985878218437526,1.5433514970070172,0.9807936507936508,0.21977613469854462,0.13000848756524613,-0.19999999999999998,0.3,large
PRJ-2430 RC walls,PRJ-2430 RC wall peak lateral strength|Vmax,regression,5,0.497751,0.11975247135146705,2.8983472925493263,0.9464285714285715,0.5642044783217371,0.6322844200592891,0.6,-0.7,large
PRJ-2430 RC walls,PRJ-2430 RC wall drift capacity|driftCap,regression,5,0.378728,0.11975247135146705,2.8983472925493263,0.9464285714285715,0.17054667074586524,0.48478046042556433,-0.7,-0.09999999999999999,large
Mendeley cyclic joint,Cyclic beam-column joint shear,regression,5,1.383469,0.12964220793828152,1.3621763737111676,0.8897435897435897,0.1888625184317554,0.37900085317925986,-0.49999999999999994,0.49999999999999994,large
