metric_kind,severe_threshold,rows,negligible,moderate,severe,contrast
regression,0.30,12,1,4,6,1
regression,0.35,12,1,5,5,1
regression,0.40,12,1,6,4,1
regression,0.50,12,1,6,4,1
classification,0.20,2,0,0,2,0
classification,0.25,2,0,0,2,0
classification,0.30,2,0,0,2,0
