module,descriptor,model,n_samples,n_groups,scale_mean_abs_y,group_balanced_random_nmae,group_balanced_grouped_nmae,delta_group_balanced_nmae,worst_group_grouped_nmae,cvar10_grouped_nmae,cvar20_grouped_nmae,cvar20_delta_nmae,group_balanced_random_overprediction,group_balanced_grouped_overprediction,cvar20_grouped_p90_abs_error
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,1030,428,35.817836,0.208829,0.208737,-0.000092,0.974654,0.494997,0.419277,0.016025,0.469557,0.473334,0.547877
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Random Forest,1030,428,35.817836,0.102591,0.106129,0.003539,1.007186,0.348801,0.274297,0.069744,0.550796,0.537990,0.330808
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Gradient Boosting,1030,428,35.817836,0.115894,0.121838,0.005944,0.684748,0.360908,0.287415,0.072044,0.558178,0.540977,0.335938
10-1016-j-engstruct-2020-111743,10-1016-j-engstruct-2020-111743,Ridge,488,118,148.364144,0.555025,0.590830,0.035805,6.068878,2.009931,1.485804,0.245752,0.633822,0.621633,1.927728
10-1016-j-engstruct-2020-111743,10-1016-j-engstruct-2020-111743,Random Forest,488,118,148.364144,0.457443,0.596962,0.139519,5.529184,2.107013,1.659958,0.634450,0.664904,0.644635,2.180482
10-1016-j-engstruct-2020-111743,10-1016-j-engstruct-2020-111743,Gradient Boosting,488,118,148.364144,0.460782,0.587142,0.126360,6.369952,2.118795,1.569001,0.644145,0.621558,0.636541,2.086892
10-1038-s41598-024-53352-1,10-1038-s41598-024-53352-1,Ridge,1316,3,1.156977,0.069867,0.123977,0.054110,0.175765,0.175765,0.175765,0.113933,0.523257,0.533128,0.287949
10-1038-s41598-024-53352-1,10-1038-s41598-024-53352-1,Random Forest,1316,3,1.156977,0.038951,0.146243,0.107292,0.175527,0.175527,0.175527,0.134036,0.505802,0.490306,0.308839
10-1038-s41598-024-53352-1,10-1038-s41598-024-53352-1,Gradient Boosting,1316,3,1.156977,0.047442,0.146988,0.099547,0.176228,0.176228,0.176228,0.131149,0.524836,0.510300,0.300320
10-5281-zenodo-8062007,10-5281-zenodo-8062007,Ridge,804,54,2.606567,0.067250,0.149555,0.082305,0.680558,0.369652,0.309301,0.217962,0.498097,0.554494,0.447122
