module,task,metric_kind,nominal,random_calibrated_grouped_coverage,grouped_calibrated_grouped_coverage,width_inflation_grouped_over_random,worst_group_coverage_random_width,undercovered_groups_random_width,random_ece,grouped_ece,random_confidence,grouped_confidence
UCI concrete,UCI concrete strength,regression,0.80,0.716505,0.800000,1.281025,0.000000,127,,,,
UCI concrete,UCI concrete strength,regression,0.90,0.843689,0.900000,1.205665,0.000000,87,,,,
UCI concrete,UCI concrete strength,regression,0.95,0.905825,0.949515,1.243731,0.000000,60,,,,
SFRC shear,SFRC shear capacity,regression,0.80,0.506148,0.799180,2.294314,0.000000,53,,,,
SFRC shear,SFRC shear capacity,regression,0.90,0.727459,0.899590,1.904702,0.000000,40,,,,
SFRC shear,SFRC shear capacity,regression,0.95,0.836066,0.948770,1.788044,0.000000,28,,,,
Mangalathu shear-wall,Shear-wall failure classification,classification,,,,,,,0.099070,0.069571,0.730446,0.541646
Stub-CFST,Stub-CFST section-family holdout,regression,0.80,0.167933,0.800152,3.589644,0.101010,3,,,,
Stub-CFST,Stub-CFST section-family holdout,regression,0.90,0.275076,0.899696,2.960919,0.191919,3,,,,
Stub-CFST,Stub-CFST section-family holdout,regression,0.95,0.405775,0.949848,2.653490,0.308081,3,,,,
Corroded RC beams,Corroded RC beam moment capacity,regression,0.80,0.338308,0.799751,4.007455,0.000000,48,,,,
Corroded RC beams,Corroded RC beam moment capacity,regression,0.90,0.486318,0.899254,3.501154,0.000000,42,,,,
Corroded RC beams,Corroded RC beam moment capacity,regression,0.95,0.610697,0.949005,2.797660,0.000000,36,,,,
PRJ-2430 RC walls,PRJ-2430 RC wall peak lateral strength|Vmax,regression,0.80,0.577465,0.795775,1.386557,0.000000,15,,,,
PRJ-2430 RC walls,PRJ-2430 RC wall peak lateral strength|Vmax,regression,0.90,0.845070,0.894366,1.218070,0.000000,11,,,,
PRJ-2430 RC walls,PRJ-2430 RC wall peak lateral strength|Vmax,regression,0.95,0.908451,0.943662,1.310878,0.000000,7,,,,
PRJ-2430 RC walls,PRJ-2430 RC wall drift capacity|driftCap,regression,0.80,0.570423,0.795775,1.738302,0.000000,20,,,,
PRJ-2430 RC walls,PRJ-2430 RC wall drift capacity|driftCap,regression,0.90,0.732394,0.894366,1.785131,0.000000,16,,,,
PRJ-2430 RC walls,PRJ-2430 RC wall drift capacity|driftCap,regression,0.95,0.901408,0.943662,1.337989,0.000000,7,,,,
Mendeley cyclic joint,Cyclic beam-column joint shear,regression,0.80,0.265306,0.795918,2.573619,0.000000,17,,,,
Mendeley cyclic joint,Cyclic beam-column joint shear,regression,0.90,0.489796,0.897959,2.598702,0.000000,16,,,,
Mendeley cyclic joint,Cyclic beam-column joint shear,regression,0.95,0.571429,0.948980,2.237339,0.000000,14,,,,
