"module_id","label","task","group_variable","n_samples","n_groups","model","random_split","grouped_split","headline_metric","random_score","grouped_score","gap","gap_balanced_accuracy","gap_macro_f1","secondary_random_balanced_accuracy","secondary_grouped_balanced_accuracy","secondary_random_macro_f1","secondary_grouped_macro_f1","severity"
"1","Shear-wall failure classification (Mangalathu)","classification","Author/source-family proxy","393","75","Random Forest","Stratified 5-fold","GroupKFold-by-Author (5 folds)","accuracy","0.8270042194092826","0.5230177717019823","0.3039864477073003","","0.3474250269994565","","","0.7463748690750811","0.3989498420756246","severe"
"6","Mendeley — Exterior joint failure mode","classification","Reference-coded authors","203","33","Random Forest","Stratified / grouped CV (see script)","GroupKFold","accuracy","0.6354679802955665","0.2660098522167488","0.3694581280788177","0.2637340602664067","0.2745466826295334","0.4746461785250162","0.2109121182586095","0.4784883943618814","0.203941711732348","severe"
