module,descriptor,model,metric_type,metric,n_pairs,n_bootstrap_groups,random_score,grouped_score,gap,gap_ci_low,gap_ci_high,ci_excludes_zero,bootstrap_reps_used
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,pooled_r2,1030,428,0.606318,0.603871,0.002447,-0.001927,0.006447,False,1000
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Random Forest,regression,pooled_r2,1030,428,0.908656,0.868204,0.040452,0.026063,0.054671,True,1000
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Gradient Boosting,regression,pooled_r2,1030,428,0.907397,0.869738,0.037659,0.018637,0.062129,True,1000
10-1016-j-engstruct-2019-110331,10-1016-j-engstruct-2019-110331,Logistic Regression,classification,accuracy,393,75,0.620865,0.389313,0.231552,0.063152,0.354318,True,1000
10-1016-j-engstruct-2019-110331,10-1016-j-engstruct-2019-110331,Logistic Regression,classification,balanced_accuracy,393,75,0.584166,0.395489,0.188677,0.039249,0.266251,True,1000
10-1016-j-engstruct-2019-110331,10-1016-j-engstruct-2019-110331,Logistic Regression,classification,macro_f1,393,75,0.545587,0.351273,0.194314,0.062746,0.260908,True,1000
10-1016-j-engstruct-2019-110331,10-1016-j-engstruct-2019-110331,Random Forest,classification,accuracy,393,75,0.826972,0.516539,0.310433,0.160906,0.424166,True,1000
10-1016-j-engstruct-2019-110331,10-1016-j-engstruct-2019-110331,Random Forest,classification,balanced_accuracy,393,75,0.730322,0.436884,0.293438,0.192851,0.364081,True,1000
10-1016-j-engstruct-2019-110331,10-1016-j-engstruct-2019-110331,Random Forest,classification,macro_f1,393,75,0.752972,0.432123,0.320848,0.195336,0.397725,True,1000
10-1016-j-engstruct-2019-110331,10-1016-j-engstruct-2019-110331,Gradient Boosting,classification,accuracy,393,75,0.816794,0.468193,0.348601,0.131253,0.505531,True,1000
10-1016-j-engstruct-2019-110331,10-1016-j-engstruct-2019-110331,Gradient Boosting,classification,balanced_accuracy,393,75,0.723338,0.400665,0.322673,0.145755,0.435834,True,1000
10-1016-j-engstruct-2019-110331,10-1016-j-engstruct-2019-110331,Gradient Boosting,classification,macro_f1,393,75,0.745811,0.381547,0.364265,0.145661,0.465608,True,1000
10-1016-j-engstruct-2020-111743,10-1016-j-engstruct-2020-111743,Ridge,regression,pooled_r2,488,118,0.233325,0.038893,0.194432,0.080385,0.380564,True,1000
10-1016-j-engstruct-2020-111743,10-1016-j-engstruct-2020-111743,Random Forest,regression,pooled_r2,488,118,0.638294,-0.172252,0.810546,0.505549,1.523302,True,1000
10-1016-j-engstruct-2020-111743,10-1016-j-engstruct-2020-111743,Gradient Boosting,regression,pooled_r2,488,118,0.627589,-0.025354,0.652943,0.458909,0.935545,True,1000
10-1038-s41598-024-53352-1,10-1038-s41598-024-53352-1,Ridge,regression,pooled_r2,1316,3,0.568275,-0.322737,0.891012,0.090686,6.117089,True,1000
10-1038-s41598-024-53352-1,10-1038-s41598-024-53352-1,Random Forest,regression,pooled_r2,1316,3,0.827992,-0.955630,1.783621,0.733426,6.355564,True,1000
10-1038-s41598-024-53352-1,10-1038-s41598-024-53352-1,Gradient Boosting,regression,pooled_r2,1316,3,0.771005,-0.959814,1.730820,0.670061,6.866009,True,1000
10-5281-zenodo-8062007,10-5281-zenodo-8062007,Ridge,regression,pooled_r2,804,54,0.953285,0.755458,0.197827,0.126464,0.338714,True,1000
10-5281-zenodo-8062007,10-5281-zenodo-8062007,Random Forest,regression,pooled_r2,804,54,0.974019,0.793664,0.180355,0.094775,0.351798,True,1000
10-5281-zenodo-8062007,10-5281-zenodo-8062007,Gradient Boosting,regression,pooled_r2,804,54,0.973598,0.853032,0.120566,0.061721,0.220405,True,1000
designsafe_prj2430_wall,PRJ-2430 RC wall peak lateral strength|Vmax,Ridge,regression,pooled_r2,142,28,0.356277,-1.873248,2.229524,1.230997,4.411208,True,1000
designsafe_prj2430_wall,PRJ-2430 RC wall peak lateral strength|Vmax,Random Forest,regression,pooled_r2,142,28,0.598377,0.069488,0.528888,0.406155,0.838826,True,1000
designsafe_prj2430_wall,PRJ-2430 RC wall peak lateral strength|Vmax,Gradient Boosting,regression,pooled_r2,142,28,0.623896,0.071859,0.552037,0.326529,0.887755,True,1000
designsafe_prj2430_wall,PRJ-2430 RC wall drift capacity|driftCap,Ridge,regression,pooled_r2,142,28,-0.020336,-2.836774,2.816438,1.320984,5.589285,True,1000
