scenario,reference_method,comparator,pairing_status,n_reference_model_rows,n_comparator_model_rows,n_paired_model_rows,model_pairing_coverage_vs_reference,n_reference_replicates,n_comparator_replicates,n_paired_replicates,replicate_pairing_coverage_vs_reference,familywise_alpha,bonferroni_family_size,per_comparison_alpha,one_sided_simultaneous_confidence,one_sided_per_comparison_quantile,n_bootstrap,n_cluster_replicates,n_replicates,observed_mean_difference,bootstrap_ci_2_5,bootstrap_ci_97_5,bootstrap_upper_one_sided_95,simultaneous_upper_one_sided_95,simultaneous_upper_one_sided_95_bonferroni
CORE_1.2_0.9_0.35,ClaimCut,RandomKFold,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,-0.024472972661708864,-0.03132867508483283,-0.017168469988544845,-0.01835053596486442,-0.015421287857569806,-0.015421287857569806
CORE_1.2_0.9_0.35,ClaimCut,GroupKFold_Lab,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,0.0006134346232160131,-0.0021416142608826614,0.003488158951670655,0.002972784395031829,0.004179983812409399,0.004179983812409399
CORE_1.2_0.9_0.35,ClaimCut,GroupKFold_Source,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,-0.012980859919609383,-0.01898898890657007,-0.006687204011282838,-0.0077410796199414355,-0.004941225377094829,-0.004941225377094829
CORE_1.2_0.9_0.35,ClaimCut,GroupKFold_Supplier,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,-0.0023373906631567417,-0.006319513387948033,0.0017799279975618699,0.0011187283116129568,0.0028721794063502125,0.0028721794063502125
CORE_1.2_0.9_0.35,ClaimCut,CompositeGroup_LabPair,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,-0.0016232957979427285,-0.004080554149679412,0.0008193243737923468,0.000444019587932201,0.0013975899220985577,0.0013975899220985577
CORE_1.2_0.9_0.35,ClaimCut,HardUnion_LabSupplier,missing_comparator,400,0,0,0.0,100,0,0,0.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,0,0,,,,,,
CORE_1.2_0.9_0.35,ClaimCut,DataSAIL_C1e_Scalar,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,-0.0018320803863497298,-0.004466494337130972,0.0007024954070462534,0.000314727074121917,0.0013626337181376128,0.0013626337181376128
