scenario,method,n_replicates,n_model_rows,n_nonmissing_ere_record_weighted,mean_ere,median_ere,sd_ere,n_nonmissing_signed_bias_record_weighted,mean_signed_bias,n_nonmissing_ere_equal_domain,mean_equal_domain_ere,n_nonmissing_ere_worst_domain,mean_worst_domain_ere,n_nonmissing_squared_calibration_error_record_weighted,mean_squared_calibration_error_record_weighted,n_nonmissing_squared_calibration_error_equal_domain,mean_squared_calibration_error_equal_domain,n_nonmissing_squared_calibration_error_worst_domain,mean_squared_calibration_error_worst_domain,n_nonmissing_aggregate_external_worst_domain_nrmse,mean_external_worst_domain_nrmse,n_nonmissing_foldwise_absolute_error_secondary,mean_foldwise_secondary,n_nonmissing_contract_signature_rmse,mean_contract_signature_rmse,n_nonmissing_max_relation_target_abs_error,mean_max_relation_target_abs_error,n_nonmissing_semantic_loss_count,mean_semantic_loss_count,n_nonmissing_backend_compile_exact,rate_backend_compile_exact
CORE_1.2_0.9_0.35,RandomKFold,100,400,400,0.08115428471511495,0.078463437161613,0.04801031440967756,400,-0.07650009762046141,400,0.08115428471511495,400,1.1606839521070516,400,0.00888524574161374,400,0.00888524574161374,400,1.5255948962391739,400,1.681922745928984,400,0.08671586438542445,400,0.7359800721939871,400,1.0,0,,0,
CORE_1.2_0.9_0.35,GroupKFold_Lab,100,400,400,0.05606787743019006,0.048656384154843746,0.04196762151632262,400,-0.027554094655448464,400,0.05606787743019006,400,1.123018377830766,400,0.004900484932124778,400,0.0049004849321247785,400,1.4362503249812157,400,1.6980498959708787,400,0.09374759552918555,400,0.180464746634579,400,0.4975,0,,0,
CORE_1.2_0.9_0.35,GroupKFold_Source,100,400,400,0.06966217197301545,0.06494821219518876,0.046680491635475864,400,-0.06113143612929069,400,0.06966217197301545,400,1.149142698427566,400,0.007026438832579388,400,0.007026438832579387,400,1.4990356017878725,400,1.6870736556551031,400,0.08586125793478194,400,0.5613348307858347,400,1.0,0,,0,
CORE_1.2_0.9_0.35,GroupKFold_Supplier,100,400,400,0.05901870271656282,0.05126160000027147,0.044270041038409674,400,-0.034766940589090335,400,0.059018702716562815,400,1.1400698689210005,400,0.005438144212554639,400,0.0054381442125546395,400,1.4801200456183228,400,1.7289291519158025,400,0.10420370942236104,400,0.4318439357739048,400,1.0,0,,0,
CORE_1.2_0.9_0.35,CompositeGroup_LabPair,100,400,400,0.058304607851348805,0.051152412369291356,0.041582797046027305,400,-0.02368233949612513,400,0.058304607851348805,400,1.121976025888833,400,0.005124233484345234,400,0.005124233484345234,400,1.4344046557523213,400,1.7011516493353522,400,0.09923746408943691,400,0.0,400,0.0,0,,0,
CORE_1.2_0.9_0.35,ClaimCut,100,400,400,0.056681312053406076,0.05029721469992199,0.04199151824078325,400,-0.0234895295293913,400,0.056681312053406076,400,1.1224790472288768,400,0.004971650521251213,400,0.004971650521251213,400,1.4375709672229784,400,1.7021303348165788,400,0.10198151144528657,400,0.0,400,0.0,400,0.0,400,1.0
CORE_1.2_0.9_0.35,DataSAIL_C1e_Scalar,100,400,400,0.058513392439755806,0.05178874883716417,0.04328637278194636,400,-0.03208164889665164,400,0.058513392439755806,400,1.1273975989575318,400,0.005292842888254954,400,0.005292842888254954,400,1.447870785446762,400,1.697612984176382,400,0.10684501484181616,400,0.4082482904638631,400,1.0,400,8.0,400,0.0
