scenario,reference_method,comparator,pairing_status,n_reference_model_rows,n_comparator_model_rows,n_paired_model_rows,model_pairing_coverage_vs_reference,n_reference_replicates,n_comparator_replicates,n_paired_replicates,replicate_pairing_coverage_vs_reference
S9_missing30,ClaimCut,RandomKFold,missing_reference,0,400,0,,0,100,0,
S9_missing30,ClaimCut,GroupKFold_Lab,missing_reference,0,400,0,,0,100,0,
S9_missing30,ClaimCut,GroupKFold_Source,missing_reference,0,400,0,,0,100,0,
S9_missing30,ClaimCut,GroupKFold_Supplier,missing_reference,0,400,0,,0,100,0,
S9_missing30,ClaimCut,CompositeGroup_LabPair,missing_reference,0,400,0,,0,100,0,
S9_missing30,ClaimCut,HardUnion_LabSupplier,missing_reference,0,0,0,,0,0,0,
S9_missing30,ClaimCut,DataSAIL_C1e_Scalar,missing_reference,0,400,0,,0,100,0,
