scenario,method,n_replicates,n_model_rows,n_nonmissing_ere_record_weighted,mean_ere,median_ere,sd_ere,n_nonmissing_signed_bias_record_weighted,mean_signed_bias,n_nonmissing_ere_equal_domain,mean_equal_domain_ere,n_nonmissing_ere_worst_domain,mean_worst_domain_ere,n_nonmissing_squared_calibration_error_record_weighted,mean_squared_calibration_error_record_weighted,n_nonmissing_squared_calibration_error_equal_domain,mean_squared_calibration_error_equal_domain,n_nonmissing_squared_calibration_error_worst_domain,mean_squared_calibration_error_worst_domain,n_nonmissing_aggregate_external_worst_domain_nrmse,mean_external_worst_domain_nrmse,n_nonmissing_foldwise_absolute_error_secondary,mean_foldwise_secondary,n_nonmissing_contract_signature_rmse,mean_contract_signature_rmse,n_nonmissing_max_relation_target_abs_error,mean_max_relation_target_abs_error,n_nonmissing_semantic_loss_count,mean_semantic_loss_count,n_nonmissing_backend_compile_exact,rate_backend_compile_exact
S9_missing30,RandomKFold,100,400,400,0.08667668058990201,0.08356516613206894,0.053189165449964944,400,-0.0833564239631142,400,0.08667668058990201,400,1.264571834187461,400,0.010334861561044479,400,0.010334861561044479,400,1.8172237130702988,400,1.7911394095186768,400,0.09213367898746803,400,0.7353016278730309,400,1.0,0,,0,
S9_missing30,GroupKFold_Lab,100,400,400,0.0731758403716452,0.06724657504733739,0.051377705470238025,400,-0.06505763043160762,400,0.0731758403716452,400,1.2519648937621288,400,0.00798777306193456,400,0.007987773061934562,400,1.7857562755097376,400,1.8002624520686876,400,0.08936799445165511,400,0.5517877939878241,400,1.0,0,,0,
S9_missing30,GroupKFold_Source,100,400,400,0.08186288950964687,0.08008759354488357,0.05249317488560181,400,-0.07707735430817748,400,0.08186288950964687,400,1.2597166420737878,400,0.009450177254915103,400,0.009450177254915103,400,1.8048590586036573,400,1.793296799861061,400,0.09196703855963967,400,0.6105730000623665,400,1.0,0,,0,
S9_missing30,GroupKFold_Supplier,100,400,400,0.0745923586175962,0.07001318567423892,0.05203134913584324,400,-0.06725856943994382,400,0.07459235861759618,400,1.2581330340083157,400,0.008264513103799852,400,0.008264513103799852,400,1.8009064787569609,400,1.8122678101548189,400,0.09783620097378837,400,0.688888353332416,400,1.0,0,,0,
S9_missing30,CompositeGroup_LabPair,100,400,400,0.062183757626538896,0.05232710714198019,0.045473550915779676,400,-0.033113197958371546,400,0.06218375762653888,400,1.228852114371047,400,0.005929493935863915,400,0.005929493935863914,400,1.7269185145432766,400,1.8111244082932467,400,0.09688111869722209,400,0.011658380872045284,400,0.04748586266993707,0,,0,
S9_missing30,DataSAIL_C1e_Scalar,100,400,400,0.06582156300282861,0.06027165382927052,0.0492864916395824,400,-0.04957568240267083,400,0.06582156300282863,400,1.2367762794358044,400,0.006755563518628617,400,0.0067555635186286175,400,1.7494367497518348,400,1.804458187268479,400,0.10867830661195554,400,0.4913132218383104,400,1.0,400,8.0,400,0.0
