scenario,reference_method,comparator,pairing_status,n_reference_model_rows,n_comparator_model_rows,n_paired_model_rows,model_pairing_coverage_vs_reference,n_reference_replicates,n_comparator_replicates,n_paired_replicates,replicate_pairing_coverage_vs_reference,familywise_alpha,bonferroni_family_size,per_comparison_alpha,one_sided_simultaneous_confidence,one_sided_per_comparison_quantile,n_bootstrap,n_cluster_replicates,n_replicates,observed_mean_difference,bootstrap_ci_2_5,bootstrap_ci_97_5,bootstrap_upper_one_sided_95,simultaneous_upper_one_sided_95,simultaneous_upper_one_sided_95_bonferroni
S9_missing30,ClaimCut,RandomKFold,missing_reference,0,400,0,,0,100,0,,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,0,0,,,,,,
S9_missing30,ClaimCut,GroupKFold_Lab,missing_reference,0,400,0,,0,100,0,,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,0,0,,,,,,
S9_missing30,ClaimCut,GroupKFold_Source,missing_reference,0,400,0,,0,100,0,,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,0,0,,,,,,
S9_missing30,ClaimCut,GroupKFold_Supplier,missing_reference,0,400,0,,0,100,0,,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,0,0,,,,,,
S9_missing30,ClaimCut,CompositeGroup_LabPair,missing_reference,0,400,0,,0,100,0,,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,0,0,,,,,,
S9_missing30,ClaimCut,HardUnion_LabSupplier,missing_reference,0,0,0,,0,0,0,,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,0,0,,,,,,
S9_missing30,ClaimCut,DataSAIL_C1e_Scalar,missing_reference,0,400,0,,0,100,0,,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,0,0,,,,,,
