model,random_metric,shape_metric,gap
Ridge,0.5682749929782618,-0.3227368645783792,0.891011857556641
Random Forest,0.8279915453701548,-0.9556296896829006,1.7836212350530554
Gradient Boosting,0.7710051427616261,-0.9598144487245428,1.7308195914861688
