model,validation,n_splits,n_samples,n_groups,r2_mean,r2_std,mae_mean,mae_std,pooled_r2,pooled_mae,n_predictions
GradientBoosting,GroupKFold_Mix,10,1030,428,0.867329963233189,0.05262996918330038,4.419628257312483,0.8376241140192302,0.8697380297959837,4.419628257312483,1030
GradientBoosting,LeaveOneRepeatedMixOut,182,1030,428,-0.3018856950391629,9.061480877154574,4.098708132555203,3.082898807286889,0.8840008748679044,4.369705940737929,784
GradientBoosting,RandomKFold,10,1030,428,0.9062995423965707,0.02124204568117992,3.7121277037174556,0.39272861672450904,0.9073970033066368,3.7121277037174556,1030
RandomForest,GroupKFold_Mix,10,1030,428,0.8679378961911066,0.035270742707739756,4.3349292938035475,0.7914246890707813,0.868203658349163,4.334929293803547,1030
RandomForest,LeaveOneRepeatedMixOut,182,1030,428,-0.4705267355461558,11.464396989105214,4.0400550754401605,3.092523027029041,0.8751195295629983,4.4471858605908485,784
RandomForest,RandomKFold,10,1030,428,0.9074916638520257,0.01797438483439736,3.5187145284489083,0.33946134563018593,0.9086558697785867,3.5187145284489083,1030
Ridge,GroupKFold_Mix,10,1030,428,0.5955216697156536,0.047324184145695176,8.308474402158419,0.8905175816370114,0.6038712521942691,8.308474402158419,1030
Ridge,LeaveOneRepeatedMixOut,182,1030,428,-15.944215273794395,195.02310969754276,8.201980167814554,3.652431864705163,0.5987842031782951,8.775809056947201,784
Ridge,RandomKFold,10,1030,428,0.6006526269864604,0.07060768858613707,8.303973614689896,0.7379514953050519,0.6063182506418332,8.303973614689895,1030
