mix_group,n
362.6|189.0|0.0|164.9|11.6|944.7|755.8,20
425.0|106.3|0.0|153.5|16.5|852.1|887.1,15
446.0|24.0|79.0|162.0|11.64|967.0|712.0,8
359.0|19.0|141.0|154.0|10.91|942.0|801.0,8
500.0|0.0|0.0|200.0|0.0|1125.0|613.0,8
339.0|0.0|0.0|197.0|0.0|968.0|781.0,7
540.0|0.0|0.0|173.0|0.0|1125.0|613.0,7
525.0|0.0|0.0|189.0|0.0|1125.0|613.0,7
332.5|142.5|0.0|228.0|0.0|932.0|594.0,6
198.6|132.4|0.0|192.0|0.0|978.4|825.5,6
380.0|95.0|0.0|228.0|0.0|932.0|594.0,6
475.0|0.0|0.0|228.0|0.0|932.0|594.0,6
427.5|47.5|0.0|228.0|0.0|932.0|594.0,6
139.6|209.4|0.0|192.0|0.0|1047.0|806.9,6
237.5|237.5|0.0|228.0|0.0|932.0|594.0,6
277.0|0.0|0.0|191.0|0.0|968.0|856.0,6
350.0|0.0|0.0|203.0|0.0|974.0|775.0,6
331.0|0.0|0.0|192.0|0.0|978.0|825.0,6
349.0|0.0|0.0|192.0|0.0|1047.0|806.0,6
266.0|114.0|0.0|228.0|0.0|932.0|670.0,5
190.0|190.0|0.0|228.0|0.0|932.0|670.0,5
304.0|76.0|0.0|228.0|0.0|932.0|670.0,5
374.0|189.2|0.0|170.1|10.1|926.1|756.7,5
313.3|262.2|0.0|175.5|8.6|1046.9|611.8,5
425.0|106.3|0.0|151.4|18.6|936.0|803.7,5
375.0|93.8|0.0|126.6|23.4|852.1|992.6,5
475.0|118.8|0.0|181.1|8.9|852.1|781.5,5
469.0|117.2|0.0|137.8|32.2|852.1|840.5,5
388.6|97.1|0.0|157.9|12.1|852.1|925.7,5
531.3|0.0|0.0|141.8|28.2|852.1|893.7,5
318.8|212.5|0.0|155.7|14.3|852.1|880.4,5
401.8|94.7|0.0|147.4|11.4|946.8|852.1,5
379.5|151.2|0.0|153.9|15.9|1134.3|605.0,5
286.3|200.9|0.0|144.7|11.2|1004.6|803.7,5
439.0|177.0|0.0|186.0|11.1|884.9|707.9,5
389.9|189.0|0.0|145.9|22.0|944.7|755.8,5
337.9|189.0|0.0|174.9|9.5|944.7|755.8,5
222.36|0.0|96.67|189.29|4.46|967.08|870.32,5
233.81|0.0|94.58|197.89|4.567|947.04|852.16,5
194.68|0.0|100.52|165.62|7.48|1006.4|905.9,5
190.68|0.0|125.4|162.14|7.77|1090.0|804.01,5
212.07|0.0|121.62|180.31|5.69|1057.6|779.32,5
229.97|0.0|118.31|195.47|4.63|1029.4|758.59,5
190.34|0.0|125.18|161.85|9.88|1088.1|802.59,5
166.09|0.0|163.27|176.46|4.49|1058.6|780.09,5
167.95|42.08|163.83|121.75|5.72|1058.7|780.11,5
213.72|98.05|24.51|181.71|6.86|1065.8|785.38,5
213.76|98.06|24.52|181.74|6.65|1066.0|785.52,5
229.68|0.0|118.16|195.23|6.13|1028.1|757.63,5
238.05|0.0|94.11|186.66|7.0|949.91|847.01,5
250.0|0.0|95.69|187.42|5.53|956.86|861.17,5
212.52|0.0|100.37|159.32|8.71|1007.8|903.59,5
212.57|0.0|100.39|159.35|10.37|1003.8|903.79,5
212.0|0.0|124.78|159.0|7.84|1085.4|799.54,5
231.75|0.0|121.62|173.96|6.72|1056.4|778.45,5
251.37|0.0|118.27|188.45|5.75|1028.4|757.73,5
251.37|0.0|118.27|188.45|6.35|1028.4|757.73,5
181.38|0.0|167.01|169.59|7.56|1055.6|777.8,5
182.04|45.21|121.97|170.21|8.19|1059.4|780.65,5
168.88|42.22|124.25|158.33|10.83|1080.8|796.15,5
290.35|0.0|96.18|168.08|9.41|961.18|865.0,5
277.05|0.0|97.39|160.6|11.83|973.9|875.61,5
295.71|0.0|95.64|171.54|8.87|955.14|859.2,5
251.81|0.0|99.94|146.14|12.35|1006.0|899.76,5
249.1|0.0|98.75|158.11|12.8|987.76|889.01,5
252.31|0.0|98.75|146.25|14.17|987.76|889.01,5
246.83|0.0|125.08|143.3|11.99|1086.8|800.89,5
275.07|0.0|121.35|159.48|9.9|1053.6|777.5,5
297.16|0.0|117.54|174.8|9.52|1022.8|753.45,5
213.74|0.0|174.74|154.79|10.16|1053.5|776.35,5
213.5|0.0|174.24|154.61|11.66|1052.3|775.48,5
277.19|97.82|24.46|160.7|11.19|1061.7|782.46,5
218.23|54.64|123.78|140.75|11.91|1075.7|792.67,5
214.9|53.8|121.89|155.63|9.61|1014.3|780.58,5
218.85|0.0|124.13|158.49|11.33|1078.7|794.91,5
376.0|0.0|0.0|214.6|0.0|1003.5|762.36,5
165.0|0.02|143.57|163.81|0.0|1005.6|900.9,5
165.0|128.5|132.1|175.06|8.08|1005.8|746.6,5
178.03|129.8|118.6|179.94|3.57|1007.3|746.8,5
167.35|129.9|128.62|175.46|7.79|1006.3|746.6,5
172.38|13.61|172.37|156.76|4.14|1006.3|856.4,5
173.54|50.05|173.53|164.77|6.47|1006.2|793.5,5
167.0|75.4|167.0|164.03|7.91|1007.3|770.1,5
173.81|93.37|159.9|172.34|9.73|1007.2|746.6,5
190.34|0.0|125.18|166.61|9.88|1079.0|798.9,5
250.0|0.0|95.69|191.84|5.33|948.9|857.2,5
213.5|0.0|174.24|159.21|11.66|1043.6|771.9,5
194.68|0.0|100.52|170.17|7.48|998.0|901.8,5
251.37|0.0|118.27|192.94|5.75|1043.6|754.3,5
