scenario,method,n_replicates,n_model_rows,n_nonmissing_ere_record_weighted,mean_ere,median_ere,sd_ere,n_nonmissing_signed_bias_record_weighted,mean_signed_bias,n_nonmissing_ere_equal_domain,mean_equal_domain_ere,n_nonmissing_ere_worst_domain,mean_worst_domain_ere,n_nonmissing_squared_calibration_error_record_weighted,mean_squared_calibration_error_record_weighted,n_nonmissing_squared_calibration_error_equal_domain,mean_squared_calibration_error_equal_domain,n_nonmissing_squared_calibration_error_worst_domain,mean_squared_calibration_error_worst_domain,n_nonmissing_aggregate_external_worst_domain_nrmse,mean_external_worst_domain_nrmse,n_nonmissing_foldwise_absolute_error_secondary,mean_foldwise_secondary,n_nonmissing_contract_signature_rmse,mean_contract_signature_rmse,n_nonmissing_max_relation_target_abs_error,mean_max_relation_target_abs_error,n_nonmissing_semantic_loss_count,mean_semantic_loss_count,n_nonmissing_backend_compile_exact,rate_backend_compile_exact
CORE_1.2_0.9_1.0,RandomKFold,100,400,400,0.0633055169117651,0.055176497521687795,0.043430467865406004,400,-0.05620315617087293,400,0.0633055169117651,400,1.0128879659691399,400,0.00588907849662632,400,0.00588907849662632,400,1.1679605939582338,400,1.5824211924374716,400,0.07042452403626044,400,0.7359800721939871,400,1.0,0,,0,
CORE_1.2_0.9_1.0,GroupKFold_Lab,100,400,400,0.05030010224601697,0.04093512090022239,0.04084115480312061,400,-0.014836416053501883,400,0.05030010224601697,400,0.9839112076844126,400,0.004193930211798092,400,0.004193930211798092,400,1.1082268682857086,400,1.599124186029491,400,0.08450707123071714,400,0.17624722831147072,400,0.5,0,,0,
CORE_1.2_0.9_1.0,GroupKFold_Source,100,400,400,0.05647012412021169,0.0473046907575444,0.041709910149090944,400,-0.04332828975009413,400,0.05647012412021169,400,1.003886651190757,400,0.004924242231285741,400,0.004924242231285741,400,1.1499292256630853,400,1.5875623912780044,400,0.0721420678507856,400,0.5639589053801843,400,1.0,0,,0,
CORE_1.2_0.9_1.0,GroupKFold_Supplier,100,400,400,0.05048854620765361,0.04192719308599263,0.040525029801411365,400,-0.020246080625919607,400,0.05048854620765361,400,0.9965744736590687,400,0.00418726564346664,400,0.00418726564346664,400,1.1381627101316008,400,1.6240027839552875,400,0.09171861525309404,400,0.43254095095704215,400,1.0,0,,0,
CORE_1.2_0.9_1.0,CompositeGroup_LabPair,100,400,400,0.04879773784058186,0.03885834106785996,0.039785769786287485,400,-0.008803877991596711,400,0.04879773784058186,400,0.9778109344191956,400,0.003960169427151903,400,0.003960169427151904,400,1.0970945918322712,400,1.599740451224928,400,0.09163302700630244,400,0.0,400,0.0,0,,0,
CORE_1.2_0.9_1.0,ClaimCut,100,400,400,0.049225639940103566,0.04137168418295045,0.03987746835726645,400,-0.008966486919957526,400,0.04922563994010356,400,0.9790883266422387,400,0.004009400578891045,400,0.004009400578891045,400,1.1003325402240933,400,1.6007840755086773,400,0.09030079338393016,400,0.0,400,0.0,400,0.0,400,1.0
CORE_1.2_0.9_1.0,DataSAIL_C1e_Scalar,100,400,400,0.046198773517601675,0.03603873768504401,0.03816318614558541,400,-0.018672697353158452,400,0.046198773517601675,400,0.9847200343378915,400,0.003587114379371299,400,0.003587114379371299,400,1.1101890065782833,400,1.595755533449459,400,0.09168876780604134,400,0.4082482904638631,400,1.0,400,8.0,400,0.0
