scenario,reference_method,comparator,pairing_status,n_reference_model_rows,n_comparator_model_rows,n_paired_model_rows,model_pairing_coverage_vs_reference,n_reference_replicates,n_comparator_replicates,n_paired_replicates,replicate_pairing_coverage_vs_reference,familywise_alpha,bonferroni_family_size,per_comparison_alpha,one_sided_simultaneous_confidence,one_sided_per_comparison_quantile,n_bootstrap,n_cluster_replicates,n_replicates,observed_mean_difference,bootstrap_ci_2_5,bootstrap_ci_97_5,bootstrap_upper_one_sided_95,simultaneous_upper_one_sided_95,simultaneous_upper_one_sided_95_bonferroni
CORE_1.2_0.9_1.0,ClaimCut,RandomKFold,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,-0.01407987697166153,-0.020499411626514398,-0.00721853438234143,-0.00835577756650029,-0.005302706237390235,-0.005302706237390235
CORE_1.2_0.9_1.0,ClaimCut,GroupKFold_Lab,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,-0.0010744623059134074,-0.0041908609129748114,0.0020794979349784476,0.0015771590655056333,0.002965232346451295,0.002965232346451295
CORE_1.2_0.9_1.0,ClaimCut,GroupKFold_Source,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,-0.0072444841801081305,-0.012587618708116519,-0.0016861304402365543,-0.002557675273990521,-0.000284236230480081,-0.000284236230480081
CORE_1.2_0.9_1.0,ClaimCut,GroupKFold_Supplier,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,-0.0012629062675500518,-0.004799943723681474,0.0023089588357939695,0.001730159679239018,0.003387036082261714,0.003387036082261714
CORE_1.2_0.9_1.0,ClaimCut,CompositeGroup_LabPair,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,0.0004279020995217003,-0.0021650433078034986,0.003031047821487311,0.002567937165849369,0.003608269248044651,0.003608269248044651
CORE_1.2_0.9_1.0,ClaimCut,HardUnion_LabSupplier,missing_comparator,400,0,0,0.0,100,0,0,0.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,0,0,,,,,,
CORE_1.2_0.9_1.0,ClaimCut,DataSAIL_C1e_Scalar,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,0.003026866422501898,-5.920097556471058e-05,0.006299949102544347,0.0057841253447687745,0.007120947268114261,0.007120947268114261
