scenario,reference_method,comparator,pairing_status,n_reference_model_rows,n_comparator_model_rows,n_paired_model_rows,model_pairing_coverage_vs_reference,n_reference_replicates,n_comparator_replicates,n_paired_replicates,replicate_pairing_coverage_vs_reference,familywise_alpha,bonferroni_family_size,per_comparison_alpha,one_sided_simultaneous_confidence,one_sided_per_comparison_quantile,n_bootstrap,n_cluster_replicates,n_replicates,observed_mean_difference,bootstrap_ci_2_5,bootstrap_ci_97_5,bootstrap_upper_one_sided_95,simultaneous_upper_one_sided_95,simultaneous_upper_one_sided_95_bonferroni
CORE_0.6_0_1.0,ClaimCut,RandomKFold,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,0.00101660369830608,-0.0001769442989392009,0.002263103696379113,0.002059566964340391,0.0025804683185356404,0.0025804683185356404
CORE_0.6_0_1.0,ClaimCut,GroupKFold_Lab,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,0.0004950326624234622,-0.000470919512886422,0.0014567803860571996,0.0012923523814149375,0.0017301457768612693,0.0017301457768612693
CORE_0.6_0_1.0,ClaimCut,GroupKFold_Source,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,0.0014255068051300481,0.0005046460004241627,0.0023449495012166973,0.002181739267851133,0.0025807899113170964,0.0025807899113170964
CORE_0.6_0_1.0,ClaimCut,GroupKFold_Supplier,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,0.0008092708877323329,-0.0006423320846478064,0.0022846950386217132,0.0020512830225682004,0.002619118891269693,0.002619118891269693
CORE_0.6_0_1.0,ClaimCut,CompositeGroup_LabPair,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,1.713941486371634e-05,-0.0008675827725705621,0.0008793678791894195,0.0007471648956323049,0.0010986403160192428,0.0010986403160192428
CORE_0.6_0_1.0,ClaimCut,HardUnion_LabSupplier,missing_comparator,400,0,0,0.0,100,0,0,0.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,0,0,,,,,,
CORE_0.6_0_1.0,ClaimCut,DataSAIL_C1e_Scalar,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,0.000987984687938444,-2.630595743111732e-05,0.002005252703943331,0.0018553842269662664,0.002239336471065246,0.002239336471065246
