parent,model,method,bootstrap_type,population_inference,n_clusters,rmse_ci_low_kN,rmse_ci_high_kN,mae_ci_low_kN,mae_ci_high_kN,signed_risk_error_ci_low,signed_risk_error_ci_high
deck464,Ridge,GroupKFold_Source,source_cluster_bootstrap,True,22,49.62531303111573,65.51946386623605,46.09175892343753,61.13091763515329,-0.6840483026032761,-0.39959274644642
deck464,Ridge,ClaimCut_C_source,source_cluster_bootstrap,True,22,49.62531303111573,65.51946386623605,46.09175892343753,61.13091763515329,-0.6532556110435803,-0.3688000548867242
deck464,Ridge,RandomKFold,source_cluster_bootstrap,True,22,49.62531303111573,65.51946386623605,46.09175892343753,61.13091763515329,-0.7721744161946006,-0.4877188600377445
deck464,Ridge,DataSAIL_C1e_Scalar_C_deck,source_cluster_bootstrap,True,22,49.62531303111573,65.51946386623605,46.09175892343753,61.13091763515329,-0.6727505231025245,-0.3882949669456684
deck464,RBF_SVR,GroupKFold_Source,source_cluster_bootstrap,True,22,53.346938529595725,67.28695793046332,48.90660598918401,63.90995659603718,-0.5902730116820532,-0.3407902923694087
deck464,RBF_SVR,ClaimCut_C_source,source_cluster_bootstrap,True,22,53.346938529595725,67.28695793046332,48.90660598918401,63.90995659603718,-0.5916319358675953,-0.3421492165549509
deck464,RBF_SVR,RandomKFold,source_cluster_bootstrap,True,22,53.346938529595725,67.28695793046332,48.90660598918401,63.90995659603718,-0.7525999937488306,-0.5031172744361861
deck464,RBF_SVR,DataSAIL_C1e_Scalar_C_deck,source_cluster_bootstrap,True,22,53.346938529595725,67.28695793046332,48.90660598918401,63.90995659603718,-0.6105393583189956,-0.3610566390063512
deck464,ExtraTrees,GroupKFold_Source,source_cluster_bootstrap,True,22,50.54773042375768,68.22719421143533,46.91524637532739,64.04836173229276,-0.762152467162697,-0.4457453966341774
deck464,ExtraTrees,ClaimCut_C_source,source_cluster_bootstrap,True,22,50.54773042375768,68.22719421143533,46.91524637532739,64.04836173229276,-0.7820616200779521,-0.4656545495494325
deck464,ExtraTrees,RandomKFold,source_cluster_bootstrap,True,22,50.54773042375768,68.22719421143533,46.91524637532739,64.04836173229276,-0.9032709411731242,-0.5868638706446047
deck464,ExtraTrees,DataSAIL_C1e_Scalar_C_deck,source_cluster_bootstrap,True,22,50.54773042375768,68.22719421143533,46.91524637532739,64.04836173229276,-0.7718182933560974,-0.4554112228275779
deck464,HistGradientBoosting,GroupKFold_Source,source_cluster_bootstrap,True,22,42.49901103293606,65.15870753707067,37.22029032023563,59.46798521794598,-0.6855889528926504,-0.2800513033325012
deck464,HistGradientBoosting,ClaimCut_C_source,source_cluster_bootstrap,True,22,42.49901103293606,65.15870753707067,37.22029032023563,59.46798521794598,-0.6881773391080741,-0.282639689547925
deck464,HistGradientBoosting,RandomKFold,source_cluster_bootstrap,True,22,42.49901103293606,65.15870753707067,37.22029032023563,59.46798521794598,-0.8723523289762632,-0.4668146794161141
deck464,HistGradientBoosting,DataSAIL_C1e_Scalar_C_deck,source_cluster_bootstrap,True,22,42.49901103293606,65.15870753707067,37.22029032023563,59.46798521794598,-0.7015693135605064,-0.2960316640003573
