method,parent,selected_model,external_oracle_model,external_nrmse_regret
GroupKFold_Source,deck464,ExtraTrees,HistGradientBoosting,0.1013301073134864
ClaimCut_C_source,deck464,ExtraTrees,HistGradientBoosting,0.1013301073134864
RandomKFold,deck464,HistGradientBoosting,HistGradientBoosting,0.0
DataSAIL_C1e_Scalar_C_deck,deck464,ExtraTrees,HistGradientBoosting,0.1013301073134864
