parent,feature,development_min,development_max,external_min,external_max,fraction_outside_development_range
deck464,f_cm_MPa,18.40900676169024,115.83333333333331,18.43658579803734,51.95143824501663,0.0
deck464,E_cm_MPa,15099.52240003806,46500.0,16789.39796707325,40112.000559075546,0.0
deck464,f_um_MPa,426.0,675.0,447.2630812,570.0,0.0
deck464,d_m_mm,12.7,31.75,19.0,22.0,0.0
deck464,d_dom_mm,21.0,44.45,23.0,29.0,0.0
deck464,h_wm_mm,3.0,8.549999999999999,6.0,6.0,0.0
deck464,h_scm_mm,69.92,200.0,75.0,150.0,0.0
