scenario,reference_method,comparator,pairing_status,n_reference_model_rows,n_comparator_model_rows,n_paired_model_rows,model_pairing_coverage_vs_reference,n_reference_replicates,n_comparator_replicates,n_paired_replicates,replicate_pairing_coverage_vs_reference,familywise_alpha,bonferroni_family_size,per_comparison_alpha,one_sided_simultaneous_confidence,one_sided_per_comparison_quantile,n_bootstrap,n_cluster_replicates,n_replicates,observed_mean_difference,bootstrap_ci_2_5,bootstrap_ci_97_5,bootstrap_upper_one_sided_95,simultaneous_upper_one_sided_95,simultaneous_upper_one_sided_95_bonferroni
CORE_0_0.9_1.0,ClaimCut,RandomKFold,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,-0.0033061424372471874,-0.009362120121615263,0.0031047948550640913,0.0021133053745302443,0.004713928590012585,0.004713928590012585
CORE_0_0.9_1.0,ClaimCut,GroupKFold_Lab,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,0.0018661659677043185,-0.0007172831794897357,0.004618543291562694,0.0041079776956824245,0.005280742886709394,0.005280742886709394
CORE_0_0.9_1.0,ClaimCut,GroupKFold_Source,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,-0.0005821632234449523,-0.005618853066796413,0.004656495050235873,0.0037575709977971305,0.0060945046274891446,0.0060945046274891446
CORE_0_0.9_1.0,ClaimCut,GroupKFold_Supplier,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,0.0020447266184792307,-0.0017754827280999448,0.0062222643073760915,0.005502423048430729,0.007450918558933318,0.007450918558933318
CORE_0_0.9_1.0,ClaimCut,CompositeGroup_LabPair,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,0.0017445327375504693,-0.0007904586646285368,0.004561714623163271,0.004067116137558983,0.005398825577697163,0.005398825577697163
CORE_0_0.9_1.0,ClaimCut,HardUnion_LabSupplier,missing_comparator,400,0,0,0.0,100,0,0,0.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,0,0,,,,,,
CORE_0_0.9_1.0,ClaimCut,DataSAIL_C1e_Scalar,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,0.0027464209687024744,-0.00026932700493147225,0.005993307372426621,0.005441778118080635,0.006834481173611001,0.006834481173611001
