scenario,method,n_replicates,n_model_rows,n_nonmissing_ere_record_weighted,mean_ere,median_ere,sd_ere,n_nonmissing_signed_bias_record_weighted,mean_signed_bias,n_nonmissing_ere_equal_domain,mean_equal_domain_ere,n_nonmissing_ere_worst_domain,mean_worst_domain_ere,n_nonmissing_squared_calibration_error_record_weighted,mean_squared_calibration_error_record_weighted,n_nonmissing_squared_calibration_error_equal_domain,mean_squared_calibration_error_equal_domain,n_nonmissing_squared_calibration_error_worst_domain,mean_squared_calibration_error_worst_domain,n_nonmissing_aggregate_external_worst_domain_nrmse,mean_external_worst_domain_nrmse,n_nonmissing_foldwise_absolute_error_secondary,mean_foldwise_secondary,n_nonmissing_contract_signature_rmse,mean_contract_signature_rmse,n_nonmissing_max_relation_target_abs_error,mean_max_relation_target_abs_error,n_nonmissing_semantic_loss_count,mean_semantic_loss_count,n_nonmissing_backend_compile_exact,rate_backend_compile_exact
CORE_0_0.9_1.0,RandomKFold,100,400,400,0.051574176864989024,0.04238780959191038,0.03812385281340013,400,-0.045272023749015684,400,0.051574176864989024,400,0.9701699384534846,400,0.0041096903022556225,400,0.004109690302255622,400,1.1006867561586282,400,1.469141943119757,400,0.060694899965365555,400,0.7359800721939871,400,1.0,0,,0,
CORE_0_0.9_1.0,GroupKFold_Lab,100,400,400,0.04640186846003752,0.03451212015058944,0.0383610189707017,400,-0.019324142790992867,400,0.046401868460037535,400,0.9592963063328722,400,0.0036210222536119854,400,0.0036210222536119854,400,1.0771677286596364,400,1.4878866469507168,400,0.0747394639851125,400,0.17897833502929483,400,0.495,0,,0,
CORE_0_0.9_1.0,GroupKFold_Source,100,400,400,0.04885019765118679,0.03986838055755626,0.03745972346299662,400,-0.03819694452066432,400,0.04885019765118679,400,0.9676947710529106,400,0.0037860646152793847,400,0.0037860646152793847,400,1.0953537059395362,400,1.4746145313938646,400,0.06393291201021173,400,0.5625456054982412,400,1.0,0,,0,
CORE_0_0.9_1.0,GroupKFold_Supplier,100,400,400,0.04622330780926261,0.03803581042089574,0.03674912321724496,400,-0.026782814043634872,400,0.04622330780926262,400,0.9680140507136977,400,0.0034837159969230004,400,0.0034837159969230004,400,1.0990185167934785,400,1.503404819764059,400,0.08018682753702645,400,0.43271520475282654,400,1.0,0,,0,
CORE_0_0.9_1.0,CompositeGroup_LabPair,100,400,400,0.04652350169019138,0.037420930954324694,0.03669875713931054,400,-0.016050728204832065,400,0.04652350169019138,400,0.9557040678289691,400,0.0035078679881484108,400,0.0035078679881484108,400,1.0714001116945664,400,1.4878068590387914,400,0.07775994456192178,400,0.0,400,0.0,0,,0,
CORE_0_0.9_1.0,ClaimCut,100,400,400,0.04826803442774184,0.03797590332512765,0.03925894853096272,400,-0.012396302284760807,400,0.04826803442774184,400,0.9558551046726796,400,0.0038672150246750595,400,0.0038672150246750604,400,1.071491581991459,400,1.4921479546254641,400,0.07818361253715367,400,0.0,400,0.0,400,0.0,400,1.0
CORE_0_0.9_1.0,DataSAIL_C1e_Scalar,100,400,400,0.045521613459039365,0.03734830236740888,0.03602150761327855,400,-0.021159831317292942,400,0.045521613459039365,400,0.9597461643689317,400,0.003366522430120845,400,0.003366522430120845,400,1.078928230427069,400,1.486247712807745,400,0.07819748939755461,400,0.4082482904638631,400,1.0,400,8.0,400,0.0
