model,validation,n_splits,n_samples,n_groups,r2_mean,r2_std,mae_mean,mae_std,pooled_r2,pooled_mae
GradientBoosting,GroupKFold_Shape,3,1316,3,-2.6770684300503356,2.7651691026249945,0.17006207006237276,0.043020350958281064,-0.9598144487245424,0.18265955189295258
GradientBoosting,LeaveOneShapeOut,3,1316,3,-2.6770684300503356,2.7651691026249945,0.17006207006237276,0.04302035095828106,-0.9598144487245428,0.18265955189295258
GradientBoosting,RandomKFold,10,1316,3,0.7685577479138799,0.024273021635255375,0.055779432198398836,0.003396506153255982,0.7710051427616261,0.0557787352316129
RandomForest,GroupKFold_Shape,3,1316,3,-2.486922100631383,2.4244736178693733,0.16919981400794273,0.04245952860842247,-0.9556296896829006,0.18318156287748408
RandomForest,LeaveOneShapeOut,3,1316,3,-2.486922100631382,2.4244736178693724,0.1691998140079427,0.042459528608422455,-0.9556296896829006,0.18318156287748408
RandomForest,RandomKFold,10,1316,3,0.8260369755953096,0.02382112256489851,0.04589723493962018,0.0029715894653698557,0.8279915453701548,0.045896172177150224
Ridge,GroupKFold_Shape,3,1316,3,-2.093480774029023,2.93495398923301,0.14343866545590928,0.044001352713264705,-0.322736864578379,0.14525629364674963
Ridge,LeaveOneShapeOut,3,1316,3,-2.093480774029023,2.9349539892330094,0.14343866545590928,0.044001352713264705,-0.32273686457837925,0.14525629364674963
Ridge,RandomKFold,10,1316,3,0.5642906631175184,0.053247041077456855,0.07853781065485452,0.005077209741357788,0.5682749929782618,0.07854059172318262
