shape,P,outer_dim_1,outer_dim_2,outer_thickness,length,fy_outer,fc,inner_dim,inner_thickness,fy_inner,steel_area,concrete_area,nominal_capacity,slenderness,strength_index
circular,1112.055403825,101.7016,101.7016,3.0734,203.2762,605.083900648,34.129048635,0.0,0.0,0.0,952.291848406423,7171.250563804327,820.9644254549014,33.09090909090909,1.3545719757695995
circular,1067.573187672,101.7016,101.7016,3.0734,203.2508,605.083900648,31.164302996,0.0,0.0,0.0,952.291848406423,7171.250563804327,799.7034916196864,33.09090909090909,1.3349612685944154
circular,1201.019836131,120.8278,120.8278,4.064,241.3254,451.60660315,34.404838927,0.0,0.0,0.0,1490.7739401031686,9975.534433060584,1016.4500105347252,29.73125,1.1815827868398348
circular,1201.019836131,120.8024,120.8024,4.089399999999999,241.3508,451.60660315,29.578508817,0.0,0.0,0.0,1499.4386379957323,9962.049426919366,971.8189567466394,29.540372670807464,1.2358473024149033
circular,1112.055403825,120.8278,120.8278,4.089399999999999,241.3508,451.60660315,25.924287448,0.0,0.0,0.0,1499.764957612273,9966.54341555148,935.6792943984105,29.546583850931686,1.1885006010953671
circular,1201.019836131,152.6286,152.6286,3.175,304.8,415.133337033,20.891114619,0.0,0.0,0.0,1490.733403504837,16805.50129505342,969.9387862082384,48.072,1.238242921314779
circular,1201.019836131,152.6032,152.6032,3.1496,304.927,415.133337033,23.097436955,0.0,0.0,0.0,1478.8075362768031,16811.338058505135,1002.2011282996529,48.4516129032258,1.1983820435012535
circular,2909.1369364062,152.5778,152.5778,4.9276,304.9016,633.4213531510001,41.989071957,0.0,0.0,0.0,2285.7006869711513,15998.356817449432,2119.5677776410826,30.963917525773194,1.3725142300680981
circular,2913.5851580215,152.5524,152.5524,4.9022,304.8762,633.4213531510001,43.43697099,0.0,0.0,0.0,2273.9187246671736,16004.051702807012,2135.5162050713657,31.119170984455963,1.3643470141328815
circular,355.857729224,76.42859999999999,76.42859999999999,1.7018,152.3492,363.284762137,24.959021426,0.0,0.0,0.0,399.5165521392955,4188.254006915254,249.6729971098465,44.91044776119402,1.4252952195204207
