shape,P,outer_dim_1,outer_dim_2,outer_thickness,length,fy_outer,fc,inner_dim,inner_thickness,fy_inner,steel_area,concrete_area,nominal_capacity,slenderness,strength_index
circular,434.59125181481,76.454,76.454,1.6764,152.3492,363.284762137,40.885910789,0.0,0.0,0.0,393.82116007424065,4196.999271296998,314.66736424983503,45.6060606060606,1.3811132045767527
circular,372.31614920061,76.42859999999999,76.42859999999999,1.7018,152.3746,363.284762137,25.924287448,0.0,0.0,0.0,399.5165521392955,4188.254006915254,253.71577639422713,44.91044776119402,1.4674536778591962
circular,433.2567853302199,76.454,76.454,1.7018,152.4,363.284762137,33.301677759,0.0,0.0,0.0,399.6523497436947,4191.168081627544,284.7605377022979,44.92537313432835,1.5214776205513665
circular,434.59125181481,76.454,76.454,1.7272,152.4762,363.284762137,33.301677759,0.0,0.0,0.0,405.479485753317,4185.3409456179215,286.6833940158432,44.264705882352935,1.515927538484468
circular,1325.5700413594,168.656,168.656,2.6416,304.8,297.85351536,17.92636898,0.0,0.0,0.0,1377.7254746865983,20962.80459573044,786.1473458751317,63.84615384615385,1.6861597871119034
circular,1218.8127225922,168.656,168.656,2.6416,304.8,297.85351536,34.129048635,0.0,0.0,0.0,1377.7254746865983,20962.80459573044,1125.8009534101136,63.84615384615385,1.0826183073485136
circular,1307.7771548982,169.164,169.164,2.6162,304.8,317.1588358,36.54221369,0.0,0.0,0.0,1368.8621474622305,21106.452112394738,1205.4232083886895,64.66019417475728,1.0849112127568281
circular,1330.0182629747,169.164,169.164,2.6162,304.8,317.1588358,33.577468051,0.0,0.0,0.0,1368.8621474622305,21106.452112394738,1142.8479465337045,64.66019417475728,1.1637753447505323
circular,1556.877565355,168.148,168.148,3.606799999999999,304.8,221.32170933,26.613763178,0.0,0.0,0.0,1864.4321961691567,20341.719050791224,954.0090140372123,46.61971830985917,1.6319317139012608
circular,1432.3273601266,168.148,168.148,3.606799999999999,304.8,221.32170933,32.750097175,0.0,0.0,0.0,1864.4321961691567,20341.719050791224,1078.832596206005,46.61971830985917,1.3276641484172347
circular,1463.4649114337,168.148,168.148,3.606799999999999,304.8,221.32170933,32.750097175,0.0,0.0,0.0,1864.4321961691567,20341.719050791224,1078.832596206005,46.61971830985917,1.3565264125132614
circular,1966.1139539626,168.656,168.656,5.0038,304.8,260.62182594,32.887992321,0.0,0.0,0.0,2572.5964348062407,19767.933635610796,1320.602429855942,33.70558375634518,1.4888007999327044
circular,1970.5621755779,168.656,168.656,5.0038,304.8,260.62182594,32.887992321,0.0,0.0,0.0,2572.5964348062407,19767.933635610796,1320.602429855942,33.70558375634518,1.4921691275343623
circular,1983.9068404238,168.656,168.656,5.0038,304.8,260.62182594,27.441134054,0.0,0.0,0.0,2572.5964348062407,19767.933635610796,1212.929297111308,33.70558375634518,1.6356327158958393
circular,1983.9068404238,168.656,168.656,5.0038,304.8,260.62182594,27.441134054,0.0,0.0,0.0,2572.5964348062407,19767.933635610796,1212.929297111308,33.70558375634518,1.6356327158958393
circular,530.22801654376,82.55,82.55,1.397,254.0,482.633011,40.8514370025,0.0,0.0,0.0,356.16468705763054,4995.933060909689,375.9878800329561,59.090909090909086,1.4102263522358336
circular,971.19,108.0,108.0,4.0,324.0,332.3628,40.27806315852059,0.0,0.0,0.0,1306.9025438933531,7853.981633974483,750.7089571146026,27.0,1.29369709898338
circular,671.0040000000001,100.0,100.0,2.5,300.0,244.269,35.22605714925214,0.0,0.0,0.0,765.7632093125121,7088.218424661971,436.7422006890826,40.0,1.536384619900033
circular,537.588,100.0,100.0,2.0,300.0,236.421,35.22605714925214,0.0,0.0,0.0,615.7521601035996,7238.229473870883,400.5510265498301,50.0,1.3421211390482404
circular,505.215,100.0,100.0,1.5,300.0,232.497,35.22605714925214,0.0,0.0,0.0,464.1703145678921,7389.811319406591,368.23212148569814,66.66666666666667,1.3720014374672693
circular,1245.87,108.0,108.0,4.5,240.0,410.058,27.50313189676159,0.0,0.0,0.0,1463.1967784094459,7697.68739945839,811.7060564083645,24.0,1.5348782852658798
circular,1236.06,108.0,108.0,4.5,240.0,410.058,27.50313189676159,0.0,0.0,0.0,1463.1967784094459,7697.68739945839,811.7060564083645,24.0,1.5227926294763847
circular,1255.68,108.0,108.0,4.5,285.0,410.058,27.50313189676159,0.0,0.0,0.0,1463.1967784094459,7697.68739945839,811.7060564083645,24.0,1.546963941055375
circular,1226.25,108.0,108.0,4.5,290.0,410.058,27.50313189676159,0.0,0.0,0.0,1463.1967784094459,7697.68739945839,811.7060564083645,24.0,1.5107069736868897
circular,1162.485,108.0,108.0,4.5,340.0,410.058,27.50313189676159,0.0,0.0,0.0,1463.1967784094459,7697.68739945839,811.7060564083645,24.0,1.4321502110551712
circular,1167.39,108.0,108.0,4.5,380.0,410.058,27.50313189676159,0.0,0.0,0.0,1463.1967784094459,7697.68739945839,811.7060564083645,24.0,1.4381930389499191
circular,1211.535,108.0,108.0,4.5,380.0,410.058,27.50313189676159,0.0,0.0,0.0,1463.1967784094459,7697.68739945839,811.7060564083645,24.0,1.492578490002647
circular,1873.71,160.0,160.0,4.5,400.0,410.058,27.50313189676159,0.0,0.0,0.0,2198.3294593494575,17907.86352362522,1393.96491392139,35.55555555555556,1.3441586522640874
circular,828.945,100.0,100.0,2.5,400.0,433.602,46.5773901248113,0.0,0.0,0.0,765.7632093125121,7088.218424661971,662.1871739396798,40.0,1.2518288372578938
circular,777.933,100.0,100.0,3.0,400.0,426.735,35.58496128755748,0.0,0.0,0.0,914.2034621946295,6939.778171779853,637.0743520266477,33.333333333333336,1.2211023682326179
circular,1638.27,210.0,210.0,2.5,840.0,237.402,26.53904683152888,0.0,0.0,0.0,1629.7011890497015,33006.35781677777,1262.8515975204416,84.0,1.2972783209180534
circular,671.0040000000001,100.0,100.0,2.5,380.0,244.269,35.22605714925214,0.0,0.0,0.0,765.7632093125121,7088.218424661971,436.7422006890826,40.0,1.536384619900033
circular,537.588,100.0,100.0,2.0,380.0,236.421,35.22605714925214,0.0,0.0,0.0,615.7521601035996,7238.229473870883,400.5510265498301,50.0,1.3421211390482404
circular,505.215,100.0,100.0,1.5,380.0,232.497,35.22605714925214,0.0,0.0,0.0,464.1703145678921,7389.811319406591,368.23212148569814,66.66666666666667,1.3720014374672693
circular,538.569,92.0,92.0,3.0,193.2,260.946,20.48057943111823,0.0,0.0,0.0,838.8052385084748,5808.804816487527,337.85056021176746,30.666666666666668,1.5941042088621091
circular,501.2910000000001,92.0,92.0,3.0,322.0,260.946,20.48057943111823,0.0,0.0,0.0,838.8052385084748,5808.804816487527,337.85056021176746,30.666666666666668,1.483765484022838
circular,971.19,108.0,108.0,4.0,432.0,332.3628,40.27806315852059,0.0,0.0,0.0,1306.9025438933531,7853.981633974483,750.7089571146026,27.0,1.29369709898338
circular,1638.27,210.0,210.0,2.5,840.0,237.402,26.53904683152888,0.0,0.0,0.0,1629.7011890497015,33006.35781677777,1262.8515975204416,84.0,1.2972783209180534
circular,2452.5,159.3,159.3,5.25,409.0,357.3783,33.79361146944041,0.0,0.0,0.0,2540.8023284989176,17389.846310974797,1495.6933265413486,30.342857142857145,1.639707790681381
circular,2051.271,159.3,159.3,5.25,409.0,357.3783,33.79361146944041,0.0,0.0,0.0,2540.8023284989176,17389.846310974797,1495.6933265413486,30.342857142857145,1.371451596125907
circular,2109.15,159.3,159.3,5.25,409.0,357.3783,33.79361146944041,0.0,0.0,0.0,2540.8023284989176,17389.846310974797,1495.6933265413486,30.342857142857145,1.4101486999859876
circular,2043.423,159.3,159.3,5.25,409.0,357.3783,33.79361146944041,0.0,0.0,0.0,2540.8023284989176,17389.846310974797,1495.6933265413486,30.342857142857145,1.3662045311957267
circular,1905.102,159.3,159.3,5.25,409.0,357.3783,33.79361146944041,0.0,0.0,0.0,2540.8023284989176,17389.846310974797,1495.6933265413486,30.342857142857145,1.2737250118012968
circular,1912.95,159.3,159.3,5.25,409.0,357.3783,33.79361146944041,0.0,0.0,0.0,2540.8023284989176,17389.846310974797,1495.6933265413486,30.342857142857145,1.2789720767314772
circular,1814.85,159.3,159.3,5.25,409.0,357.3783,33.79361146944041,0.0,0.0,0.0,2540.8023284989176,17389.846310974797,1495.6933265413486,30.342857142857145,1.2133837651042219
circular,627.84,105.3,105.3,3.0,312.0,322.1604,23.14638711209412,0.0,0.0,0.0,964.1547853867087,7744.4107361989045,489.86762017721384,35.1,1.2816523773767157
circular,583.695,105.2,105.2,2.95,312.0,322.1604,23.14638711209412,0.0,0.0,0.0,947.6221540471925,7744.4107361989045,484.54146105182275,35.66101694915254,1.2046337556603286
circular,575.8470000000001,105.1,105.1,2.75,312.0,322.1604,23.14638711209412,0.0,0.0,0.0,884.2405222610178,7791.275444608829,465.2071578856876,38.21818181818182,1.237829191229898
circular,768.123,105.3,105.3,3.15,312.0,322.1604,38.5575445932479,0.0,0.0,0.0,1010.8781221272229,7697.68739945839,622.4688253452542,33.42857142857143,1.2339943282685013
circular,776.9520000000001,105.2,105.2,3.05,312.0,322.1604,38.5575445932479,0.0,0.0,0.0,978.7867531708016,7713.246137075295,612.7301638051845,34.49180327868853,1.2680165689493124
circular,785.781,105.2,105.2,3.05,312.0,322.1604,38.5575445932479,0.0,0.0,0.0,978.7867531708016,7713.246137075295,612.7301638051845,34.49180327868853,1.2824258481419177
circular,758.313,108.3,108.3,4.4,312.0,322.1604,23.14638711209412,0.0,0.0,0.0,1436.2104975151096,7775.638167175587,642.668079424687,24.61363636363636,1.1799450202643293
circular,745.5600000000001,108.2,108.2,4.45,312.0,322.1604,23.14638711209412,0.0,0.0,0.0,1450.4340582542372,7744.4107361989045,646.527545235926,24.314606741573034,1.1531759249761522
circular,738.693,108.2,108.2,4.45,312.0,322.1604,23.14638711209412,0.0,0.0,0.0,1450.4340582542372,7744.4107361989045,646.527545235926,24.314606741573034,1.1425545677724243
circular,1080.081,153.9,153.9,1.83,424.0,357.3783,27.76658389222653,0.0,0.0,0.0,874.2678505414624,17728.052583141416,804.6918174667612,84.09836065573771,1.3422293809326749
circular,1373.4,156.3,156.3,3.03,424.0,357.3783,35.58496128755748,0.0,0.0,0.0,1458.9810752275953,17728.052583141416,1152.260241271881,51.58415841584159,1.1919182410425113
circular,1864.881,159.3,159.3,4.83,420.0,357.3783,33.79361146944041,0.0,0.0,0.0,2343.911177076072,17586.737462397643,1431.9823646337638,32.98136645962733,1.302307239291283
circular,1912.95,159.8,159.8,5.08,425.0,357.3783,33.79361146944041,0.0,0.0,0.0,2469.2214540461355,17586.737462397643,1476.7655383898543,31.45669291338583,1.295364734801251
circular,373.761,101.3,101.3,0.55,300.0,357.3783,35.58496128755748,0.0,0.0,0.0,174.083502917043,7885.428976436917,342.8163511928296,184.18181818181816,1.0902659651428483
circular,343.35,101.3,101.3,0.55,300.0,357.3783,35.58496128755748,0.0,0.0,0.0,174.083502917043,7885.428976436917,342.8163511928296,184.18181818181816,1.0015566608923805
circular,578.7900000000001,105.0,105.0,2.86,321.0,265.1643,27.76658389222653,0.0,0.0,0.0,917.7233026037111,7741.291448853156,458.29667557735826,36.71328671328671,1.2629155541458932
circular,830.907,107.9,107.9,4.3,321.0,265.1643,27.76658389222653,0.0,0.0,0.0,1399.516695321181,7744.410736198906,586.137695255681,25.093023255813957,1.4175969345181723
circular,805.401,107.9,107.9,4.3,320.0,265.1643,27.76658389222653,0.0,0.0,0.0,1399.516695321181,7744.410736198906,586.137695255681,25.093023255813957,1.3740815622661384
circular,485.595,102.7,102.7,1.65,309.0,265.1643,33.79361146944041,0.0,0.0,0.0,523.8055971146614,7760.016597705612,401.1335303942636,62.24242424242425,1.2105569921385566
circular,441.45,102.5,102.5,1.55,311.0,265.1643,33.79361146944041,0.0,0.0,0.0,491.57285648882953,7760.016597705612,392.5865582891332,66.12903225806451,1.1244653966855374
circular,438.5070000000001,102.3,102.3,1.45,312.0,265.1643,33.79361146944041,0.0,0.0,0.0,459.4029477160693,7760.016597705611,384.0562469483404,70.55172413793103,1.1417780689269297
circular,577.809,105.0,105.0,2.8,311.0,265.1643,27.76658389222653,0.0,0.0,0.0,898.9981537512549,7760.016597705612,453.851368006007,37.5,1.273123847876894
circular,586.638,105.2,105.2,2.9,311.0,265.1643,27.76658389222653,0.0,0.0,0.0,932.0162925404848,7760.016597705612,462.6065996653561,36.275862068965516,1.2681142042166427
circular,757.3320000000001,108.55,108.55,4.6,325.7,272.1294,29.70514275411797,0.0,0.0,0.0,1502.2153591670321,7752.211703456849,639.0775196722386,23.597826086956523,1.1850393366807992
circular,1746.18,166.0,166.0,5.0,660.0,274.68,26.53904683152888,0.0,0.0,0.0,2528.9820861397857,19113.4497044403,1201.9135362390891,33.2,1.4528332923714102
circular,1697.13,166.0,166.0,5.0,660.0,274.68,26.53904683152888,0.0,0.0,0.0,2528.9820861397857,19113.4497044403,1201.9135362390891,33.2,1.4120233684283932
circular,1863.9,166.0,166.0,5.0,660.0,274.68,29.67863176753803,0.0,0.0,0.0,2528.9820861397857,19113.4497044403,1261.9218350063186,33.2,1.4770328464842415
circular,1873.71,166.0,166.0,5.0,660.0,274.68,29.67863176753803,0.0,0.0,0.0,2528.9820861397857,19113.4497044403,1261.9218350063186,33.2,1.4848067035710006
circular,1697.13,166.0,166.0,5.0,660.0,274.68,29.67863176753803,0.0,0.0,0.0,2528.9820861397857,19113.4497044403,1261.9218350063186,33.2,1.3448772760093357
circular,1736.37,166.0,166.0,5.0,660.0,274.68,29.67863176753803,0.0,0.0,0.0,2528.9820861397857,19113.4497044403,1261.9218350063186,33.2,1.375972704356372
circular,2030.67,166.0,166.0,5.0,660.0,274.68,29.67863176753803,0.0,0.0,0.0,2528.9820861397857,19113.4497044403,1261.9218350063186,33.2,1.6091884169591473
circular,2109.15,166.0,166.0,5.0,660.0,274.68,29.67863176753803,0.0,0.0,0.0,2528.9820861397857,19113.4497044403,1261.9218350063186,33.2,1.6713792736532207
circular,1785.42,166.0,166.0,5.0,350.0,274.68,29.67863176753803,0.0,0.0,0.0,2528.9820861397857,19113.4497044403,1261.9218350063186,33.2,1.414841989790168
circular,2040.48,166.0,166.0,5.0,350.0,274.68,29.67863176753803,0.0,0.0,0.0,2528.9820861397857,19113.4497044403,1261.9218350063186,33.2,1.6169622740459064
circular,2001.24,166.0,166.0,5.0,500.0,274.68,29.67863176753803,0.0,0.0,0.0,2528.9820861397857,19113.4497044403,1261.9218350063186,33.2,1.5858668456988698
circular,2045.385,166.0,166.0,5.0,500.0,274.68,29.67863176753803,0.0,0.0,0.0,2528.9820861397857,19113.4497044403,1261.9218350063186,33.2,1.620849202589286
circular,1976.715,166.0,166.0,5.0,660.0,274.68,29.67863176753803,0.0,0.0,0.0,2528.9820861397857,19113.4497044403,1261.9218350063186,33.2,1.5664322029819717
circular,5905.62,320.0,320.0,7.0,440.0,250.155,47.31262406528706,0.0,0.0,0.0,6883.2295040152385,73541.54242788347,5201.317626648741,45.714285714285715,1.1354084529932944
circular,5895.81,320.0,320.0,7.0,520.0,250.155,47.31262406528706,0.0,0.0,0.0,6883.2295040152385,73541.54242788347,5201.317626648741,45.714285714285715,1.1335223924401494
circular,6386.31,320.0,320.0,7.0,520.0,250.155,47.31262406528706,0.0,0.0,0.0,6883.2295040152385,73541.54242788347,5201.317626648741,45.714285714285715,1.2278254200973997
circular,1118.34,108.0,108.0,4.0,324.0,339.2298,29.02976119189817,0.0,0.0,0.0,1306.9025438933531,7853.981633974483,671.3394998242669,27.0,1.6658337551905438
circular,1059.48,108.0,108.0,4.0,324.0,339.2298,29.02976119189817,0.0,0.0,0.0,1306.9025438933531,7853.981633974483,671.3394998242669,27.0,1.5781582943910415
circular,1074.195,108.0,108.0,4.0,324.0,339.2298,29.02976119189817,0.0,0.0,0.0,1306.9025438933531,7853.981633974483,671.3394998242669,27.0,1.6000771595909171
circular,627.84,101.8,101.8,2.94,200.0,319.806,17.9523,0.0,0.0,0.0,913.0988782176282,7226.170784629344,421.7408856241682,34.625850340136054,1.4886865879052946
circular,660.213,101.8,101.8,2.94,200.0,319.806,37.3761,0.0,0.0,0.0,913.0988782176282,7226.170784629344,562.1005817106517,34.625850340136054,1.1745460180645266
circular,953.532,101.8,101.8,5.7,200.0,305.091,17.9523,0.0,0.0,0.0,1720.870207856883,6418.399454990089,640.2470451210828,17.859649122807017,1.4893188610025825
circular,971.19,101.8,101.8,5.7,200.0,305.091,37.3761,0.0,0.0,0.0,1720.870207856883,6418.399454990089,764.9167524549194,17.859649122807017,1.2696675773972377
circular,238.383,100.0,100.0,0.52,200.0,244.269,17.9523,0.0,0.0,0.0,162.51333133313892,7691.468302641344,177.7765153409227,192.3076923076923,1.3409138971075678
circular,242.307,100.0,100.0,0.52,200.0,244.269,17.9523,0.0,0.0,0.0,162.51333133313892,7691.468302641344,177.7765153409227,192.3076923076923,1.3629865538500792
circular,237.402,100.0,100.0,0.52,200.0,244.269,17.9523,0.0,0.0,0.0,162.51333133313892,7691.468302641344,177.7765153409227,192.3076923076923,1.33539573292194
circular,389.4570000000001,100.0,100.0,0.52,200.0,244.269,37.3761,0.0,0.0,0.0,162.51333133313892,7691.468302641344,327.17405735776765,192.3076923076923,1.1903663852361177
circular,394.362,100.0,100.0,0.52,200.0,244.269,37.3761,0.0,0.0,0.0,162.51333133313892,7691.468302641344,327.17405735776765,192.3076923076923,1.2053584052013078
circular,404.172,100.0,100.0,0.52,200.0,244.269,37.3761,0.0,0.0,0.0,162.51333133313892,7691.468302641344,327.17405735776765,192.3076923076923,1.2353424451316886
circular,538.569,150.0,150.0,0.7000000000000001,480.0,245.25,22.563,0.0,0.0,0.0,328.32784822667236,17343.130828215915,471.83546565462706,214.28571428571428,1.1414339090699477
circular,744.5790000000001,150.0,150.0,0.7000000000000001,480.0,245.25,33.4521,0.0,0.0,0.0,328.32784822667236,17343.130828215915,660.686551556153,214.28571428571428,1.1269776844197152
circular,2230.0,159.0,159.0,5.07,477.0,391.5,41.5,0.0,0.0,0.0,2451.7777608370743,17403.873208013814,1682.131731500288,31.360946745562128,1.3256987893635834
circular,16650.0,630.0,630.0,7.0,1890.0,291.4,36.0,0.0,0.0,0.0,13700.485562305083,298024.04549014213,14721.187130500815,90.0,1.1310229163178613
circular,18000.0,630.0,630.0,7.61,1890.0,349.5,35.0,0.0,0.0,0.0,14879.801431191561,296844.72962125565,15590.056136945399,82.78580814717476,1.1545821157977425
circular,18600.0,630.0,630.0,8.44,1890.0,350.0,34.5,0.0,0.0,0.0,16480.68950321892,295243.8415492283,15954.153859574997,74.64454976303318,1.165840580685956
circular,20500.0,630.0,630.0,10.21,1890.0,323.3,38.4,0.0,0.0,0.0,19880.173926945543,291844.3571255017,17634.083544200756,61.704211557296766,1.1625214289484154
circular,24400.0,630.0,630.0,11.6,1890.0,347.2,46.0,0.0,0.0,0.0,22536.02640496724,289188.50464748,21127.179581588705,54.310344827586206,1.1549104273844197
circular,15000.0,720.0,720.0,8.3,2160.0,312.0,15.0,0.0,0.0,0.0,18557.733379946847,388592.6745252903,11618.902932422772,86.74698795180723,1.29099968277919
circular,33600.0,820.0,820.0,8.93,2460.0,331.0,45.0,0.0,0.0,0.0,22754.10037317546,505347.6246952688,30272.25033480817,91.82530795072789,1.1099273964897634
circular,30000.0,1020.0,1020.0,9.64,3060.0,336.0,16.9,0.0,0.0,0.0,30598.70529555669,786529.5439031485,23573.514271270258,105.80912863070539,1.2726146663911664
circular,46000.0,1020.0,1020.0,13.25,3060.0,368.7,28.9,0.0,0.0,0.0,41907.07885302021,775221.170345685,37855.03179609885,76.98113207547169,1.2151621017721754
circular,2923.38,178.0,178.0,9.0,360.0,283.4109,22.1706,0.0,0.0,0.0,4778.362426110074,20106.192982974677,1800.0063578583781,19.77777777777778,1.6240942634659334
circular,2854.71,178.0,178.0,9.0,360.0,283.4109,22.1706,0.0,0.0,0.0,4778.362426110074,20106.192982974677,1800.0063578583781,19.77777777777778,1.5859443982167336
circular,3217.68,178.0,178.0,9.0,360.0,283.4109,45.4203,0.0,0.0,0.0,4778.362426110074,20106.192982974677,2267.469312854644,19.77777777777778,1.41906220373456
circular,3178.44,178.0,178.0,9.0,360.0,283.4109,45.4203,0.0,0.0,0.0,4778.362426110074,20106.192982974677,2267.469312854644,19.77777777777778,1.401756567103651
circular,1814.85,179.0,179.0,5.5,360.0,248.5854,22.1706,0.0,0.0,0.0,2997.864789688061,22167.07776372958,1236.6828321590656,32.54545454545455,1.467514509626967
circular,1814.85,179.0,179.0,5.5,360.0,248.5854,23.9364,0.0,0.0,0.0,2997.864789688061,22167.07776372958,1275.8254580742591,32.54545454545455,1.4224908184065779
circular,2040.48,179.0,179.0,5.5,360.0,248.5854,43.65450000000001,0.0,0.0,0.0,2997.864789688061,22167.07776372958,1712.9181141272556,32.54545454545455,1.1912303239548843
circular,2030.67,179.0,179.0,5.5,360.0,248.5854,43.65450000000001,0.0,0.0,0.0,2997.864789688061,22167.07776372958,1712.9181141272556,32.54545454545455,1.1855032550897164
circular,1314.54,174.0,174.0,3.0,360.0,266.0472,23.9364,0.0,0.0,0.0,1611.6370312915642,22167.07776372958,959.3715597751697,58.0,1.37020947369762
circular,1304.73,174.0,174.0,3.0,360.0,266.0472,23.9364,0.0,0.0,0.0,1611.6370312915642,22167.07776372958,959.3715597751697,58.0,1.3599840298640558
circular,1608.84,174.0,174.0,3.0,360.0,266.0472,45.7146,0.0,0.0,0.0,1611.6370312915642,22167.07776372958,1442.1306127292253,58.0,1.1155993679069596
circular,1677.51,174.0,174.0,3.0,360.0,266.0472,45.7146,0.0,0.0,0.0,1611.6370312915642,22167.07776372958,1442.1306127292253,58.0,1.1632164140981103
circular,11481.0,323.9,323.9,5.6,1000.0,443.9,92.3,0.0,0.0,0.0,5599.826073170727,76797.24558063327,9574.148560972937,57.839285714285715,1.1991666858815992
circular,1548.0,152.0,152.0,1.7,500.0,270.0,73.0,0.0,0.0,0.0,802.7083389187283,17343.130828215915,1482.7798019678185,89.41176470588236,1.04398508662286
circular,1448.0,152.0,152.0,1.7,500.0,270.0,73.0,0.0,0.0,0.0,802.7083389187283,17343.130828215915,1482.7798019678185,89.41176470588236,0.9765441895541997
circular,1535.0,133.1,133.1,4.5,397.0,324.3,67.47809508364855,0.0,0.0,0.0,1818.0396686324111,12095.767888833056,1405.7896402499107,29.577777777777776,1.0919130117697546
circular,1145.0,113.6,113.6,3.2,337.0,354.6,67.47809508364855,0.0,0.0,0.0,1109.861852660204,9025.67003005733,1002.592033435154,35.49999999999999,1.1420397946679444
circular,894.0,111.3,111.3,2.0,339.0,354.6,67.47809508364855,0.0,0.0,0.0,686.7521540747293,9042.516820662206,853.6941236550347,55.65,1.0472134869247998
circular,1250.0,130.6,130.6,2.3,396.0,324.3,67.47809508364855,0.0,0.0,0.0,927.0525761478093,12468.981242097889,1142.0262522952462,56.78260869565218,1.0945457667787828
circular,3030.0,190.0,190.0,1.11,662.0,203.1,110.3,0.0,0.0,0.0,658.6911343335996,27694.182564314284,3188.4485062270196,171.17117117117115,0.9503054523485104
circular,2940.0,190.0,190.0,1.11,656.0,203.1,110.3,0.0,0.0,0.0,658.6911343335996,27694.182564314284,3188.4485062270196,171.17117117117115,0.9220785577242971
circular,3140.0,190.0,190.0,1.11,662.0,203.1,110.3,0.0,0.0,0.0,658.6911343335996,27694.182564314284,3188.4485062270196,171.17117117117115,0.9848049902225486
circular,2462.0,190.0,190.0,1.11,662.0,203.1,94.7,0.0,0.0,0.0,658.6911343335996,27694.182564314284,2756.419258223717,171.17117117117115,0.8931877807248213
circular,3055.0,190.0,190.0,1.11,664.0,203.1,110.3,0.0,0.0,0.0,658.6911343335996,27694.182564314284,3188.4485062270196,171.17117117117115,0.9581462564107918
circular,3000.0,190.0,190.0,1.11,660.0,203.1,110.3,0.0,0.0,0.0,658.6911343335996,27694.182564314284,3188.4485062270196,171.17117117117115,0.9408964874737726
circular,1275.0,125.0,125.0,1.0,438.0,232.0,84.7,0.0,0.0,0.0,389.5574890451335,11882.288814039995,1096.8072000076586,125.0,1.1624650166329116
circular,1239.0,125.0,125.0,1.0,438.0,232.0,84.7,0.0,0.0,0.0,389.5574890451335,11882.288814039995,1096.8072000076586,125.0,1.129642474986806
circular,1491.0,127.0,127.0,2.0,445.0,258.0,84.7,0.0,0.0,0.0,785.3981633974472,11882.288814039995,1209.062588705729,63.5,1.2331867795165823
circular,1339.0,127.0,127.0,2.0,445.0,258.0,84.7,0.0,0.0,0.0,785.3981633974472,11882.288814039995,1209.062588705729,63.5,1.107469549143329
circular,1995.0,133.0,133.0,3.5,465.0,352.0,84.7,0.0,0.0,0.0,1423.926870239573,12468.981242097889,1557.3449695300208,38.0,1.2810263872377974
circular,1991.0,133.0,133.0,3.5,465.0,352.0,84.7,0.0,0.0,0.0,1423.926870239573,12468.981242097889,1557.3449695300208,38.0,1.2784579132784233
circular,1962.0,133.0,133.0,3.5,465.0,352.0,84.7,0.0,0.0,0.0,1423.926870239573,12468.981242097889,1557.3449695300208,38.0,1.2598364770729615
circular,2273.0,133.0,133.0,4.7,465.0,352.0,84.7,0.0,0.0,0.0,1894.4117860411807,11998.496326296281,1683.1055875237905,28.29787234042553,1.3504797422389112
circular,2158.0,133.0,133.0,4.7,465.0,352.0,84.7,0.0,0.0,0.0,1894.4117860411807,11998.496326296281,1683.1055875237905,28.29787234042553,1.2821536664107218
circular,2253.0,133.0,133.0,4.7,465.0,352.0,84.7,0.0,0.0,0.0,1894.4117860411807,11998.496326296281,1683.1055875237905,28.29787234042553,1.3385969464427043
circular,1535.0,108.0,108.0,4.5,378.0,358.0,77.4,0.0,0.0,0.0,1463.1967784094459,7697.68739945839,1119.625451388661,24.0,1.370994199976567
