scenario,reference_method,comparator,pairing_status,n_reference_model_rows,n_comparator_model_rows,n_paired_model_rows,model_pairing_coverage_vs_reference,n_reference_replicates,n_comparator_replicates,n_paired_replicates,replicate_pairing_coverage_vs_reference,familywise_alpha,bonferroni_family_size,per_comparison_alpha,one_sided_simultaneous_confidence,one_sided_per_comparison_quantile,n_bootstrap,n_cluster_replicates,n_replicates,observed_mean_difference,bootstrap_ci_2_5,bootstrap_ci_97_5,bootstrap_upper_one_sided_95,simultaneous_upper_one_sided_95,simultaneous_upper_one_sided_95_bonferroni
CORE_2.4_1.8_0.35,ClaimCut,RandomKFold,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,-0.08725463144159885,-0.10143250774134209,-0.07151031869535641,-0.07435385101362343,-0.06747463512428288,-0.06747463512428288
CORE_2.4_1.8_0.35,ClaimCut,GroupKFold_Lab,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,-0.0010158448093558837,-0.007756305457082896,0.005813082555857536,0.004708889816227007,0.007297350345447358,0.007297350345447358
CORE_2.4_1.8_0.35,ClaimCut,GroupKFold_Source,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,-0.04870996530426206,-0.06266554416651163,-0.03363784133620806,-0.03607534119172696,-0.029946299862465952,-0.029946299862465952
CORE_2.4_1.8_0.35,ClaimCut,GroupKFold_Supplier,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,-0.0029677384524433004,-0.01147695936283137,0.005657837133278801,0.004317191588844207,0.007766285784654377,0.007766285784654377
CORE_2.4_1.8_0.35,ClaimCut,CompositeGroup_LabPair,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,0.0022753079334377493,-0.002196273903977065,0.006730366228741295,0.006024690331007808,0.007679061646478326,0.007679061646478326
CORE_2.4_1.8_0.35,ClaimCut,HardUnion_LabSupplier,missing_comparator,400,0,0,0.0,100,0,0,0.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,0,0,,,,,,
CORE_2.4_1.8_0.35,ClaimCut,DataSAIL_C1e_Scalar,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,-0.0014117069524817094,-0.008690301132675868,0.006152921017537325,0.004938454797875731,0.008121398046623375,0.008121398046623375
