module,task,metric_kind,fold,n_train,n_test,heldout_groups,mmd2,energy_distance,domain_auc,target_or_class_shift,grouped_fold_loss
UCI concrete,UCI concrete strength,regression,1,824,206,84,0.00954755655604611,0.08660505342313218,0.6007766990291261,0.02958552142489621,0.1312821989947765
UCI concrete,UCI concrete strength,regression,2,824,206,85,0.009791073628720781,0.08112052851239593,0.5817891816920944,0.03524319710264036,0.09509987890422827
UCI concrete,UCI concrete strength,regression,3,824,206,86,0.006418770307432542,0.059374652676372985,0.5830513176144243,0.02334360558929358,0.10612247385700152
UCI concrete,UCI concrete strength,regression,4,824,206,86,0.008231930652897734,0.07175836972315341,0.575367545076283,0.031424504307146016,0.13522014407930646
UCI concrete,UCI concrete strength,regression,5,824,206,87,0.005443283318430803,0.052325161497985384,0.5695423023578363,0.0024232230401080882,0.1415553416299365
SFRC shear,SFRC shear capacity,regression,1,390,98,23,0.06717787678614373,0.4398755964761256,0.8230903790087463,0.2545941213460408,0.7072400529672765
SFRC shear,SFRC shear capacity,regression,2,390,98,23,0.031666941494362,0.18639203379414138,0.7151603498542275,0.02082280380384862,0.9573207726815124
SFRC shear,SFRC shear capacity,regression,3,390,98,24,0.026166348821769825,0.1819063062329871,0.6630466472303207,0.01487724491763141,0.6320763961211489
SFRC shear,SFRC shear capacity,regression,4,391,97,24,0.009647116617542695,0.07986113823864383,0.5441678939617085,0.1757696468630449,0.8376300983773276
SFRC shear,SFRC shear capacity,regression,5,391,97,24,0.05889247638305939,0.3538344290133919,0.7974668630338734,0.044815462840087826,0.5002563750191699
Mangalathu shear-wall,Shear-wall failure classification,classification,1,305,88,1,0.19215186786095906,1.5274423184626738,0.9094262295081967,0.5663934426229509,0.7159090909090908
Mangalathu shear-wall,Shear-wall failure classification,classification,2,316,77,18,0.06099378996082794,0.4510497253546335,0.7326565839224066,0.21658721025809635,0.4155844155844156
Mangalathu shear-wall,Shear-wall failure classification,classification,3,317,76,18,0.08400925276238214,0.6254537775934548,0.7239747634069401,0.27988543914992525,0.2894736842105263
Mangalathu shear-wall,Shear-wall failure classification,classification,4,317,76,19,0.03944902520527349,0.31570064964784716,0.7234351652000663,0.18010127843267473,0.4605263157894737
Mangalathu shear-wall,Shear-wall failure classification,classification,5,317,76,19,0.05265258827055552,0.3852867261579833,0.73397808401129,0.14660468205213345,0.5657894736842105
Stub-CFST,Stub-CFST section-family holdout,regression,1,642,674,1,0.06338381203349774,0.6317336360328616,1.0,0.13415099803325053,0.1740551714084232
Stub-CFST,Stub-CFST section-family holdout,regression,2,920,396,1,0.0967591696203347,0.6708878912381753,1.0,0.14988493429750513,0.1696145590610155
Stub-CFST,Stub-CFST section-family holdout,regression,3,1070,246,1,1.2045578583136232,646.0133974122444,1.0,0.013077010841519411,0.08929136323768119
Corroded RC beams,Corroded RC beam moment capacity,regression,1,642,162,9,0.23577739391609964,4.12277569272739,0.9929100529100529,0.21977613469854462,0.13457111869217192
Corroded RC beams,Corroded RC beam moment capacity,regression,2,642,162,12,0.06828932093520468,1.1675353452336106,0.9807936507936508,0.1823773734363424,0.19563028481274364
Corroded RC beams,Corroded RC beam moment capacity,regression,3,644,160,11,0.10046754735263419,1.6605054402120558,0.98075,0.18796129428643235,0.08779118438860914
Corroded RC beams,Corroded RC beam moment capacity,regression,4,644,160,11,0.04861015413301906,0.8742906835568389,0.9540535714285714,0.33233033206969653,0.13000848756524613
Corroded RC beams,Corroded RC beam moment capacity,regression,5,644,160,11,0.08985878218437526,1.5433514970070172,0.9901785714285715,0.4825429776147272,0.11967656169422529
PRJ-2430 RC walls,PRJ-2430 RC wall peak lateral strength|Vmax,regression,1,113,29,5,0.11975247135146705,3.023797152171195,0.9945071711931645,0.5642044783217371,0.6322844200592891
PRJ-2430 RC walls,PRJ-2430 RC wall peak lateral strength|Vmax,regression,2,113,29,5,0.07879927754230986,1.9035395990185204,0.9459871833994508,0.3552308133902721,0.6573603961607722
PRJ-2430 RC walls,PRJ-2430 RC wall peak lateral strength|Vmax,regression,3,114,28,6,0.12416725012479324,2.8983472925493263,0.9464285714285715,0.7067026388466298,0.46720953532738774
PRJ-2430 RC walls,PRJ-2430 RC wall peak lateral strength|Vmax,regression,4,114,28,6,0.06947392094878824,1.749260908845013,0.9884085213032581,0.08807725626897758,0.4435484712463632
