module,task,metric_kind,fold,n_train,n_test,heldout_groups,mmd2,energy_distance,domain_auc,target_or_class_shift,grouped_fold_loss
PRJ-2430 RC walls,PRJ-2430 RC wall peak lateral strength|Vmax,regression,5,114,28,6,0.2111191754610776,5.613905049927009,0.9266917293233083,1.0093183349590942,0.974273021298647
PRJ-2430 RC walls,PRJ-2430 RC wall drift capacity|driftCap,regression,1,113,29,5,0.11975247135146705,3.023797152171195,0.9945071711931645,0.32468419309416896,0.2605239144995523
PRJ-2430 RC walls,PRJ-2430 RC wall drift capacity|driftCap,regression,2,113,29,5,0.07879927754230986,1.9035395990185204,0.9459871833994508,0.19558871818466755,0.5019601504083813
PRJ-2430 RC walls,PRJ-2430 RC wall drift capacity|driftCap,regression,3,114,28,6,0.12416725012479324,2.8983472925493263,0.9464285714285715,0.17054667074586524,0.2027428201882507
PRJ-2430 RC walls,PRJ-2430 RC wall drift capacity|driftCap,regression,4,114,28,6,0.06947392094878824,1.749260908845013,0.9884085213032581,0.00793205575043508,0.6850841547675832
PRJ-2430 RC walls,PRJ-2430 RC wall drift capacity|driftCap,regression,5,114,28,6,0.2111191754610776,5.613905049927009,0.9266917293233083,0.030081447301684668,0.48478046042556433
Mendeley cyclic joint,Cyclic beam-column joint shear,regression,1,78,20,2,0.40186193562569517,3.9290405959055508,0.8961538461538461,0.10842460297558215,0.3581752123226221
Mendeley cyclic joint,Cyclic beam-column joint shear,regression,2,79,19,3,0.16697236797747728,1.5343823497070899,0.7568287808127914,0.2668144368824397,0.3574073632235675
Mendeley cyclic joint,Cyclic beam-column joint shear,regression,3,78,20,4,0.07966421809965563,0.8271751994477041,0.85,0.11215819319733815,0.37900085317925986
Mendeley cyclic joint,Cyclic beam-column joint shear,regression,4,79,19,4,0.12945108257294047,1.2927361794946615,0.9473684210526315,0.23384732610547942,0.47078178979584867
Mendeley cyclic joint,Cyclic beam-column joint shear,regression,5,78,20,5,0.12964220793828152,1.3621763737111676,0.8897435897435897,0.1888625184317554,0.47854616801782285
