scenario,reference_method,comparator,pairing_status,n_reference_model_rows,n_comparator_model_rows,n_paired_model_rows,model_pairing_coverage_vs_reference,n_reference_replicates,n_comparator_replicates,n_paired_replicates,replicate_pairing_coverage_vs_reference,familywise_alpha,bonferroni_family_size,per_comparison_alpha,one_sided_simultaneous_confidence,one_sided_per_comparison_quantile,n_bootstrap,n_cluster_replicates,n_replicates,observed_mean_difference,bootstrap_ci_2_5,bootstrap_ci_97_5,bootstrap_upper_one_sided_95,simultaneous_upper_one_sided_95,simultaneous_upper_one_sided_95_bonferroni
CORE_1.2_0_0.35,ClaimCut,RandomKFold,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,-0.004095397246929936,-0.00616824616026296,-0.0019069140783139653,-0.0023018988622024545,-0.0013884753546019566,-0.0013884753546019566
CORE_1.2_0_0.35,ClaimCut,GroupKFold_Lab,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,-0.0022905711401088884,-0.003933211999293778,-0.0005818215926478199,-0.0008656611385167485,-0.00016400262311940471,-0.00016400262311940471
CORE_1.2_0_0.35,ClaimCut,GroupKFold_Source,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,-0.0034711974260152123,-0.0053166759465702864,-0.0016203019702993081,-0.001928442087540484,-0.0011026155528949238,-0.0011026155528949238
CORE_1.2_0_0.35,ClaimCut,GroupKFold_Supplier,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,-0.00016356565920409489,-0.003787283117463818,0.0033669638604666295,0.002839818367863828,0.004125276604558984,0.004125276604558984
CORE_1.2_0_0.35,ClaimCut,CompositeGroup_LabPair,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,-0.0012709498458562368,-0.0028956211631442795,0.00040031961731112935,0.00012283584576714025,0.0008344099168938837,0.0008344099168938837
CORE_1.2_0_0.35,ClaimCut,HardUnion_LabSupplier,missing_comparator,400,0,0,0.0,100,0,0,0.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,0,0,,,,,,
CORE_1.2_0_0.35,ClaimCut,DataSAIL_C1e_Scalar,paired,400,400,400,1.0,100,100,100,1.0,0.05,7,0.0071428571428571435,0.95,0.9928571428571429,10000,100,100,0.00047307144133272084,-0.0015087816145598822,0.0025668104208565255,0.002178031528248726,0.003084723809091059,0.003084723809091059
